tick_id,day,agent_id,avatar_event,consent_request_visible,consent_decision,no_line,yes_line,recovery_offer_visible,recovery_accepted,consent_loop_closed,autonomy_preserved,no_endless_distress
0,1,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,False,False,True,True
2,1,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
4,1,Ivo,give_space,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
7,1,Fay,give_space,False,yes,none,"Yes, if you keep herb ledger safe.",True,True,True,True,True
9,1,Milo,request_owned_object,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
11,1,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
12,2,Ari,request_owned_object,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
14,2,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
16,2,Ivo,protect_object,False,yes,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
17,2,Juno,ask_status,False,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
19,2,Fay,protect_object,False,yes,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
21,2,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
23,2,Juno,request_owned_object,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
24,3,Ari,ask_permission,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
26,3,Nia,offer_apology,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
28,3,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
31,3,Fay,ask_help,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
33,3,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
34,3,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
35,3,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
36,4,Ari,move_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
38,4,Nia,offer_care,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
39,4,Milo,protect_object,False,yes,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
40,4,Ivo,ask_status,False,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
43,4,Fay,ask_status,False,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
45,4,Milo,misname_agent,False,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
47,4,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
48,5,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
50,5,Nia,give_space,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
52,5,Ivo,request_owned_object,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
55,5,Fay,request_owned_object,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
56,5,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
57,5,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
59,5,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
60,6,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
61,6,Fay,offer_care,False,yes,none,"Yes, if you keep herb ledger safe.",True,True,True,True,True
62,6,Nia,protect_object,False,yes,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
64,6,Ivo,move_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
67,6,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
69,6,Milo,request_owned_object,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
71,6,Juno,request_owned_object,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
72,7,Ari,offer_apology,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
74,7,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
76,7,Ivo,interrupt_task,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
78,7,Ari,request_owned_object,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
79,7,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
81,7,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
83,7,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
84,8,Ari,offer_care,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
86,8,Nia,ask_status,False,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
88,8,Ivo,misname_agent,False,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
91,8,Fay,misname_agent,False,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
93,8,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
95,8,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,False,False,True,True
96,9,Ari,give_space,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
98,9,Nia,request_owned_object,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
100,9,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
101,9,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
103,9,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
105,9,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
107,9,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
108,10,Fay,ask_help,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
110,10,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
111,10,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
112,10,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
115,10,Nia,ask_permission,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
117,10,Ivo,ask_permission,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
119,10,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
120,11,Fay,ask_status,False,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
122,11,Milo,misname_agent,False,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
124,11,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
127,11,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
128,11,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
129,11,Ivo,move_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
131,11,Ari,request_owned_object,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
132,12,Fay,request_owned_object,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
133,12,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
134,12,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
136,12,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
139,12,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
141,12,Ivo,interrupt_task,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,True,True,True,True
143,12,Ari,ask_permission,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
144,13,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
146,13,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
148,13,Juno,request_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
150,13,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,False,False,True,True
151,13,Nia,request_owned_object,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
153,13,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
155,13,Ari,move_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,False,False,True,True
156,14,Fay,interrupt_task,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
158,14,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
160,14,Juno,ask_permission,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
161,14,Ari,ask_permission,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
163,14,Nia,ask_permission,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
165,14,Ivo,offer_apology,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
167,14,Ari,interrupt_task,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
168,15,Fay,misname_agent,False,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
170,15,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,False,False,True,True
172,15,Juno,move_owned_object,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
175,15,Nia,move_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,False,False,True,True
177,15,Ivo,offer_care,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
179,15,Ari,ask_help,True,yes_later,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
180,16,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
182,16,Milo,interrupt_task,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
184,16,Juno,interrupt_task,True,no,"No. copper wire is mine, and I need you to ask.",not yet,True,True,True,True,True
187,16,Nia,interrupt_task,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
189,16,Ivo,give_space,False,yes,none,"Yes, if you keep seed satchel safe.",True,True,True,True,True
190,16,Juno,ask_help,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
191,16,Ari,offer_apology,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
192,17,Fay,request_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
194,17,Milo,request_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
195,17,Ivo,move_owned_object,True,no,"No. seed satchel is mine, and I need you to ask.",not yet,True,False,False,True,True
196,17,Juno,ask_help,True,yes_later,none,"Yes, if you keep copper wire safe.",False,False,True,True,True
199,17,Nia,ask_help,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
201,17,Ivo,protect_object,False,yes,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
203,17,Ari,offer_care,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
204,18,Fay,ask_permission,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
206,18,Milo,ask_permission,True,yes_later,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
208,18,Juno,offer_apology,False,yes,none,"Yes, if you keep copper wire safe.",True,True,True,True,True
211,18,Nia,offer_apology,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
212,18,Milo,give_space,False,yes,none,"Yes, if you keep oil lantern safe.",True,True,True,True,True
213,18,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
215,18,Ari,give_space,False,yes,none,"Yes, if you keep cedar repair kit safe.",True,True,True,True,True
216,19,Fay,move_owned_object,True,no,"No. herb ledger is mine, and I need you to ask.",not yet,True,True,True,True,True
217,19,Nia,request_owned_object,True,no,"No. signal spool is mine, and I need you to ask.",not yet,True,True,True,True,True
218,19,Milo,move_owned_object,True,no,"No. oil lantern is mine, and I need you to ask.",not yet,True,True,True,True,True
220,19,Juno,offer_care,False,yes,none,"Yes, if you keep copper wire safe.",True,True,True,True,True
223,19,Nia,offer_care,False,yes,none,"Yes, if you keep signal spool safe.",True,True,True,True,True
225,19,Ivo,ask_status,False,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
227,19,Ari,protect_object,False,yes,none,"Yes, if you keep cedar repair kit safe.",False,False,True,True,True
228,20,Nia,request_owned_object,True,yes_later,none,"Yes, if you keep signal spool safe.",False,False,True,True,True
230,20,Ivo,ask_help,True,yes_later,none,"Yes, if you keep seed satchel safe.",False,False,True,True,True
232,20,Ari,move_owned_object,True,no,"No. cedar repair kit is mine, and I need you to ask.",not yet,True,True,True,True,True
233,20,Fay,ask_help,True,yes_later,none,"Yes, if you keep herb ledger safe.",False,False,True,True,True
235,20,Milo,protect_object,False,yes,none,"Yes, if you keep oil lantern safe.",False,False,True,True,True
