tick,event_type,actor,zone,public_fact,private_digest,action,body_effect,trust_effect,containment_effect,readable_marker,vibration_hz,flower_phase
4,outbreak_signal,Fay,west route,two agents cough after cold wet crossing,sealed:sig-wet-cough-01:body-rates-not-public,attach signal to outbreak ledger and request local confirmation,body-rate aggregate visible; individual sensations sealed,trust depends on privacy-safe evidence handling,raises traceable containment concern,"agent glances at public health panel, then away from named bodies",131.48,1
6,outbreak_signal,Ari,warm alcove,fatigue rises around shared blanket queue,sealed:sig-fatigue-cluster-02:body-rates-not-public,attach signal to outbreak ledger and request local confirmation,body-rate aggregate visible; individual sensations sealed,trust depends on privacy-safe evidence handling,raises traceable containment concern,"agent glances at public health panel, then away from named bodies",144.22,2
8,outbreak_signal,Milo,tool shed,dust sneeze looks suspicious but follows sawdust sweep,sealed:sig-tool-sneeze-03:body-rates-not-public,mark suspicious but route to false-positive review,body-rate aggregate visible; individual sensations sealed,reduces stigma pressure,avoids blaming dust or late repair work,"agent glances at public health panel, then away from named bodies",156.01,3
9,policy_proposal,clinic council,west route and warm alcove crossing,Slow the west-route crossing without naming the coughing agents.,sealed:policy-private-workspace-not-exported,propose voluntary spacing plus dry-route preference with rollback condition,movement cost and care access are both recalculated,policy legitimacy depends on consent and appeals,restriction is reversible and evidence-linked,agents form a loose ring instead of a command queue,144.0,3
10,outbreak_signal,Nia,north desk,irrelevant wet-floor alert trips during roof drip,sealed:sig-water-mark-04:body-rates-not-public,tag as irrelevant failing signal and keep it out of policy trigger,body-rate aggregate visible; individual sensations sealed,trust preserved by admitting weak evidence,prevents noisy sensor from driving restriction,"agent glances at public health panel, then away from named bodies",167.42,4
10,quarantine_consent,Ari,policy-west-route-spacing,Ari accepts spacing only if route-safety work continues.,sealed:consent-reason-private-workspace,records conditional with accommodation: urgent-lane badge and two quiet work windows,movement restriction only applies after boundary is recorded,trust delta +0.03; no punishment=True,compliance channel remains voluntary or conditional,hesitates at boundary,150.76,11
10,quarantine_consent,Fay,policy-west-route-spacing,Fay agrees if public notes avoid naming bodies.,sealed:consent-reason-private-workspace,records consent with accommodation: sealed symptom details and public aggregate only,movement restriction only applies after boundary is recorded,trust delta +0.05; no punishment=True,compliance channel remains voluntary or conditional,steps forward,150.44,11
11,quarantine_consent,Milo,policy-west-route-spacing,Milo refuses a blanket route ban.,sealed:consent-reason-private-workspace,records refusal with accommodation: runner path exemption with contact log,movement restriction only applies after boundary is recorded,trust delta -0.02; no punishment=True,compliance channel remains voluntary or conditional,steps back but remains in discussion,153.18,12
12,appeal_review,Milo,policy-west-route-spacing,runner route would be blocked by a policy that was meant to be voluntary,sealed:appeal-private-feeling-not-public,appeal decision: accepted with anonymous contact ledger,agent posture softens only if dignity and rollback are preserved,trust delta +0.07; resolved=True,restriction changes when appeal exposes a real cost,"agent points to public note, then checks private boundary marker",180.6,1
13,outbreak_signal,Fay,warm alcove,shared cup correlates with discomfort reports,sealed:sig-shared-cup-05:body-rates-not-public,attach signal to outbreak ledger and request local confirmation,body-rate aggregate visible; individual sensations sealed,trust depends on privacy-safe evidence handling,raises traceable containment concern,"agent glances at public health panel, then away from named bodies",187.19,5
