tick_id,day,settlement_id,room_id,avatar_x,avatar_y,facing_deg,action,inventory_count,previous_state_key,current_state_key,continuity_valid,scene_clock_ms,replay_frame_key,visible_scene_state
0,1,riverbend,arrival court,1.0,1.0,0,offer_help,0,v44-828110,v44-713470,True,0,ssrm.v44.replay.00000,True
1,1,roofward,arrival court,1.0,1.0,0,inspect_inventory,0,v44-789980,v44-682909,True,250,ssrm.v44.replay.00001,True
2,1,archive,arrival court,1.0,1.0,315,turn_left,0,v44-737421,v44-668113,True,500,ssrm.v44.replay.00002,True
3,1,signal,arrival court,1.12,1.1,0,approach_group,0,v44-696665,v44-608056,True,750,ssrm.v44.replay.00003,True
4,1,orchard,arrival court,1.0,1.0,0,request_permission,0,v44-737754,v44-626297,True,1000,ssrm.v44.replay.00004,True
5,1,repair_ring,arrival court,1.0,1.0,0,pickup_shared_object,0,v44-913867,v44-811610,True,1250,ssrm.v44.replay.00005,True
6,1,riverbend,arrival court,1.12,1.1,0,approach_group,0,v44-713470,v44-740068,True,1500,ssrm.v44.replay.00006,True
7,1,roofward,arrival court,1.0,1.0,0,request_permission,0,v44-682909,v44-682255,True,1750,ssrm.v44.replay.00007,True
8,1,archive,arrival court,1.0,1.0,315,pickup_shared_object,0,v44-668113,v44-670953,True,2000,ssrm.v44.replay.00008,True
9,1,signal,arrival court,1.12,1.1,0,return_object,0,v44-608056,v44-604760,True,2250,ssrm.v44.replay.00009,True
10,1,orchard,arrival court,0.94,0.96,0,wait_respectfully,0,v44-626297,v44-701055,True,2500,ssrm.v44.replay.00010,True
11,1,repair_ring,arrival court,1.0,1.0,0,listen_memory,0,v44-811610,v44-825219,True,2750,ssrm.v44.replay.00011,True
12,1,riverbend,arrival court,1.12,1.1,0,return_object,0,v44-740068,v44-762531,True,3000,ssrm.v44.replay.00012,True
13,1,roofward,arrival court,0.94,0.96,0,wait_respectfully,0,v44-682255,v44-754951,True,3250,ssrm.v44.replay.00013,True
14,1,archive,arrival court,1.0,1.0,315,listen_memory,0,v44-670953,v44-694263,True,3500,ssrm.v44.replay.00014,True
15,1,signal,arrival court,1.36,1.1,0,move_forward,0,v44-604760,v44-627390,True,3750,ssrm.v44.replay.00015,True
16,1,orchard,arrival court,0.94,0.96,45,turn_right,0,v44-701055,v44-722783,True,4000,ssrm.v44.replay.00016,True
17,1,repair_ring,arrival court,1.0,1.0,0,start_conversation,0,v44-825219,v44-832101,True,4250,ssrm.v44.replay.00017,True
18,2,roofward,arrival court,0.94,0.96,0,inspect_inventory,0,v44-754951,v44-758283,True,4500,ssrm.v44.replay.00018,True
19,2,archive,arrival court,1.0,1.0,270,turn_left,0,v44-694263,v44-696257,True,4750,ssrm.v44.replay.00019,True
20,2,signal,arrival court,1.48,1.2,0,approach_group,0,v44-627390,v44-629232,True,5000,ssrm.v44.replay.00020,True
21,2,orchard,arrival court,0.94,0.96,45,request_permission,0,v44-722783,v44-726045,True,5250,ssrm.v44.replay.00021,True
22,2,repair_ring,arrival court,1.0,1.0,0,pickup_shared_object,0,v44-832101,v44-825136,True,5500,ssrm.v44.replay.00022,True
23,2,riverbend,arrival court,1.24,1.2,0,approach_group,0,v44-762531,v44-764569,True,5750,ssrm.v44.replay.00023,True
24,2,roofward,arrival court,0.94,0.96,0,request_permission,0,v44-758283,v44-757965,True,6000,ssrm.v44.replay.00024,True
25,2,archive,arrival court,1.0,1.0,270,pickup_shared_object,0,v44-696257,v44-697268,True,6250,ssrm.v44.replay.00025,True
26,2,signal,arrival court,1.48,1.2,0,return_object,0,v44-629232,v44-630308,True,6500,ssrm.v44.replay.00026,True
27,2,orchard,arrival court,0.88,0.92,45,wait_respectfully,0,v44-726045,v44-725791,True,6750,ssrm.v44.replay.00027,True
28,2,repair_ring,arrival court,1.0,1.0,0,listen_memory,0,v44-825136,v44-832018,True,7000,ssrm.v44.replay.00028,True
29,2,riverbend,arrival court,1.24,1.2,0,return_object,0,v44-764569,v44-772763,True,7250,ssrm.v44.replay.00029,True
