tick_index,agent,valence,arousal,control,safety,attachment,curiosity,frustration,dignity,comfort,fatigue,dominant_welfare_state,affect_vector
1,Ari,0.617136,0.304619,0.660735,0.711852,0.554262,0.427448,0.231854,0.631202,0.645024,0.28356,settled_recovering,v=0.62;a=0.30;c=0.66;safe=0.71;att=0.55;cur=0.43;fr=0.23;dig=0.63
2,Fay,0.588633,0.318419,0.660332,0.70454,0.557891,0.550508,0.235633,0.632116,0.631328,0.295288,settled_recovering,v=0.59;a=0.32;c=0.66;safe=0.70;att=0.56;cur=0.55;fr=0.24;dig=0.63
3,Milo,0.600563,0.325428,0.657018,0.70191,0.554934,0.758081,0.239358,0.631471,0.634648,0.29927,curious_exploring,v=0.60;a=0.33;c=0.66;safe=0.70;att=0.55;cur=0.76;fr=0.24;dig=0.63
4,Sol,0.601626,0.392547,0.659604,0.685482,0.555741,0.315429,0.233783,0.630879,0.631074,0.28856,settled_recovering,v=0.60;a=0.39;c=0.66;safe=0.69;att=0.56;cur=0.32;fr=0.23;dig=0.63
5,Ari,0.581282,0.394814,0.610025,0.656862,0.454495,0.402233,0.301942,0.585569,0.593959,0.294543,focused_regulating,v=0.58;a=0.39;c=0.61;safe=0.66;att=0.45;cur=0.40;fr=0.30;dig=0.59
6,Fay,0.597933,0.311336,0.651441,0.715823,0.545068,0.547355,0.262105,0.627543,0.635294,0.293067,settled_recovering,v=0.60;a=0.31;c=0.65;safe=0.72;att=0.55;cur=0.55;fr=0.26;dig=0.63
7,Milo,0.583074,0.349397,0.6473,0.690535,0.540396,0.733754,0.28337,0.626524,0.620671,0.319654,curious_exploring,v=0.58;a=0.35;c=0.65;safe=0.69;att=0.54;cur=0.73;fr=0.28;dig=0.63
8,Sol,0.718492,0.356074,0.778594,0.703546,0.54167,0.317478,0.14714,0.734495,0.706276,0.294828,settled_recovering,v=0.72;a=0.36;c=0.78;safe=0.70;att=0.54;cur=0.32;fr=0.15;dig=0.73
9,Ari,0.708348,0.338462,0.631727,0.80098,0.481469,0.406839,0.207259,0.599632,0.69477,0.179385,settled_recovering,v=0.71;a=0.34;c=0.63;safe=0.80;att=0.48;cur=0.41;fr=0.21;dig=0.60
10,Fay,0.713842,0.289725,0.740836,0.835177,0.702271,0.546041,0.198241,0.720357,0.751672,0.283725,settled_recovering,v=0.71;a=0.29;c=0.74;safe=0.84;att=0.70;cur=0.55;fr=0.20;dig=0.72
11,Milo,0.567704,0.326306,0.560369,0.708937,0.501724,0.742989,0.373191,0.528608,0.598598,0.301608,curious_exploring,v=0.57;a=0.33;c=0.56;safe=0.71;att=0.50;cur=0.74;fr=0.37;dig=0.53
12,Sol,0.715012,0.333589,0.71649,0.714268,0.53351,0.423908,0.215807,0.685687,0.695119,0.300415,settled_recovering,v=0.72;a=0.33;c=0.72;safe=0.71;att=0.53;cur=0.42;fr=0.22;dig=0.69
13,Ari,0.788916,0.23547,0.685484,0.772235,0.497115,0.409821,0.12021,0.621228,0.732495,0.16604,settled_recovering,v=0.79;a=0.24;c=0.69;safe=0.77;att=0.50;cur=0.41;fr=0.12;dig=0.62
14,Fay,0.774173,0.262695,0.706557,0.890175,0.793448,0.527556,0.143995,0.678723,0.795927,0.202827,settled_recovering,v=0.77;a=0.26;c=0.71;safe=0.89;att=0.79;cur=0.53;fr=0.14;dig=0.68
15,Milo,0.69218,0.312871,0.68343,0.719487,0.674174,0.748275,0.264764,0.662329,0.696183,0.30664,curious_exploring,v=0.69;a=0.31;c=0.68;safe=0.72;att=0.67;cur=0.75;fr=0.26;dig=0.66
16,Sol,0.669024,0.321089,0.679097,0.720491,0.528776,0.3806,0.256736,0.657377,0.669921,0.30746,settled_recovering,v=0.67;a=0.32;c=0.68;safe=0.72;att=0.53;cur=0.38;fr=0.26;dig=0.66
17,Ari,0.687186,0.283985,0.673613,0.744572,0.506189,0.40137,0.189944,0.620314,0.680766,0.186075,settled_recovering,v=0.69;a=0.28;c=0.67;safe=0.74;att=0.51;cur=0.40;fr=0.19;dig=0.62
18,Fay,0.687442,0.303921,0.681147,0.810329,0.681691,0.52168,0.20388,0.654575,0.720022,0.228696,settled_recovering,v=0.69;a=0.30;c=0.68;safe=0.81;att=0.68;cur=0.52;fr=0.20;dig=0.65
19,Milo,0.643629,0.390021,0.660888,0.700635,0.609556,0.730506,0.283258,0.644422,0.659122,0.317353,curious_exploring,v=0.64;a=0.39;c=0.66;safe=0.70;att=0.61;cur=0.73;fr=0.28;dig=0.64
20,Sol,0.610241,0.392003,0.618401,0.664903,0.441191,0.339791,0.320086,0.600428,0.608501,0.316577,focused_regulating,v=0.61;a=0.39;c=0.62;safe=0.66;att=0.44;cur=0.34;fr=0.32;dig=0.60
21,Ari,0.658119,0.28856,0.669478,0.739296,0.511452,0.406469,0.223871,0.619784,0.666874,0.181861,settled_recovering,v=0.66;a=0.29;c=0.67;safe=0.74;att=0.51;cur=0.41;fr=0.22;dig=0.62
22,Fay,0.627904,0.340906,0.669821,0.748773,0.616872,0.504051,0.250253,0.640569,0.668498,0.251832,settled_recovering,v=0.63;a=0.34;c=0.67;safe=0.75;att=0.62;cur=0.50;fr=0.25;dig=0.64
23,Milo,0.742004,0.346884,0.778297,0.715627,0.572077,0.741809,0.176187,0.742941,0.722822,0.322928,curious_exploring,v=0.74;a=0.35;c=0.78;safe=0.72;att=0.57;cur=0.74;fr=0.18;dig=0.74
24,Sol,0.722086,0.335259,0.634864,0.805644,0.475232,0.332796,0.21895,0.607928,0.701756,0.187939,settled_recovering,v=0.72;a=0.34;c=0.63;safe=0.81;att=0.48;cur=0.33;fr=0.22;dig=0.61
25,Ari,0.749875,0.27792,0.759716,0.848792,0.679145,0.408983,0.164692,0.714943,0.771661,0.179782,settled_recovering,v=0.75;a=0.28;c=0.76;safe=0.85;att=0.68;cur=0.41;fr=0.16;dig=0.71
26,Fay,0.590894,0.321262,0.580969,0.742288,0.549037,0.521112,0.338472,0.5374,0.626794,0.230217,settled_recovering,v=0.59;a=0.32;c=0.58;safe=0.74;att=0.55;cur=0.52;fr=0.34;dig=0.54
27,Milo,0.725309,0.326822,0.714259,0.722958,0.550339,0.850249,0.233465,0.691177,0.703305,0.329498,curious_exploring,v=0.73;a=0.33;c=0.71;safe=0.72;att=0.55;cur=0.85;fr=0.23;dig=0.69
28,Sol,0.791697,0.236917,0.685998,0.773713,0.494975,0.32797,0.126991,0.625717,0.733939,0.166844,settled_recovering,v=0.79;a=0.24;c=0.69;safe=0.77;att=0.49;cur=0.33;fr=0.13;dig=0.63
29,Ari,0.789058,0.274197,0.719505,0.892503,0.776406,0.388721,0.127871,0.674669,0.803416,0.170623,settled_recovering,v=0.79;a=0.27;c=0.72;safe=0.89;att=0.78;cur=0.39;fr=0.13;dig=0.67
30,Fay,0.70174,0.309953,0.702097,0.738538,0.704573,0.531008,0.229514,0.668074,0.712423,0.236851,settled_recovering,v=0.70;a=0.31;c=0.70;safe=0.74;att=0.70;cur=0.53;fr=0.23;dig=0.67
31,Sol,0.715326,0.266143,0.674912,0.754854,0.506426,0.324807,0.188423,0.622595,0.695736,0.175139,settled_recovering,v=0.72;a=0.27;c=0.67;safe=0.75;att=0.51;cur=0.32;fr=0.19;dig=0.62
32,Ari,0.678555,0.307637,0.691696,0.814192,0.668178,0.388967,0.194878,0.65131,0.717889,0.191927,settled_recovering,v=0.68;a=0.31;c=0.69;safe=0.81;att=0.67;cur=0.39;fr=0.19;dig=0.65
33,Fay,0.638463,0.33532,0.673826,0.721409,0.630143,0.522823,0.258008,0.648399,0.667492,0.264216,settled_recovering,v=0.64;a=0.34;c=0.67;safe=0.72;att=0.63;cur=0.52;fr=0.26;dig=0.65
34,Milo,0.658007,0.395938,0.675541,0.70347,0.537731,0.790292,0.268331,0.661153,0.660838,0.340927,curious_exploring,v=0.66;a=0.40;c=0.68;safe=0.70;att=0.54;cur=0.79;fr=0.27;dig=0.66
35,Sol,0.638783,0.364414,0.629643,0.683723,0.428228,0.306469,0.26367,0.580255,0.626469,0.184888,settled_recovering,v=0.64;a=0.36;c=0.63;safe=0.68;att=0.43;cur=0.31;fr=0.26;dig=0.58
36,Ari,0.646382,0.302411,0.678646,0.779741,0.605406,0.399304,0.22709,0.637761,0.685345,0.188256,settled_recovering,v=0.65;a=0.30;c=0.68;safe=0.78;att=0.61;cur=0.40;fr=0.23;dig=0.64
37,Fay,0.593585,0.361793,0.661327,0.696474,0.586974,0.504094,0.285988,0.636987,0.634538,0.28759,settled_recovering,v=0.59;a=0.36;c=0.66;safe=0.70;att=0.59;cur=0.50;fr=0.29;dig=0.64
38,Milo,0.745676,0.353149,0.784146,0.716454,0.530418,0.7758,0.170518,0.752645,0.721125,0.346486,curious_exploring,v=0.75;a=0.35;c=0.78;safe=0.72;att=0.53;cur=0.78;fr=0.17;dig=0.75
39,Sol,0.737891,0.32138,0.6448,0.81656,0.467713,0.312883,0.186186,0.596227,0.712511,0.166564,settled_recovering,v=0.74;a=0.32;c=0.64;safe=0.82;att=0.47;cur=0.31;fr=0.19;dig=0.60
40,Ari,0.737763,0.283646,0.765276,0.87225,0.733638,0.405401,0.166552,0.725369,0.780193,0.180199,settled_recovering,v=0.74;a=0.28;c=0.77;safe=0.87;att=0.73;cur=0.41;fr=0.17;dig=0.73
41,Fay,0.566729,0.332279,0.5725,0.71217,0.531696,0.521342,0.363177,0.535322,0.604695,0.265227,focused_regulating,v=0.57;a=0.33;c=0.57;safe=0.71;att=0.53;cur=0.52;fr=0.36;dig=0.54
42,Milo,0.724491,0.328603,0.715678,0.723845,0.526177,0.869964,0.232803,0.696805,0.700821,0.352128,curious_exploring,v=0.72;a=0.33;c=0.72;safe=0.72;att=0.53;cur=0.87;fr=0.23;dig=0.70
43,Sol,0.801973,0.226422,0.692548,0.780564,0.490614,0.316902,0.107988,0.618931,0.740938,0.166375,settled_recovering,v=0.80;a=0.23;c=0.69;safe=0.78;att=0.49;cur=0.32;fr=0.11;dig=0.62
44,Ari,0.779669,0.260935,0.723445,0.910826,0.808012,0.390618,0.128646,0.680716,0.808828,0.170074,settled_recovering,v=0.78;a=0.26;c=0.72;safe=0.91;att=0.81;cur=0.39;fr=0.13;dig=0.68
45,Fay,0.683549,0.317549,0.693965,0.720533,0.694515,0.530738,0.247616,0.666869,0.69709,0.271186,settled_recovering,v=0.68;a=0.32;c=0.69;safe=0.72;att=0.69;cur=0.53;fr=0.25;dig=0.67
46,Milo,0.667427,0.316649,0.674203,0.72771,0.523717,0.821494,0.270187,0.664418,0.669785,0.359687,curious_exploring,v=0.67;a=0.32;c=0.67;safe=0.73;att=0.52;cur=0.82;fr=0.27;dig=0.66
47,Sol,0.68397,0.280938,0.676557,0.748019,0.503897,0.308375,0.18486,0.618659,0.680687,0.187862,settled_recovering,v=0.68;a=0.28;c=0.68;safe=0.75;att=0.50;cur=0.31;fr=0.18;dig=0.62
48,Ari,0.680196,0.309784,0.693305,0.819318,0.68651,0.384974,0.199037,0.654817,0.722335,0.198168,settled_recovering,v=0.68;a=0.31;c=0.69;safe=0.82;att=0.69;cur=0.38;fr=0.20;dig=0.65
49,Fay,0.628945,0.402532,0.670176,0.697919,0.62431,0.513265,0.262151,0.6477,0.655582,0.283318,settled_recovering,v=0.63;a=0.40;c=0.67;safe=0.70;att=0.62;cur=0.51;fr=0.26;dig=0.65
50,Milo,0.600821,0.395773,0.610949,0.668448,0.43745,0.775764,0.331604,0.605103,0.60371,0.369695,curious_exploring,v=0.60;a=0.40;c=0.61;safe=0.67;att=0.44;cur=0.78;fr=0.33;dig=0.61
51,Sol,0.650938,0.289056,0.669934,0.740339,0.511601,0.313859,0.222472,0.618502,0.664252,0.183378,settled_recovering,v=0.65;a=0.29;c=0.67;safe=0.74;att=0.51;cur=0.31;fr=0.22;dig=0.62
52,Ari,0.61186,0.351527,0.67911,0.749853,0.616038,0.366342,0.252877,0.639796,0.663735,0.224048,settled_recovering,v=0.61;a=0.35;c=0.68;safe=0.75;att=0.62;cur=0.37;fr=0.25;dig=0.64
53,Fay,0.724408,0.359839,0.786697,0.711942,0.583591,0.525751,0.152873,0.745488,0.717263,0.290023,settled_recovering,v=0.72;a=0.36;c=0.79;safe=0.71;att=0.58;cur=0.53;fr=0.15;dig=0.75
54,Milo,0.708249,0.34013,0.6255,0.8077,0.472256,0.766812,0.22958,0.61123,0.694414,0.242216,curious_exploring,v=0.71;a=0.34;c=0.63;safe=0.81;att=0.47;cur=0.77;fr=0.23;dig=0.61
