tick_id,day,settlement_id,resident_a,resident_b,mediator_id,role_a,role_b,contested_duty,conflict_reason,mediation_state,fairness_before,fairness_after,resentment_before,resentment_after,visible_mediation_card,bounded_conflict
0,1,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,deferred with visible queue,0.62,0.614,0.07,0.076,True,True
2,1,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,mediated by household role,0.62,0.63,0.07,0.062,True,True
4,1,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.62,0.63,0.07,0.062,True,True
6,1,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.614,0.624,0.07,0.062,True,True
8,1,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.63,0.64,0.07,0.062,True,True
10,1,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,loan priority conflict,mediated by household role,0.63,0.64,0.07,0.062,True,True
12,1,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.624,0.634,0.076,0.068,True,True
14,1,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,deferred with visible queue,0.64,0.634,0.062,0.068,True,True
16,1,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.64,0.65,0.062,0.054,True,True
18,2,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.62,0.63,0.07,0.062,True,True
20,2,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,loan priority conflict,mediated by household role,0.62,0.63,0.07,0.062,True,True
22,2,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.62,0.63,0.058,0.05,True,True
24,2,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.63,0.64,0.07,0.062,True,True
26,2,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.63,0.64,0.07,0.062,True,True
28,2,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,deferred with visible queue,0.63,0.624,0.07,0.076,True,True
30,2,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,loan priority conflict,mediated by household role,0.64,0.65,0.062,0.054,True,True
32,2,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,role overlap,mediated by household role,0.64,0.65,0.062,0.054,True,True
34,2,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.624,0.634,0.038,0.03,True,True
36,3,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.634,0.644,0.062,0.054,True,True
38,3,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,role overlap,mediated by household role,0.65,0.66,0.062,0.054,True,True
40,3,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,loan priority conflict,mediated by household role,0.634,0.644,0.068,0.06,True,True
42,3,signal,Kesh,Oda,Ren,lens crafter,wind watcher,watch lens,role overlap,deferred with visible queue,0.644,0.638,0.068,0.074,True,True
44,3,repair_ring,Juno,Pax,Wren,tool keeper,wire maker,cool bench,role overlap,mediated by household role,0.66,0.67,0.054,0.046,True,True
46,3,roofward,Orr,Bex,Sera,hinge repairer,shade watcher,set hinge,role overlap,mediated by household role,0.644,0.654,0.062,0.054,True,True
48,3,signal,Milo,Ren,Oda,rope keeper,lantern steward,check rope,role overlap,mediated by household role,0.638,0.648,0.054,0.046,True,True
50,3,repair_ring,Vale,Wren,Pax,gauge reader,cool watcher,test bell,loan priority conflict,mediated by household role,0.67,0.68,0.054,0.046,True,True
52,3,roofward,Fay,Sera,Bex,lens keeper,ledger steward,clean lens,role overlap,mediated by household role,0.654,0.664,0.06,0.052,True,True
54,4,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.65,0.66,0.062,0.054,True,True
56,4,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,deferred with visible queue,0.634,0.628,0.076,0.082,True,True
58,4,archive,Nia,Toma,Rin,memory keeper,ink maker,sort tags,role overlap,mediated by household role,0.65,0.66,0.042,0.034,True,True
60,4,orchard,Pim,Suf,Mara,cord repairer,row watcher,dry rows,loan priority conflict,mediated by household role,0.66,0.67,0.054,0.046,True,True
62,4,riverbend,Ari,Lio,Nox,repair lead,signal keeper,repair crossing,role overlap,mediated by household role,0.628,0.638,0.018,0.01,True,True
64,4,archive,Vell,Rin,Toma,tag archivist,quiet watcher,seal desk,role overlap,mediated by household role,0.66,0.67,0.062,0.054,True,True
66,4,orchard,Ivo,Mara,Suf,seed keeper,trade steward,count seeds,role overlap,mediated by household role,0.67,0.68,0.054,0.046,True,True
68,4,riverbend,Cee,Nox,Lio,cord steward,water watcher,dry cords,role overlap,mediated by household role,0.638,0.648,0.092,0.084,True,True
