tick_id,day,settlement_id,resident_id,phrase,relationship_prompt,relationship_days,mastery_before,mastery_after,trust_before,trust_after,phrase_used_in_project,phrase_linked_to_resident_memory,persists_across_reload,no_autonomous_language_claim,no_llm_call
0,1,glass_harbor,Oren,net keeper,kept net lane clear,1,0.16,0.169,0.56,0.565,True,True,True,True,True
1,1,cinder_garden,Vale,cool hand,remembered shade first,1,0.16,0.167,0.56,0.563,True,True,True,True,True
2,1,lichen_bridge,Sol,rope safe,waited at the rope,1,0.16,0.169,0.56,0.565,True,True,True,True,True
3,1,orchid_engine,Bea,gear lane,kept the gear lane open,1,0.16,0.167,0.56,0.563,True,True,True,True,True
4,1,moss_ward,Fay,ledger no touch,asked before ledger,1,0.16,0.169,0.56,0.565,True,True,True,True,True
5,1,glass_harbor,Puck,lamp bright,guarded lamp for me,1,0.16,0.167,0.56,0.563,True,True,True,True,True
6,1,cinder_garden,Wren,shade first,left my basket sorted,1,0.16,0.169,0.56,0.565,True,True,True,True,True
7,1,lichen_bridge,Kio,bowl shared,kept bowl shared,1,0.16,0.167,0.56,0.563,True,True,True,True,True
8,1,orchid_engine,Cai,valve wait,did not turn the valve,1,0.16,0.169,0.56,0.565,True,True,True,True,True
9,1,moss_ward,Milo,loom wait,waited during repair,1,0.16,0.167,0.56,0.563,True,True,True,True,True
10,1,glass_harbor,Sera,tea first,shared crossing tea,1,0.16,0.169,0.56,0.565,True,True,True,True,True
11,1,cinder_garden,Juno,seed sleep,kept the path cool,1,0.16,0.167,0.56,0.563,True,True,True,True,True
12,1,lichen_bridge,Luma,signal hush,heard my signal,1,0.16,0.169,0.56,0.565,True,True,True,True,True
13,1,orchid_engine,Dax,orchid rest,let orchid rest,1,0.16,0.167,0.56,0.563,True,True,True,True,True
14,1,moss_ward,Tala,path dry,helped after rain,1,0.16,0.169,0.56,0.565,True,True,True,True,True
15,1,glass_harbor,Nia,net keeper,kept net lane clear,1,0.16,0.167,0.56,0.563,True,True,True,True,True
16,1,cinder_garden,Pax,cool hand,remembered shade first,1,0.16,0.169,0.56,0.565,True,True,True,True,True
17,1,lichen_bridge,Rin,rope safe,waited at the rope,1,0.16,0.167,0.56,0.563,True,True,True,True,True
18,2,moss_ward,Milo,ledger no touch,asked before ledger,2,0.16,0.169,0.563,0.568,True,True,True,True,True
19,2,glass_harbor,Sera,lamp bright,guarded lamp for me,2,0.16,0.167,0.565,0.568,True,True,True,True,True
20,2,cinder_garden,Juno,shade first,left my basket sorted,2,0.16,0.169,0.563,0.568,True,True,True,True,True
21,2,lichen_bridge,Luma,bowl shared,kept bowl shared,2,0.16,0.167,0.565,0.568,True,True,True,True,True
