criterion,passed,score,evidence
report_356_choice_receipt_gate_passing,True,1.0,Report 356 verdict=pass weakest=1.0
source_exposes_accountability_receipt_state,True,1.0,"app.js exposes avatar absence accountability state, render, action, and boundary"
source_preserves_resident_history,True,1.0,app.js records accountability without deleting offscreen resident event/history
visible_accountability_panel_wired,True,1.0,index.html exposes Avatar accountability panel and action
public_state_boundary_includes_accountability,True,1.0,state-boundary audit public world includes accountability receipt
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v117_primary_shell_avatar_absence_accountability_receipt_browser_smoke.json
browser_smoke_used_maintained_shell,True,1.0,http://127.0.0.1:8775/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html
before_accountability_receipt_empty,True,1.0,No avatar absence accountability receipt yet.
resident_thread_resolved_before_accountability,True,1.0,"Threads: avatar-absence-thread avatar-caused pending; milo-offscreen-water-jars resident-caused resolved
Choice: milo-offscreen-water-jars / resident-caused / obligation-action-recorded
Unchosen pending: avatar-absence-thread
Receipt: resident-caused offscreen obligation resolve; avatar-caused absence thread pending"
accountability_marks_avatar_thread_accounted,True,1.0,"receipt={'phase': 'avatar-absence-accounted', 'avatarThreadStatus': 'accounted', 'residentThreadId': 'milo-offscreen-water-jars', 'residentThreadStatus': 'resolved', 'residentHistoryPreserved': True, 'visibleStatus': 'avatar-caused absence accounted; resident-caused milo-offscreen-water-jars remains resolved with obligation resolved/resolved'} threads=[{'id': 'avatar-absence-thread', 'source': 'avatar-caused', 'status': 'accounted'}, {'id': 'milo-offscreen-water-jars', 'source': 'resident-caused', 'status': 'resolved'}]"
resident_thread_history_preserved,True,1.0,"receipt={'phase': 'avatar-absence-accounted', 'avatarThreadStatus': 'accounted', 'residentThreadId': 'milo-offscreen-water-jars', 'residentThreadStatus': 'resolved', 'residentHistoryPreserved': True, 'visibleStatus': 'avatar-caused absence accounted; resident-caused milo-offscreen-water-jars remains resolved with obligation resolved/resolved'}"
visible_accountability_receipt_names_preservation,True,1.0,"Phase: avatar-absence-accounted
Avatar thread: accounted
Resident thread: milo-offscreen-water-jars resolved
History preserved: yes
Receipt: avatar-caused absence accounted; resident-caused milo-offscreen-water-jars remains resolved with obligation resolved/resolved"
resident_schedule_debt_remain_resolved,True,1.0,schedule=milo-offscreen-water-jars: resolved / Milo schedule resolved: follow-up resolved: awning repair checked debt=milo-offscreen-water-jars: settled / debt 2 / Milo debt settled: 2 after resolve
resident_history_names_non_erasure,True,1.0,"* Ari now: debt 1 / trust 0.579 / progress 0.378 / memory: met avatar at arrival court
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.579 progress 0.378
  Fay now: debt 0 / trust 0.632 / progress 0.521 / memory: warned about wet route
  t1 state update: trust/debt/progress changed -> debt 0 trust 0.632 progress 0.521
  t1 offscreen obligation issued: Fay changed Milo's obligation while avatar absent -> debt 0 trust 0.632 progress 0.521
  Milo now: debt 2 / trust 0.499 / progress 0.307 / memory: avatar accounted for absence after milo-offscreen-water-jars
  t1 state update: trust/debt/progress changed -> debt 2 trust 0.479 progress 0.264
  t1 offscreen obligation received: Fay changed Milo's obligation while avatar absent -> debt 3 trust 0.475 progress 0.277
  t3 obligation resolved: bounded action resolved selected follow-up -> debt 2 trust 0.493 progress 0.301
  t4 avatar absence accounted: avatar acknowledged absence without erasing milo-offscreen-water-jars -> debt 2 trust 0.499 progress 0.307
  Sera now: debt 1 / trust 0.542 / progress 0.447 / memory: asked for quiet
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.542 progress 0.447
  Tovan now: debt 1 / trust 0.509 / progress 0.420 / memory: keeps route tokens
  t1 state update: trust/debt/progress changed -> debt 1 trust 0.509 progress 0.42
  Nia now: debt 0 / trust 0.612 / progress 0.503 / memory: remembers quiet greeting
  t1 state update: trust/debt/progress changed -> debt 0 trust 0.612 progress 0.503"
accountability_survives_reload,True,1.0,"receipt={'phase': 'avatar-absence-accounted', 'avatarThreadStatus': 'accounted', 'residentThreadId': 'milo-offscreen-water-jars', 'residentThreadStatus': 'resolved', 'residentHistoryPreserved': True, 'visibleStatus': 'avatar-caused absence accounted; resident-caused milo-offscreen-water-jars remains resolved with obligation resolved/resolved'} text=Phase: avatar-absence-accounted
Avatar thread: accounted
Resident thread: milo-offscreen-water-jars resolved
History preserved: yes
Receipt: avatar-caused absence accounted; resident-caused milo-offscreen-water-jars remains resolved with obligation resolved/resolved"
replay_logs_accountability_receipt,True,1.0,replayHasAccountabilityReceipt=True accountabilityReloaded=True
browser_console_clean,True,1.0,console error count=0
experiment_index_includes_report_357,True,1.0,scripts/run_experiments.py includes Report 357 module
claim_boundary_preserved,True,1.0,"Browser-local avatar absence accountability receipt over the maintained v61 shell only; no LLM call, subjective consciousness, real consent, autonomous natural language, moral patienthood, production persistence, hosted URL proof, complete 3D engine, finished gameplay, or metaphysical claim."
