frame_id,day,tick,avatar_x,avatar_y,selected_agent,local_storage_key,memory_row_count,schedule_row_count,replay_row_count,state_digest,restore_verified
world_free_1_ka60,1,30,42,54,ka60,ssrm239_world_state,1,1,3,day=1;agent=ka60;intent=trade;rows=1,True
world_free_1_mu61,1,35,46,54,mu61,ssrm239_world_state,2,2,6,day=1;agent=mu61;intent=apology;rows=2,True
world_free_1_lo62,1,40,42,54,lo62,ssrm239_world_state,3,3,9,day=1;agent=lo62;intent=boundary;rows=3,True
world_free_1_sa63,1,45,42,57,sa63,ssrm239_world_state,4,4,12,day=1;agent=sa63;intent=goal;rows=4,True
world_free_1_ni64,1,50,46,54,ni64,ssrm239_world_state,5,5,15,day=1;agent=ni64;intent=boundary;rows=5,True
world_free_2_ka60,2,55,42,54,ka60,ssrm239_world_state,6,6,18,day=2;agent=ka60;intent=apology;rows=6,True
world_free_2_mu61,2,60,42,54,mu61,ssrm239_world_state,7,7,21,day=2;agent=mu61;intent=boundary;rows=7,True
world_free_2_lo62,2,65,46,57,lo62,ssrm239_world_state,8,8,24,day=2;agent=lo62;intent=goal;rows=8,True
world_free_2_sa63,2,70,42,57,sa63,ssrm239_world_state,9,9,27,day=2;agent=sa63;intent=boundary;rows=9,True
world_free_2_ni64,2,75,42,54,ni64,ssrm239_world_state,10,10,30,day=2;agent=ni64;intent=boundary;rows=10,True
world_free_3_ka60,3,80,46,54,ka60,ssrm239_world_state,11,11,33,day=3;agent=ka60;intent=boundary;rows=11,True
world_free_3_mu61,3,85,42,57,mu61,ssrm239_world_state,12,12,36,day=3;agent=mu61;intent=goal;rows=12,True
world_free_3_lo62,3,90,42,57,lo62,ssrm239_world_state,13,13,39,day=3;agent=lo62;intent=boundary;rows=13,True
world_free_3_sa63,3,95,46,57,sa63,ssrm239_world_state,14,14,42,day=3;agent=sa63;intent=boundary;rows=14,True
world_free_3_ni64,3,100,42,54,ni64,ssrm239_world_state,15,15,45,day=3;agent=ni64;intent=help;rows=15,True
world_free_5_ka60,5,105,42,57,ka60,ssrm239_world_state,16,16,48,day=5;agent=ka60;intent=boundary;rows=16,True
world_free_5_mu61,5,110,46,57,mu61,ssrm239_world_state,17,17,51,day=5;agent=mu61;intent=boundary;rows=17,True
world_free_5_lo62,5,115,42,57,lo62,ssrm239_world_state,18,18,54,day=5;agent=lo62;intent=help;rows=18,True
world_free_5_sa63,5,120,42,57,sa63,ssrm239_world_state,19,19,57,day=5;agent=sa63;intent=trade;rows=19,True
world_free_5_ni64,5,125,46,60,ni64,ssrm239_world_state,20,20,60,day=5;agent=ni64;intent=apology;rows=20,True
world_free_8_ka60,8,130,42,60,ka60,ssrm239_world_state,21,21,63,day=8;agent=ka60;intent=trade;rows=21,True
world_free_8_mu61,8,135,42,60,mu61,ssrm239_world_state,22,22,66,day=8;agent=mu61;intent=apology;rows=22,True
world_free_8_lo62,8,140,46,60,lo62,ssrm239_world_state,23,23,69,day=8;agent=lo62;intent=boundary;rows=23,True
world_free_8_sa63,8,145,42,63,sa63,ssrm239_world_state,24,24,72,day=8;agent=sa63;intent=goal;rows=24,True
world_free_8_ni64,8,150,42,60,ni64,ssrm239_world_state,25,25,75,day=8;agent=ni64;intent=boundary;rows=25,True
world_free_13_ka60,13,155,46,60,ka60,ssrm239_world_state,26,26,78,day=13;agent=ka60;intent=boundary;rows=26,True
world_free_13_mu61,13,160,42,60,mu61,ssrm239_world_state,27,27,81,day=13;agent=mu61;intent=help;rows=27,True
world_free_13_lo62,13,165,42,63,lo62,ssrm239_world_state,28,28,84,day=13;agent=lo62;intent=trade;rows=28,True
world_free_13_sa63,13,170,46,63,sa63,ssrm239_world_state,29,29,87,day=13;agent=sa63;intent=apology;rows=29,True
world_free_13_ni64,13,175,42,60,ni64,ssrm239_world_state,30,30,90,day=13;agent=ni64;intent=boundary;rows=30,True
world_free_21_ka60,21,180,42,60,ka60,ssrm239_world_state,31,31,93,day=21;agent=ka60;intent=help;rows=31,True
world_free_21_mu61,21,185,46,63,mu61,ssrm239_world_state,32,32,96,day=21;agent=mu61;intent=trade;rows=32,True
world_free_21_lo62,21,190,42,63,lo62,ssrm239_world_state,33,33,99,day=21;agent=lo62;intent=apology;rows=33,True
world_free_21_sa63,21,195,42,63,sa63,ssrm239_world_state,34,34,102,day=21;agent=sa63;intent=boundary;rows=34,True
world_free_21_ni64,21,200,46,60,ni64,ssrm239_world_state,35,35,105,day=21;agent=ni64;intent=goal;rows=35,True
