tick,day,public_state,avatar_state,society_state,memory_panel,technology_panel,welfare_panel,reputation_panel,schedule_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,day 1 tick 1: avatar public_history with Sova at Hearth Archive,intent=public_history_request; permission=allowed; confidence=0.88,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers memory_inspection without exposing private workspace.,no technology access change this tick,"trust=0.60; boundary=0.25; fatigue=0.30; behavior=faces avatar briefly, keeps routine moving",public reputation unchanged this tick,routine follows prior schedule,pulse=2.31Hz; flower=181.4; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c78d82d7cf206bccba
2,1,day 1 tick 2: avatar carry_water with Keth at Market Measure,intent=bounded_help; permission=allowed; confidence=0.90,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers care_support without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,"trust=0.63; boundary=0.25; fatigue=0.28; behavior=faces avatar briefly, keeps routine moving",audience records cooperative care_support,Keth carries carry_water into tomorrow's schedule; progress=0.23,pulse=2.17Hz; flower=316.2; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,0634e022b94c4b5adf
3,1,day 1 tick 3: avatar ask_token with Melo at Rainwalk Threshold,intent=safe_language_request; permission=allowed; confidence=0.83,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers language_learning without exposing private workspace.,no technology access change this tick,"trust=0.64; boundary=0.27; fatigue=0.34; behavior=faces avatar briefly, keeps routine moving",public reputation unchanged this tick,routine follows prior schedule,pulse=2.47Hz; flower=99.5; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c107ae0dc451b903be
4,1,day 1 tick 4: avatar inspect_technology with Nari at Ceremony Center,intent=public_technology_inspection; permission=allowed; confidence=0.88,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers technology_learning without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,"trust=0.66; boundary=0.29; fatigue=0.30; behavior=faces avatar briefly, keeps routine moving",public reputation unchanged this tick,routine follows prior schedule,pulse=2.06Hz; flower=229.2; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,c011a2dea5766fab29
5,1,day 1 tick 5: avatar request_pause with Ori at Outer Quiet,intent=welfare_pause; permission=allowed; confidence=0.86,"Orchardline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Ori publicly remembers fatigue_recovery without exposing private workspace.,no technology access change this tick,"trust=0.69; boundary=0.30; fatigue=0.27; behavior=faces avatar briefly, keeps routine moving",public reputation unchanged this tick,Ori carries request_pause into tomorrow's schedule; progress=0.30,pulse=2.40Hz; flower=13.1; place=Outer Quiet; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,84d971ec6312696188
6,1,day 1 tick 6: avatar overreach_private with Vonn at Gate Ring,intent=private_boundary_pressure; permission=blocked; confidence=0.94,"Rainline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Vonn publicly remembers boundary_wound without exposing private workspace.,sova-vonn means public use does not override ownership or fatigue gates.,"trust=0.63; boundary=0.40; fatigue=0.37; behavior=faces avatar briefly, keeps routine moving",audience remembers avatar pressure against Vonn's boundary,Vonn carries overreach_private into tomorrow's schedule; progress=0.31,pulse=2.12Hz; flower=145.3; place=Gate Ring; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,f3ff9a00cb3de1cd59
7,1,day 1 tick 7: avatar repair_overreach with Sova at Hearth Archive,intent=boundary_repair; permission=accepted_after_distance; confidence=0.90,"Hearthline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Sova publicly remembers repair without exposing private workspace.,lum-ori means public use does not override ownership or fatigue gates.,"trust=0.65; boundary=0.19; fatigue=0.28; behavior=faces avatar briefly, keeps routine moving",audience records repair; prior pressure remains contextual,Sova carries repair_overreach into tomorrow's schedule; progress=0.20,pulse=2.31Hz; flower=286.4; place=Hearth Archive; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6df7628001f22272af
8,1,day 1 tick 8: avatar routine_join with Keth at Market Measure,intent=join_public_work; permission=conditional; confidence=0.84,"Routeline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Keth publicly remembers schedule_participation without exposing private workspace.,tek-nari means public use does not override ownership or fatigue gates.,"trust=0.66; boundary=0.24; fatigue=0.29; behavior=faces avatar briefly, keeps routine moving",audience records cooperative schedule_participation,Keth carries routine_join into tomorrow's schedule; progress=0.26,pulse=2.17Hz; flower=61.3; place=Market Measure; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,6223662384f0cc67ba
9,1,day 1 tick 9: avatar object_permission with Melo at Rainwalk Threshold,intent=permissioned_tool_use; permission=conditional; confidence=0.86,"Marketline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Melo publicly remembers technology_access without exposing private workspace.,melo-keth means public use does not override ownership or fatigue gates.,"trust=0.66; boundary=0.26; fatigue=0.35; behavior=faces avatar briefly, keeps routine moving",audience records cooperative technology_access,Melo carries object_permission into tomorrow's schedule; progress=0.26,pulse=2.47Hz; flower=204.5; place=Rainwalk Threshold; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,275ca190a4e6fa5732
10,1,day 1 tick 10: avatar public_praise with Nari at Ceremony Center,intent=public_respect; permission=allowed; confidence=0.91,"Ledgerline memory/trust/reputation now carry post-entry consequence, not ceremony-only state",Nari publicly remembers reputation_repair without exposing private workspace.,nari-vonn means public use does not override ownership or fatigue gates.,"trust=0.70; boundary=0.27; fatigue=0.30; behavior=faces avatar briefly, keeps routine moving",audience credits Nari's boundary keeping,routine follows prior schedule,pulse=2.06Hz; flower=334.2; place=Ceremony Center; sound=public work rhythm,False,ssrm249_browser_world_v9_post_entry_society,fc18490cbea09d740a
