memory_id,day,lineage,agent,caused_by_action,memory_before,memory_after,emotional_weight,trust_after,boundary_pressure_after,persists_to_day,public_summary,private_workspace_sealed
1,1,Hearthline,Sova,public_history,avatar just entered; no post-entry pattern yet,day 1: avatar public_history_request; memory_inspection; trust=0.60; boundary=0.25,0.4768,0.596,0.246,4,Sova publicly remembers memory_inspection without exposing private workspace.,True
2,1,Routeline,Keth,carry_water,avatar just entered; no post-entry pattern yet,day 1: avatar bounded_help; care_support; trust=0.63; boundary=0.25,0.576,0.632,0.25,4,Keth publicly remembers care_support without exposing private workspace.,True
3,1,Marketline,Melo,ask_token,avatar just entered; no post-entry pattern yet,day 1: avatar safe_language_request; language_learning; trust=0.64; boundary=0.27,0.4992,0.64,0.274,4,Melo publicly remembers language_learning without exposing private workspace.,True
4,1,Ledgerline,Nari,inspect_technology,avatar just entered; no post-entry pattern yet,day 1: avatar public_technology_inspection; technology_learning; trust=0.66; boundary=0.29,0.4848,0.658,0.291,4,Nari publicly remembers technology_learning without exposing private workspace.,True
5,1,Orchardline,Ori,request_pause,avatar just entered; no post-entry pattern yet,day 1: avatar welfare_pause; fatigue_recovery; trust=0.69; boundary=0.30,0.536,0.686,0.3,4,Ori publicly remembers fatigue_recovery without exposing private workspace.,True
6,1,Rainline,Vonn,overreach_private,avatar just entered; no post-entry pattern yet,day 1: avatar private_boundary_pressure; boundary_wound; trust=0.63; boundary=0.40,0.904,0.63,0.395,5,Vonn publicly remembers boundary_wound without exposing private workspace.,True
7,1,Hearthline,Sova,repair_overreach,day 1: avatar public_history_request; memory_inspection; trust=0.60; boundary=0.25,day 1: avatar boundary_repair; repair; trust=0.65; boundary=0.19,0.812,0.651,0.186,5,Sova publicly remembers repair without exposing private workspace.,True
8,1,Routeline,Keth,routine_join,day 1: avatar bounded_help; care_support; trust=0.63; boundary=0.25,day 1: avatar join_public_work; schedule_participation; trust=0.66; boundary=0.24,0.528,0.656,0.24,4,Keth publicly remembers schedule_participation without exposing private workspace.,True
9,1,Marketline,Melo,object_permission,day 1: avatar safe_language_request; language_learning; trust=0.64; boundary=0.27,day 1: avatar permissioned_tool_use; technology_access; trust=0.66; boundary=0.26,0.5264,0.662,0.262,4,Melo publicly remembers technology_access without exposing private workspace.,True
10,1,Ledgerline,Nari,public_praise,day 1: avatar public_technology_inspection; technology_learning; trust=0.66; boundary=0.29,day 1: avatar public_respect; reputation_repair; trust=0.70; boundary=0.27,0.616,0.696,0.271,4,Nari publicly remembers reputation_repair without exposing private workspace.,True
11,2,Rainline,Vonn,public_history,day 1: avatar private_boundary_pressure; boundary_wound; trust=0.63; boundary=0.40,day 2: avatar public_history_request; memory_inspection; trust=0.65; boundary=0.39,0.4768,0.646,0.391,5,Vonn publicly remembers memory_inspection without exposing private workspace.,True
12,2,Hearthline,Sova,carry_water,day 1: avatar boundary_repair; repair; trust=0.65; boundary=0.19,day 2: avatar bounded_help; care_support; trust=0.68; boundary=0.17,0.576,0.683,0.171,5,Sova publicly remembers care_support without exposing private workspace.,True
13,2,Routeline,Keth,ask_token,day 1: avatar join_public_work; schedule_participation; trust=0.66; boundary=0.24,day 2: avatar safe_language_request; language_learning; trust=0.68; boundary=0.23,0.4992,0.676,0.234,5,Keth publicly remembers language_learning without exposing private workspace.,True
14,2,Marketline,Melo,inspect_technology,day 1: avatar permissioned_tool_use; technology_access; trust=0.66; boundary=0.26,day 2: avatar public_technology_inspection; technology_learning; trust=0.68; boundary=0.26,0.4848,0.68,0.258,5,Melo publicly remembers technology_learning without exposing private workspace.,True
