tick_id,day,settlement_id,resident_id,local_phrase,candidate_meaning_a,candidate_meaning_b,confidence_before,confidence_after,misunderstanding_risk_before,misunderstanding_risk_after,repair_action,autonomous_language_claim_blocked,translation_ui_visible
0,1,lichen_bridge,Kio,bridge hum Kio day-1 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.34,0.33,0.42536,0.4278,misread phrase requires warning,True,True
1,1,orchid_engine,Cai,engine ring Cai day-1 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.34,0.348,0.422,0.407,context observed without claiming fluency,True,True
2,1,moss_ward,Milo,moss breath Milo day-1 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.34,0.348,0.422,0.407,context observed without claiming fluency,True,True
3,1,glass_harbor,Sera,harbor chime Sera day-1 tap lantern rail,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.34,0.348,0.42272,0.4076,context observed without claiming fluency,True,True
4,1,cinder_garden,Juno,cinder pulse Juno day-1 wait at ash path,greeting: wait at ash path,custom warning: cool stone is shared,0.34,0.366,0.42272,0.3896,resident gives slower phrase and gesture,True,True
5,1,lichen_bridge,Luma,bridge hum Luma day-1 listen for signal hush,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.34,0.366,0.42272,0.3896,resident gives slower phrase and gesture,True,True
6,1,orchid_engine,Dax,engine ring Dax day-1 show palms to valve listener,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.34,0.348,0.4232,0.408,context observed without claiming fluency,True,True
7,1,moss_ward,Tala,moss breath Tala day-1 show empty hands,greeting: show empty hands,custom warning: leave door-watch path clear,0.34,0.33,0.42536,0.4278,misread phrase requires warning,True,True
8,1,glass_harbor,Nia,harbor chime Nia day-1 tap lantern rail,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.34,0.348,0.422,0.407,context observed without claiming fluency,True,True
9,1,cinder_garden,Pax,cinder pulse Pax day-1 wait at ash path,greeting: bow to shade cloth,custom warning: ask before shade pole,0.34,0.366,0.4232,0.39,resident gives slower phrase and gesture,True,True
10,1,lichen_bridge,Rin,bridge hum Rin day-1 listen for signal hush,greeting: listen for signal hush,custom warning: meal room first for strangers,0.34,0.33,0.42536,0.4278,misread phrase requires warning,True,True
11,1,orchid_engine,Eli,engine ring Eli day-1 show palms to valve listener,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.34,0.348,0.422,0.407,context observed without claiming fluency,True,True
12,1,moss_ward,Ari,moss breath Ari day-1 show empty hands,greeting: stand by rain gate,custom warning: step around blanket circle,0.34,0.348,0.422,0.407,context observed without claiming fluency,True,True
13,1,glass_harbor,Oren,harbor chime Oren day-1 tap lantern rail,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.34,0.348,0.42272,0.4076,context observed without claiming fluency,True,True
14,1,cinder_garden,Vale,cinder pulse Vale day-1 wait at ash path,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.34,0.366,0.42272,0.3896,resident gives slower phrase and gesture,True,True
15,1,lichen_bridge,Sol,bridge hum Sol day-1 listen for signal hush,greeting: touch rope post,custom warning: ask before signal bell,0.34,0.366,0.42272,0.3896,resident gives slower phrase and gesture,True,True
16,1,orchid_engine,Bea,engine ring Bea day-1 show palms to valve listener,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.34,0.348,0.4232,0.408,context observed without claiming fluency,True,True
17,1,moss_ward,Fay,moss breath Fay day-1 show empty hands,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.34,0.33,0.42536,0.4278,misread phrase requires warning,True,True
18,2,cinder_garden,Juno,cinder pulse Juno day-2 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.366,0.374,0.39456,0.3798,context observed without claiming fluency,True,True
19,2,lichen_bridge,Luma,bridge hum Luma day-2 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.366,0.374,0.39552,0.3806,context observed without claiming fluency,True,True
20,2,orchid_engine,Dax,engine ring Dax day-2 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.348,0.356,0.41472,0.3996,context observed without claiming fluency,True,True
21,2,moss_ward,Tala,moss breath Tala day-2 wait for warm-cup phrase,greeting: stand by rain gate,custom warning: step around blanket circle,0.33,0.356,0.43728,0.4034,resident gives slower phrase and gesture,True,True
22,2,glass_harbor,Nia,harbor chime Nia day-2 accept tea-before-crossing,greeting: tap lantern rail,custom warning: leave fog catcher capped,0.348,0.374,0.41256,0.3798,resident gives slower phrase and gesture,True,True
23,2,cinder_garden,Pax,cinder pulse Pax day-2 repeat cool-hand sign,greeting: repeat cool-hand sign,custom warning: do not cross seed rows,0.366,0.374,0.39624,0.3812,context observed without claiming fluency,True,True
24,2,lichen_bridge,Rin,bridge hum Rin day-2 wait for shared-bowl offer,greeting: touch rope post,custom warning: ask before signal bell,0.33,0.32,0.43752,0.4396,misread phrase requires warning,True,True
25,2,orchid_engine,Eli,engine ring Eli day-2 wait for orchid-cup,greeting: show palms to valve listener,custom warning: keep gear wash lane open,0.348,0.356,0.4128,0.398,context observed without claiming fluency,True,True
26,2,moss_ward,Ari,moss breath Ari day-2 wait for warm-cup phrase,greeting: wait for warm-cup phrase,custom warning: ask before touching rain clay,0.348,0.374,0.41304,0.3802,resident gives slower phrase and gesture,True,True
27,2,glass_harbor,Oren,harbor chime Oren day-2 accept tea-before-crossing,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.348,0.338,0.41688,0.4194,misread phrase requires warning,True,True
28,2,cinder_garden,Vale,cinder pulse Vale day-2 repeat cool-hand sign,greeting: wait at ash path,custom warning: cool stone is shared,0.366,0.374,0.39456,0.3798,context observed without claiming fluency,True,True
29,2,lichen_bridge,Sol,bridge hum Sol day-2 wait for shared-bowl offer,greeting: wait for shared-bowl offer,custom warning: do not step on tension rope,0.366,0.374,0.39552,0.3806,context observed without claiming fluency,True,True
30,2,orchid_engine,Bea,engine ring Bea day-2 wait for orchid-cup,greeting: stand outside engine ring,custom warning: ask before orchid lamp,0.348,0.356,0.41472,0.3996,context observed without claiming fluency,True,True
31,2,moss_ward,Fay,moss breath Fay day-2 wait for warm-cup phrase,greeting: show empty hands,custom warning: leave door-watch path clear,0.33,0.356,0.43728,0.4034,resident gives slower phrase and gesture,True,True
32,2,glass_harbor,Puck,harbor chime Puck day-2 accept tea-before-crossing,greeting: accept tea-before-crossing,custom warning: do not dim public lamp,0.34,0.366,0.42272,0.3896,resident gives slower phrase and gesture,True,True
33,2,cinder_garden,Wren,cinder pulse Wren day-2 repeat cool-hand sign,greeting: bow to shade cloth,custom warning: ask before shade pole,0.34,0.348,0.4232,0.408,context observed without claiming fluency,True,True
34,2,lichen_bridge,Kio,bridge hum Kio day-2 wait for shared-bowl offer,greeting: listen for signal hush,custom warning: meal room first for strangers,0.33,0.32,0.43752,0.4396,misread phrase requires warning,True,True
35,2,orchid_engine,Cai,engine ring Cai day-2 wait for orchid-cup,greeting: wait for orchid-cup,custom warning: do not turn valve key,0.348,0.356,0.4128,0.398,context observed without claiming fluency,True,True
36,3,glass_harbor,Nia,harbor chime Nia day-3 pause at lamp pier,greeting: pause at lamp pier,custom warning: ask before lifting nets,0.374,0.382,0.38536,0.3708,context observed without claiming fluency,True,True
37,3,cinder_garden,Pax,cinder pulse Pax day-3 bow to shade cloth,greeting: wait at ash path,custom warning: cool stone is shared,0.374,0.382,0.38776,0.3728,context observed without claiming fluency,True,True
