scenario,agent,episodes,success_rate,mean_steps_to_goal,mean_final_distance,mean_total_loss,mean_calibration_count,mean_prediction_errors,mean_final_orientation_error
aligned_control,action_table_frame,500,1.0,16.024,0.0,125.252,0.0,0.0,
aligned_control,centered_frame,500,1.0,16.018,0.0,125.324,0.0,0.0,0.0
aligned_control,centered_frame_no_recalibration,500,1.0,15.88,0.0,122.814,0.0,0.0,0.0
aligned_control,north_assumption,500,1.0,15.926,0.0,124.15,0.0,0.0,
aligned_control,oracle_frame,500,1.0,15.946,0.0,124.296,0.0,0.0,0.0
hidden_orientation,action_table_frame,500,0.26,16.76153846153846,20.76,523.72,1.0,1.59,
hidden_orientation,centered_frame,500,1.0,17.156,0.0,144.128,1.0,0.0,0.0
hidden_orientation,centered_frame_no_recalibration,500,1.0,17.13,0.0,143.628,1.0,0.0,0.0
hidden_orientation,north_assumption,500,0.246,15.666666666666666,22.4,646.646,0.0,0.0,
hidden_orientation,oracle_frame,500,1.0,16.112,0.0,126.576,0.0,0.0,0.0
orientation_drift,action_table_frame,500,0.998,25.21442885771543,0.002,265.34,7.67,6.694,
orientation_drift,centered_frame,500,1.0,18.906,0.0,164.266,1.8,0.8,0.0
orientation_drift,centered_frame_no_recalibration,500,0.414,21.483091787439612,15.178,472.402,1.0,18.384,0.714
orientation_drift,north_assumption,500,0.306,22.666666666666668,18.968,594.796,0.0,0.0,
orientation_drift,oracle_frame,500,1.0,17.33,0.0,139.812,0.0,0.0,0.0
