tick_index,day,hour,phase,agent,role,routine,autonomous_goal,avatar_pressure,social_context,event_kind,routine_source,routine_continuity_token
1,1,5,dawn,Ari,route keeper,quiet_route_scan,Ari continues dawn routine: quiet_route_scan,0.247829,self-directed,crowding,agent_schedule_not_avatar_command,r243:1:5:Ari:quiet_route_scan:222b4754
2,1,5,dawn,Fay,hearth ritualist,share_water,Fay continues dawn routine: share_water,0.078828,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:1:5:Fay:share_water:8e180ac7
3,1,5,dawn,Milo,market pattern scout,wake_check_body,Milo continues dawn routine: wake_check_body,0.081114,self-directed,ordinary,agent_schedule_not_avatar_command,r243:1:5:Milo:wake_check_body:9e371bc3
4,1,5,dawn,Sol,seed ledger guardian,prepare_tools,Sol continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:1:5:Sol:prepare_tools:177686e4
5,1,8,dawn,Ari,route keeper,prepare_tools,Ari continues dawn routine: prepare_tools,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:1:8:Ari:prepare_tools:db5aeab2
6,1,8,dawn,Fay,hearth ritualist,quiet_route_scan,Fay continues dawn routine: quiet_route_scan,0.500491,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:1:8:Fay:quiet_route_scan:ce0148e5
7,1,8,dawn,Milo,market pattern scout,share_water,Milo continues dawn routine: share_water,0.075108,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:1:8:Milo:share_water:70e874a1
8,1,8,dawn,Sol,seed ledger guardian,wake_check_body,Sol continues dawn routine: wake_check_body,0.087417,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:1:8:Sol:wake_check_body:00cea675
9,1,11,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.084082,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:1:11:Ari:repair_route:067712a0
10,1,11,day,Fay,hearth ritualist,market_exchange,Fay trades without losing boundaries,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:1:11:Fay:market_exchange:341412b1
11,1,11,day,Milo,market pattern scout,repair_route,Milo keeps a route usable,0.247459,self-directed,crowding,agent_schedule_not_avatar_command,r243:1:11:Milo:repair_route:0377de76
12,1,11,day,Sol,seed ledger guardian,teach_skill,Sol continues day routine: teach_skill,0.067045,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:1:11:Sol:teach_skill:e3ec579b
13,1,14,day,Ari,route keeper,repair_route,Ari keeps a route usable,0.094484,self-directed,quiet_success,agent_schedule_not_avatar_command,r243:1:14:Ari:repair_route:067712a0
14,1,14,day,Fay,hearth ritualist,work_project,Fay continues day routine: work_project,0.088726,self-directed,ordinary,agent_schedule_not_avatar_command,r243:1:14:Fay:work_project:504749dc
15,1,14,day,Milo,market pattern scout,market_exchange,Milo trades without losing boundaries,0.0,trusted peer nearby,help_received,agent_schedule_not_avatar_command,r243:1:14:Milo:market_exchange:72f60159
16,1,14,day,Sol,seed ledger guardian,repair_route,Sol keeps a route usable,0.510513,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:1:14:Sol:repair_route:81c86727
17,1,17,dusk,Ari,route keeper,relationship_check,Ari tests whether trust changed,0.519238,avatar nearby,pressure_repeated,agent_schedule_not_avatar_command,r243:1:17:Ari:relationship_check:6b5b0aed
18,1,17,dusk,Fay,hearth ritualist,ritual_hum,Fay stabilizes group rhythm,0.082915,self-directed,cold_rain,agent_schedule_not_avatar_command,r243:1:17:Fay:ritual_hum:f0915dad
19,1,17,dusk,Milo,market pattern scout,hearth_return,Milo continues dusk routine: hearth_return,0.070807,trusted peer nearby,shared_ritual,agent_schedule_not_avatar_command,r243:1:17:Milo:hearth_return:5636ef55
20,1,17,dusk,Sol,seed ledger guardian,ritual_hum,Sol stabilizes group rhythm,0.0,self-directed,object_returned,agent_schedule_not_avatar_command,r243:1:17:Sol:ritual_hum:a9adb958
