tick_id,day,route_id,agent,control_id,button_label,click_kind,animation_state_before,animation_state_after,localstorage_key,localstorage_written,dom_event_handler,visible_state_badge,private_workspace_hidden
0,1,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,idle,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
1,1,roofward_archive,Nia,anim-roofward_archive-step,Step one frame,animation_step,idle,stepped,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'stepped')",Nia: stepped,True
2,1,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
3,1,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,idle,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
4,1,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
5,1,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
6,1,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
7,1,roofward_archive,Nia,anim-roofward_archive-step,Step one frame,animation_step,stepped,stepped,ssrm.v34.route.roofward_archive,True,"clickAnimation(routeId, 'stepped')",Nia: stepped,True
8,1,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
9,1,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
10,1,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
11,1,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
12,2,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
13,2,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
14,2,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
15,2,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
16,2,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
17,2,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
18,2,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
19,2,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
20,2,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
21,2,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
22,2,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
23,2,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
24,3,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
25,3,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
26,3,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
27,3,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
28,3,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
29,3,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
30,3,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
31,3,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
32,3,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
33,3,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
34,3,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
35,3,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
36,4,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
37,4,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
38,4,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
39,4,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
40,4,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
41,4,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
42,4,riverbend_roofward,Ari,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Ari: playing,True
43,4,roofward_archive,Fay,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Fay: stepped,True
44,4,archive_signal,Nia,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Nia: idle,True
45,4,signal_orchard,Milo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Milo: paused,True
46,4,orchard_riverbend,Ivo,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ivo: idle,True
47,4,central_repair_ring,Juno,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Juno: idle,True
48,5,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
49,5,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
50,5,archive_signal,Milo,anim-archive_signal-idle,hold,none,idle,idle,ssrm.v34.route.archive_signal,False,noop,Milo: idle,True
51,5,signal_orchard,Ivo,anim-signal_orchard-pause,Pause body animation,animation_pause,paused,paused,ssrm.v34.route.signal_orchard,True,"clickAnimation(routeId, 'paused')",Ivo: paused,True
52,5,orchard_riverbend,Ari,anim-orchard_riverbend-idle,hold,none,idle,idle,ssrm.v34.route.orchard_riverbend,False,noop,Ari: idle,True
53,5,central_repair_ring,Pax,anim-central_repair_ring-idle,hold,none,idle,idle,ssrm.v34.route.central_repair_ring,False,noop,Pax: idle,True
54,5,riverbend_roofward,Fay,anim-riverbend_roofward-play,Play body animation,animation_play,playing,playing,ssrm.v34.route.riverbend_roofward,True,"clickAnimation(routeId, 'playing')",Fay: playing,True
55,5,roofward_archive,Nia,anim-roofward_archive-idle,hold,none,stepped,stepped,ssrm.v34.route.roofward_archive,False,noop,Nia: stepped,True
