tick_index,agent,current_focus,dominant_need,dominant_feeling,active_memory,active_relationship_concern,current_intention,predicted_next_event,suppressed_alternative_action,private_self_note,public_reveal_mode
1,Ari,avatar_approach at workbench alcove,continue_current_task,focused,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,wet_route_request,wander randomly,I keep the west route safe. This happened to me at workbench alcove.,private
2,Fay,wet_route_request at hearth nest,warmth_and_dryness,focused,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,interrupt_repair,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,private
3,Milo,interrupt_repair at hearth nest,help_with_pain,guarded,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,protect boundary without escalating,give_space,obey immediately despite discomfort,I find patterns before the others do. This happened to me at hearth nest.,dialogue_hint
4,Sol,give_space at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,return_tool,stay guarded forever,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
5,Ari,return_tool at workbench alcove,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,accept repair and soften stance,praise_work,stay guarded forever,I keep the west route safe. This happened to me at workbench alcove.,dialogue_hint
6,Fay,praise_work at rain bridge,attachment_and_trust,comforted,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,misname,wander randomly,I notice when someone is left out. This happened to me at rain bridge.,dialogue_hint
7,Milo,misname at market canopy,respect_for_boundary,guarded,avatar helped me recover during shared_rest.,trust threshold 0.43 with avatar,protect boundary without escalating,apologize,obey immediately despite discomfort,I find patterns before the others do. This happened to me at market canopy.,dialogue_hint
8,Sol,apologize at quiet corner,attachment_and_trust,comforted,avatar confused my identity or memory during ask_same_memory.,trust threshold 0.68 with avatar,accept repair and soften stance,agent_help_request,stay guarded forever,I remember what was promised. This happened to me at quiet corner.,dialogue_hint
9,Ari,agent_help_request at market canopy,attachment_and_trust,comforted,ritual_invite happened to me near workbench alcove.,trust threshold 0.56 with avatar,continue situated task,crowded_market,wander randomly,I keep the west route safe. This happened to me at market canopy.,dialogue_hint
10,Fay,crowded_market at hearth nest,continue_current_task,startled,Milo pressed my boundary during peer_takes_tool.,trust threshold 0.47 with avatar,continue situated task,cold_rain,wander randomly,I notice when someone is left out. This happened to me at hearth nest.,private
