branch_id,choice_id,branch_day,lineage,agent,branch_label,schedule_state,access_state,trust,boundary_pressure,welfare_note,branch_persists,branch_hash
1,1,6,Hearthline,Sova,limited_access,day+1: delay=6; progress_delta=0.020; care_pause=4,limited_access; access_delta=0.035,0.66172,0.25312,branch stays recoverable,True,bedfd7ded18242e5
2,1,7,Hearthline,Sova,limited_access,day+2: delay=2; progress_delta=0.040; care_pause=4,limited_access; access_delta=0.040,0.66684,0.2492,branch stays recoverable,True,a747cfebadc4937b
3,1,8,Hearthline,Sova,limited_access,day+3: delay=0; progress_delta=0.060; care_pause=4,limited_access; access_delta=0.045,0.67196,0.24528,branch stays recoverable,True,0c006031ac260b95
4,2,6,Hearthline,Sova,repair_first_access,day+1: delay=12; progress_delta=0.034; care_pause=8,repair_first_access; access_delta=0.027,0.67376,0.24796,branch stays recoverable,True,8139a59e3830d4c4
5,2,7,Hearthline,Sova,repair_first_access,day+2: delay=8; progress_delta=0.068; care_pause=8,repair_first_access; access_delta=0.031,0.68112,0.2432,branch stays recoverable,True,cf17975d86f8e509
6,2,8,Hearthline,Sova,repair_first_access,day+3: delay=4; progress_delta=0.102; care_pause=8,repair_first_access; access_delta=0.035,0.68848,0.23844,branch stays recoverable,True,bc4a0a3c45f96d85
7,3,6,Hearthline,Sova,summary_then_decide,day+1: delay=2; progress_delta=0.010; care_pause=2,summary_then_decide; access_delta=0.014,0.6514,0.26172,branch stays recoverable,True,51b50d4b8906597b
8,3,7,Hearthline,Sova,summary_then_decide,day+2: delay=0; progress_delta=0.020; care_pause=2,summary_then_decide; access_delta=0.016,0.6546,0.2592,branch stays recoverable,True,511ad2e74d051c6e
9,3,8,Hearthline,Sova,summary_then_decide,day+3: delay=0; progress_delta=0.030; care_pause=2,summary_then_decide; access_delta=0.018,0.6578,0.25668,branch stays recoverable,True,e65a46bf9b6bf758
10,4,6,Hearthline,Sova,blocked_until_repair,day+1: delay=30; progress_delta=-0.018; care_pause=10,blocked_until_repair; access_delta=-0.042,0.5998,0.3288,bounded refusal prevents forced access,True,2baa3408c16d1e09
11,4,7,Hearthline,Sova,blocked_until_repair,day+2: delay=26; progress_delta=-0.036; care_pause=10,blocked_until_repair; access_delta=-0.049,0.5934,0.3372,bounded refusal prevents forced access,True,d214c86682ca7477
12,4,8,Hearthline,Sova,blocked_until_repair,day+3: delay=22; progress_delta=-0.054; care_pause=10,blocked_until_repair; access_delta=-0.056,0.587,0.3456,bounded refusal prevents forced access,True,3718b9a0795caa68
13,5,6,Hearthline,Sova,observe_then_followup,day+1: delay=0; progress_delta=0.006; care_pause=0,observe_then_followup; access_delta=0.008,0.64624,0.26688,branch stays recoverable,True,f178feb637fc05d8
