tick,day,loop_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_animation_bound,flower_phase
0,1,v19-loop-001,1.42,1.132,0.18,17.05,0.14,0.08,0.115,1,56.968
1,1,v19-loop-001,1.43,1.132,0.18,17.05,0.14,0.13,0.035,1,194.645764
2,1,v19-loop-001,1.53,1.212,0.18,17.05,0.14,0.13,0.035,0,336.173528
3,1,v19-loop-001,1.49,1.1224,0.18,17.05,0.14,0.13,0.115,1,110.402892
4,1,v19-loop-001,1.47,1.212,0.26,15.85,0.32,0.13,0.035,1,250.169056
5,1,v19-loop-001,1.55,1.262,0.31,18.65,0.14,0.2,0.035,1,30.48682
6,1,v19-loop-001,1.58,1.1996,0.23,17.05,0.14,0.2,0.035,1,166.694984
7,1,v19-loop-001,1.61,1.1224,0.18,17.05,0.14,0.13,0.035,1,302.473948
8,1,v19-loop-002,1.64,1.132,0.18,17.05,0.14,0.13,0.035,1,80.770112
9,1,v19-loop-002,1.67,1.1996,0.23,17.05,0.14,0.2,0.115,1,220.748276
10,1,v19-loop-002,1.7,1.132,0.26,15.85,0.32,0.13,0.035,1,356.80564
11,1,v19-loop-002,1.73,1.1224,0.26,18.65,0.14,0.13,0.035,1,134.545004
12,2,v19-loop-002,1.47,1.212,0.18,17.1,0.14,0.13,0.035,1,270.231168
13,2,v19-loop-002,1.43,1.212,0.18,17.1,0.14,0.13,0.035,1,47.058932
14,2,v19-loop-002,1.46,1.1996,0.23,17.1,0.14,0.2,0.115,1,184.717096
15,2,v19-loop-002,1.49,1.1996,0.31,15.9,0.32,0.2,0.035,1,322.73486
16,2,v19-loop-003,1.52,1.132,0.26,18.7,0.14,0.13,0.035,1,98.792224
17,2,v19-loop-003,1.55,1.1996,0.23,17.1,0.14,0.2,0.035,1,238.770388
18,2,v19-loop-003,1.65,1.212,0.18,17.1,0.14,0.13,0.035,1,18.337752
19,2,v19-loop-003,1.61,1.2296,0.18,17.1,0.14,0.13,0.065,1,155.675916
20,2,v19-loop-003,1.64,1.182,0.23,17.1,0.14,0.13,0.115,1,292.31328
21,2,v19-loop-003,1.67,1.212,0.26,15.9,0.32,0.13,0.035,1,71.201044
22,2,v19-loop-003,1.7,1.1224,0.26,18.7,0.14,0.13,0.035,1,206.620408
23,2,v19-loop-003,1.73,1.212,0.18,17.1,0.14,0.13,0.035,1,347.236572
24,3,v19-loop-004,1.47,1.212,0.18,17.15,0.14,0.13,0.035,1,120.324336
25,3,v19-loop-004,1.43,1.132,0.18,17.15,0.14,0.13,0.115,1,254.8321
26,3,v19-loop-004,1.53,1.212,0.26,15.95,0.32,0.13,0.035,1,36.359864
27,3,v19-loop-004,1.49,1.132,0.26,18.75,0.14,0.13,0.035,1,170.867628
28,3,v19-loop-004,1.52,1.132,0.18,17.15,0.14,0.13,0.035,1,308.885392
29,3,v19-loop-004,1.57,1.132,0.18,17.15,0.14,0.13,0.035,1,87.243156
30,3,v19-loop-004,1.58,1.1996,0.23,17.15,0.14,0.11,0.035,1,226.88132
31,3,v19-loop-004,1.61,1.2296,0.18,17.15,0.14,0.13,0.115,1,5.769084
32,3,v19-loop-005,1.71,1.212,0.26,15.95,0.32,0.13,0.035,1,144.466448
33,3,v19-loop-005,1.62,1.1996,0.31,18.75,0.14,0.15,0.035,0,280.084612
34,3,v19-loop-005,1.7,1.132,0.18,17.15,0.14,0.13,0.035,1,56.991976
35,3,v19-loop-005,1.8,1.212,0.18,17.15,0.14,0.13,0.035,1,198.51974
36,4,v19-loop-005,1.4,1.1224,0.18,17.2,0.14,0.13,0.115,1,326.629104
37,4,v19-loop-005,1.43,1.1224,0.26,16.0,0.32,0.13,0.035,1,104.646868
38,4,v19-loop-005,1.46,1.2296,0.26,18.8,0.14,0.13,0.065,1,245.773432
39,4,v19-loop-005,1.56,1.212,0.18,17.2,0.14,0.13,0.035,1,24.470796
40,4,v19-loop-006,1.59,1.212,0.18,17.2,0.14,0.13,0.035,1,162.48856
41,4,v19-loop-006,1.55,1.2296,0.18,17.2,0.14,0.13,0.085,1,299.826724
42,4,v19-loop-006,1.65,1.212,0.18,17.2,0.14,0.13,0.115,1,78.524088
43,4,v19-loop-006,1.61,1.2296,0.26,16.0,0.32,0.13,0.035,1,215.862252
44,4,v19-loop-006,1.71,1.212,0.26,18.8,0.14,0.08,0.035,1,354.559616
45,4,v19-loop-006,1.67,1.132,0.18,17.2,0.14,0.13,0.035,1,129.06738
46,4,v19-loop-006,1.77,1.212,0.18,17.2,0.14,0.13,0.035,1,270.595144
47,4,v19-loop-006,1.73,1.132,0.18,17.2,0.14,0.13,0.035,1,45.102908
48,5,v19-loop-007,1.4,1.1996,0.31,16.05,0.32,0.2,0.035,1,178.961072
49,5,v19-loop-007,1.5,1.212,0.26,18.85,0.14,0.13,0.035,1,318.528436
50,5,v19-loop-007,1.53,1.212,0.18,17.25,0.14,0.13,0.035,1,96.5462
51,5,v19-loop-007,1.49,1.132,0.18,17.25,0.14,0.13,0.035,1,231.053964
52,5,v19-loop-007,1.59,1.212,0.18,17.25,0.14,0.13,0.035,1,12.581728
53,5,v19-loop-007,1.55,1.1996,0.23,17.25,0.14,0.2,0.115,1,149.049892
54,5,v19-loop-007,1.65,1.212,0.26,16.05,0.32,0.13,0.035,1,288.617256
55,5,v19-loop-007,1.61,1.2796,0.31,18.85,0.14,0.15,0.035,1,67.40542
56,5,v19-loop-008,1.64,1.132,0.18,17.25,0.14,0.13,0.035,1,201.142784
57,5,v19-loop-008,1.67,1.132,0.18,17.25,0.14,0.13,0.065,1,339.160548
58,5,v19-loop-008,1.72,1.132,0.18,17.25,0.14,0.13,0.035,1,117.518312
59,5,v19-loop-008,1.73,1.132,0.18,17.25,0.14,0.13,0.115,1,255.196076
60,6,v19-loop-008,1.4,1.2796,0.31,18.9,0.19,0.2,0.035,1,31.37424
