tick_id,day,agent,project_id,public_memory_key,remembered_delegate,remembered_debt,remembered_conflict,remembered_outcome,private_workspace_sealed,replay_pointer
0,1,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day1,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:0:greenhouse_heat_loop
1,1,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day1,Ari->Milo:lamp_markers,Milo->Ari:oil:0.00,oil:none,not_ready,True,replay:1:flood_bridge_market_route
2,1,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day1,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:2:archive_public_kiosk
3,1,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day1,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:3:dusk_signal_court
4,1,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day1,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:4:greenhouse_heat_loop
5,1,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day1,Ari->Milo:lamp_markers,Milo->Ari:oil:0.00,oil:none,not_ready,True,replay:5:flood_bridge_market_route
6,1,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day1,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:6:archive_public_kiosk
7,1,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day1,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:7:dusk_signal_court
8,1,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day1,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:8:greenhouse_heat_loop
9,1,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day1,Ari->Milo:lamp_markers,Milo->Ari:oil:0.00,oil:none,not_ready,True,replay:9:flood_bridge_market_route
10,1,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day1,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:10:archive_public_kiosk
11,1,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day1,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:11:dusk_signal_court
12,1,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day1,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:12:greenhouse_heat_loop
13,1,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day1,Ari->Milo:lamp_markers,Milo->Ari:oil:0.00,oil:none,not_ready,True,replay:13:flood_bridge_market_route
14,1,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day1,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:14:archive_public_kiosk
15,1,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day1,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:15:dusk_signal_court
16,1,Milo,greenhouse_heat_loop,v26:Milo:greenhouse_heat_loop:day1,Fay->Milo:coil_pipe,Milo->Fay:copper:0.00,copper:none,not_ready,True,replay:16:greenhouse_heat_loop
17,1,Milo,flood_bridge_market_route,v26:Milo:flood_bridge_market_route:day1,Ari->Milo:lamp_markers,Milo->Ari:oil:0.00,oil:none,not_ready,True,replay:17:flood_bridge_market_route
18,1,Ari,archive_public_kiosk,v26:Ari:archive_public_kiosk:day1,Nia->Ari:build_frame,Ari->Nia:ink:0.00,ink:none,not_ready,True,replay:18:archive_public_kiosk
19,1,Fay,dusk_signal_court,v26:Fay:dusk_signal_court:day1,Milo->Fay:comfort_corner,Fay->Milo:rope:0.00,rope:none,not_ready,True,replay:19:dusk_signal_court
20,2,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day2,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:20:greenhouse_heat_loop
21,2,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day2,Ari->Nia:survey_piers,Nia->Ari:planks:0.00,planks:none,not_ready,True,replay:21:flood_bridge_market_route
22,2,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day2,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:22:archive_public_kiosk
23,2,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day2,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:23:dusk_signal_court
24,2,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day2,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:24:greenhouse_heat_loop
25,2,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day2,Ari->Nia:survey_piers,Nia->Ari:planks:0.00,planks:none,not_ready,True,replay:25:flood_bridge_market_route
26,2,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day2,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:26:archive_public_kiosk
27,2,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day2,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:27:dusk_signal_court
28,2,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day2,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:28:greenhouse_heat_loop
29,2,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day2,Ari->Nia:survey_piers,Nia->Ari:planks:0.00,planks:none,not_ready,True,replay:29:flood_bridge_market_route
30,2,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day2,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:30:archive_public_kiosk
31,2,Ari,dusk_signal_court,v26:Ari:dusk_signal_court:day2,Milo->Ari:stake_posts,Ari->Milo:oil:0.00,oil:none,not_ready,True,replay:31:dusk_signal_court
32,2,Fay,greenhouse_heat_loop,v26:Fay:greenhouse_heat_loop:day2,Fay->Fay:plant_bed,Milo->Fay:water:0.00,water:none,not_ready,True,replay:32:greenhouse_heat_loop
33,2,Nia,flood_bridge_market_route,v26:Nia:flood_bridge_market_route:day2,Ari->Nia:survey_piers,Nia->Ari:planks:0.00,planks:none,not_ready,True,replay:33:flood_bridge_market_route
34,2,Fay,archive_public_kiosk,v26:Fay:archive_public_kiosk:day2,Nia->Fay:weather_copy,Fay->Nia:thread:0.00,thread:none,not_ready,True,replay:34:archive_public_kiosk
