tick_id,day,agent,route_id,public_memory_key,remembered_branch,remembered_import_export,remembered_simultaneous_task,remembered_dialogue,remembered_recovery,private_workspace_sealed,replay_pointer
0,1,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day1,river ford,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.62,True,replay:0:riverbend_roofward
1,1,Fay,roofward_archive,v31:Fay:roofward_archive:day1,glass stair,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.65,True,replay:1:roofward_archive
2,1,Nia,archive_signal,v31:Nia:archive_signal:day1,paper lane,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.62,True,replay:2:archive_signal
3,1,Milo,signal_orchard,v31:Milo:signal_orchard:day1,dusk road,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.56,True,replay:3:signal_orchard
4,1,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day1,fen track,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.53,True,replay:4:orchard_riverbend
5,1,Juno,central_repair_ring,v31:Juno:central_repair_ring:day1,inner repair yard,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.55,True,replay:5:central_repair_ring
6,1,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day1,river ford,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.62,True,replay:6:riverbend_roofward
7,1,Fay,roofward_archive,v31:Fay:roofward_archive:day1,cool archive lane,imports:2 rev:3,tasks:2 debt:0.09,turn:0 kind:none,0.73,True,replay:7:roofward_archive
8,1,Nia,archive_signal,v31:Nia:archive_signal:day1,stone kiosk path,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.64,True,replay:8:archive_signal
9,1,Milo,signal_orchard,v31:Milo:signal_orchard:day1,dusk road,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.57,True,replay:9:signal_orchard
10,1,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day1,fen track,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.57,True,replay:10:orchard_riverbend
11,1,Juno,central_repair_ring,v31:Juno:central_repair_ring:day1,inner repair yard,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.54,True,replay:11:central_repair_ring
12,1,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day1,orchard ridge detour,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.65,True,replay:12:riverbend_roofward
13,1,Fay,roofward_archive,v31:Fay:roofward_archive:day1,cool archive lane,imports:2 rev:3,tasks:3 debt:0.07,turn:0 kind:none,0.81,True,replay:13:roofward_archive
14,1,Nia,archive_signal,v31:Nia:archive_signal:day1,stone kiosk path,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.68,True,replay:14:archive_signal
15,2,Milo,signal_orchard,v31:Milo:signal_orchard:day2,river lantern loop,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.60,True,replay:15:signal_orchard
16,2,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day2,fen track,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.58,True,replay:16:orchard_riverbend
17,2,Juno,central_repair_ring,v31:Juno:central_repair_ring:day2,inner repair yard,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.54,True,replay:17:central_repair_ring
18,2,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day2,orchard ridge detour,imports:0 rev:1,tasks:0 debt:0.12,turn:0 kind:none,0.68,True,replay:18:riverbend_roofward
19,2,Fay,roofward_archive,v31:Fay:roofward_archive:day2,cool archive lane,imports:2 rev:3,tasks:3 debt:0.07,turn:0 kind:none,0.84,True,replay:19:roofward_archive
20,2,Nia,archive_signal,v31:Nia:archive_signal:day2,paper lane,imports:1 rev:2,tasks:2 debt:0.09,turn:0 kind:none,0.73,True,replay:20:archive_signal
21,2,Milo,signal_orchard,v31:Milo:signal_orchard:day2,river lantern loop,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.62,True,replay:21:signal_orchard
22,2,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day2,fen track,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.59,True,replay:22:orchard_riverbend
23,2,Juno,central_repair_ring,v31:Juno:central_repair_ring:day2,outer bell path,imports:0 rev:1,tasks:1 debt:0.10,turn:0 kind:none,0.57,True,replay:23:central_repair_ring
24,2,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day2,orchard ridge detour,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.71,True,replay:24:riverbend_roofward
25,2,Fay,roofward_archive,v31:Fay:roofward_archive:day2,cool archive lane,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.91,True,replay:25:roofward_archive
26,2,Nia,archive_signal,v31:Nia:archive_signal:day2,paper lane,imports:1 rev:2,tasks:3 debt:0.07,turn:0 kind:none,0.77,True,replay:26:archive_signal
27,2,Milo,signal_orchard,v31:Milo:signal_orchard:day2,river lantern loop,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.65,True,replay:27:signal_orchard
28,2,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day2,fen track,imports:1 rev:2,tasks:2 debt:0.09,turn:0 kind:none,0.63,True,replay:28:orchard_riverbend
29,2,Juno,central_repair_ring,v31:Juno:central_repair_ring:day2,outer bell path,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.61,True,replay:29:central_repair_ring
30,3,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day3,orchard ridge detour,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.75,True,replay:30:riverbend_roofward
31,3,Fay,roofward_archive,v31:Fay:roofward_archive:day3,cool archive lane,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.93,True,replay:31:roofward_archive
32,3,Nia,archive_signal,v31:Nia:archive_signal:day3,paper lane,imports:1 rev:2,tasks:4 debt:0.06,turn:0 kind:none,0.82,True,replay:32:archive_signal
33,3,Milo,signal_orchard,v31:Milo:signal_orchard:day3,river lantern loop,imports:1 rev:2,tasks:1 debt:0.10,turn:0 kind:none,0.72,True,replay:33:signal_orchard
34,3,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day3,fen track,imports:1 rev:2,tasks:2 debt:0.09,turn:0 kind:none,0.63,True,replay:34:orchard_riverbend
35,3,Juno,central_repair_ring,v31:Juno:central_repair_ring:day3,outer bell path,imports:1 rev:2,tasks:2 debt:0.09,turn:0 kind:none,0.69,True,replay:35:central_repair_ring
36,3,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day3,orchard ridge detour,imports:1 rev:2,tasks:0 debt:0.12,turn:0 kind:none,0.78,True,replay:36:riverbend_roofward
37,3,Fay,roofward_archive,v31:Fay:roofward_archive:day3,cool archive lane,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.93,True,replay:37:roofward_archive
38,3,Nia,archive_signal,v31:Nia:archive_signal:day3,paper lane,imports:1 rev:2,tasks:4 debt:0.06,turn:0 kind:none,0.82,True,replay:38:archive_signal
39,3,Milo,signal_orchard,v31:Milo:signal_orchard:day3,river lantern loop,imports:2 rev:3,tasks:2 debt:0.09,turn:0 kind:none,0.81,True,replay:39:signal_orchard
40,3,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day3,fen track,imports:1 rev:2,tasks:3 debt:0.07,turn:0 kind:none,0.67,True,replay:40:orchard_riverbend
41,3,Juno,central_repair_ring,v31:Juno:central_repair_ring:day3,outer bell path,imports:1 rev:2,tasks:2 debt:0.09,turn:0 kind:none,0.72,True,replay:41:central_repair_ring
42,3,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day3,orchard ridge detour,imports:2 rev:3,tasks:0 debt:0.12,turn:0 kind:none,0.81,True,replay:42:riverbend_roofward
43,3,Fay,roofward_archive,v31:Fay:roofward_archive:day3,cool archive lane,imports:2 rev:3,tasks:5 debt:0.04,turn:0 kind:none,0.94,True,replay:43:roofward_archive
44,3,Nia,archive_signal,v31:Nia:archive_signal:day3,paper lane,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.84,True,replay:44:archive_signal
45,4,Milo,signal_orchard,v31:Milo:signal_orchard:day4,river lantern loop,imports:2 rev:3,tasks:2 debt:0.09,turn:0 kind:none,0.84,True,replay:45:signal_orchard
46,4,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day4,market plank route,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.75,True,replay:46:orchard_riverbend
47,4,Juno,central_repair_ring,v31:Juno:central_repair_ring:day4,outer bell path,imports:1 rev:2,tasks:3 debt:0.07,turn:0 kind:none,0.79,True,replay:47:central_repair_ring
48,4,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day4,orchard ridge detour,imports:2 rev:3,tasks:0 debt:0.12,turn:0 kind:none,0.84,True,replay:48:riverbend_roofward
49,4,Fay,roofward_archive,v31:Fay:roofward_archive:day4,cool archive lane,imports:3 rev:4,tasks:5 debt:0.04,turn:0 kind:none,0.94,True,replay:49:roofward_archive
50,4,Nia,archive_signal,v31:Nia:archive_signal:day4,paper lane,imports:2 rev:3,tasks:5 debt:0.04,turn:0 kind:none,0.88,True,replay:50:archive_signal
51,4,Milo,signal_orchard,v31:Milo:signal_orchard:day4,river lantern loop,imports:2 rev:3,tasks:2 debt:0.09,turn:0 kind:none,0.87,True,replay:51:signal_orchard
52,4,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day4,market plank route,imports:2 rev:3,tasks:5 debt:0.04,turn:0 kind:none,0.83,True,replay:52:orchard_riverbend
53,4,Juno,central_repair_ring,v31:Juno:central_repair_ring:day4,outer bell path,imports:1 rev:2,tasks:3 debt:0.07,turn:0 kind:none,0.82,True,replay:53:central_repair_ring
54,4,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day4,orchard ridge detour,imports:3 rev:4,tasks:0 debt:0.12,turn:0 kind:none,0.88,True,replay:54:riverbend_roofward
55,4,Fay,roofward_archive,v31:Fay:roofward_archive:day4,cool archive lane,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:55:roofward_archive
56,4,Nia,archive_signal,v31:Nia:archive_signal:day4,paper lane,imports:2 rev:3,tasks:5 debt:0.04,turn:0 kind:none,0.87,True,replay:56:archive_signal
57,4,Milo,signal_orchard,v31:Milo:signal_orchard:day4,river lantern loop,imports:2 rev:3,tasks:2 debt:0.09,turn:0 kind:none,0.90,True,replay:57:signal_orchard
58,4,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day4,market plank route,imports:2 rev:3,tasks:6 debt:0.03,turn:0 kind:none,0.91,True,replay:58:orchard_riverbend
59,4,Juno,central_repair_ring,v31:Juno:central_repair_ring:day4,outer bell path,imports:2 rev:3,tasks:3 debt:0.07,turn:0 kind:none,0.86,True,replay:59:central_repair_ring
60,5,Fay,roofward_archive,v31:Fay:roofward_archive:day5,glass stair,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:60:roofward_archive
61,5,Nia,archive_signal,v31:Nia:archive_signal:day5,paper lane,imports:3 rev:4,tasks:5 debt:0.04,turn:0 kind:none,0.88,True,replay:61:archive_signal
62,5,Milo,signal_orchard,v31:Milo:signal_orchard:day5,river lantern loop,imports:2 rev:3,tasks:3 debt:0.07,turn:0 kind:none,0.94,True,replay:62:signal_orchard
63,5,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day5,market plank route,imports:2 rev:3,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:63:orchard_riverbend
64,5,Juno,central_repair_ring,v31:Juno:central_repair_ring:day5,inner repair yard,imports:2 rev:3,tasks:4 debt:0.06,turn:0 kind:none,0.91,True,replay:64:central_repair_ring
65,5,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day5,orchard ridge detour,imports:3 rev:4,tasks:1 debt:0.10,turn:0 kind:none,0.94,True,replay:65:riverbend_roofward
66,5,Fay,roofward_archive,v31:Fay:roofward_archive:day5,glass stair,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:66:roofward_archive
67,5,Nia,archive_signal,v31:Nia:archive_signal:day5,paper lane,imports:3 rev:4,tasks:5 debt:0.04,turn:0 kind:none,0.88,True,replay:67:archive_signal
68,5,Milo,signal_orchard,v31:Milo:signal_orchard:day5,river lantern loop,imports:2 rev:3,tasks:3 debt:0.07,turn:0 kind:none,0.93,True,replay:68:signal_orchard
69,5,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day5,market plank route,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:69:orchard_riverbend
70,5,Juno,central_repair_ring,v31:Juno:central_repair_ring:day5,outer bell path,imports:3 rev:4,tasks:5 debt:0.04,turn:0 kind:none,0.94,True,replay:70:central_repair_ring
71,5,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day5,orchard ridge detour,imports:3 rev:4,tasks:1 debt:0.10,turn:0 kind:none,0.93,True,replay:71:riverbend_roofward
72,5,Fay,roofward_archive,v31:Fay:roofward_archive:day5,glass stair,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:72:roofward_archive
73,5,Nia,archive_signal,v31:Nia:archive_signal:day5,paper lane,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.93,True,replay:73:archive_signal
74,5,Milo,signal_orchard,v31:Milo:signal_orchard:day5,river lantern loop,imports:3 rev:4,tasks:3 debt:0.07,turn:0 kind:none,0.94,True,replay:74:signal_orchard
75,6,Ivo,orchard_riverbend,v31:Ivo:orchard_riverbend:day6,market plank route,imports:3 rev:4,tasks:6 debt:0.03,turn:0 kind:none,0.94,True,replay:75:orchard_riverbend
76,6,Juno,central_repair_ring,v31:Juno:central_repair_ring:day6,outer bell path,imports:4 rev:5,tasks:5 debt:0.04,turn:0 kind:none,0.94,True,replay:76:central_repair_ring
77,6,Ari,riverbend_roofward,v31:Ari:riverbend_roofward:day6,orchard ridge detour,imports:3 rev:4,tasks:2 debt:0.09,turn:0 kind:none,0.94,True,replay:77:riverbend_roofward
78,6,Fay,roofward_archive,v31:Fay:roofward_archive:day6,glass stair,imports:3 rev:4,tasks:6 debt:0.03,turn:1 kind:planning_followup,0.93,True,replay:78:roofward_archive
