channel,passed,score,evidence,failure_if_false
pre_patch_loop_found_real_blocker,True,1.0,"Checklist completion is seven repeated Mark done buttons with no one-click complete-from-shell-evidence action after an all-pass reviewer run.; Defect-recorder export can be prepared with zero manual pass/fail records, so the final handoff can look complete while lacking manual recorder evidence.",Report 327 would be speculative rather than defect-driven
completion_button_generated_from_source,True,1.0,primary launcher generator and emitted JS contain the reviewed handoff completion gate,regeneration would erase the handoff-completion guard
completion_button_visible_in_launcher,True,1.0,launcher exposes a first-class completion action in the outside-review controls,cold reviewers still need to infer how to complete the handoff
recorder_export_visible_payload,True,1.0,recorder panel now renders the prepared recorder export payload and boundary,recorder export can still be prepared invisibly or without visible boundary evidence
browser_completion_blocks_without_recorder,True,1.0,"status=Reviewed handoff blocked: missing recorder export, manual recorder outcome.",completion succeeds even when recorder evidence is missing
browser_recorder_export_visible_with_boundary,True,1.0,status=Recorder export prepared.; recordCount=1; boundary=primary-demo-recorder-export-public-local-only,prepared recorder export is not visible with boundary and record counts
browser_completion_succeeds_after_record_and_export,True,1.0,status=7/7 outside-review checklist items complete after shell evidence and recorder export.; ready=true; manualRecordCount=1,reviewed handoff does not complete after all required evidence is present
browser_handoff_payload_carries_completion,True,1.0,status=Outside-review handoff payload visible below.; ready=true; recorderRecordCount=1,final handoff payload does not carry reviewed completion state
browser_full_loop_console_clean,True,1.0,browser console error count was 0,full handoff loop produced browser console errors
boundary_preserved,True,1.0,"Deterministic browser-local outside-review workflow hardening only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. The completion gate is a review integrity guard, not external validation or evidence of inner experience.",report boundary implies more than browser-local review workflow hardening
