tick_id,day,tick,caravan_id,route_id,source,destination,position,speed,cargo,cargo_amount,fatigue,blocked,arrived,visible_marker
0,1,0,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.022686,0.09528,planks,1.35,0.230712,False,False,moving
1,1,1,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.020783,0.09128,herbs,1.5,0.25645,False,False,moving
2,1,2,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.019433,0.09328,paper,1.65,0.280388,False,False,moving
3,1,3,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.0,0.0,oil,1.8,0.313,True,False,blocked
4,1,4,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.018951,0.08528,seeds,1.2,0.331864,False,False,moving
5,1,5,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.031171,0.08728,wire,1.35,0.355802,False,False,moving
6,1,6,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.045386,0.09534,planks,1.35,0.241763,False,False,moving
7,1,7,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.041583,0.091354,herbs,1.5,0.268238,False,False,moving
8,1,8,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.038391,0.090997,paper,1.65,0.291834,False,False,moving
9,1,9,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.01681,0.085732,oil,1.8,0.324517,False,False,moving
10,1,10,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.039268,0.091425,seeds,1.2,0.342265,False,False,moving
11,1,11,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.06241,0.087468,wire,1.35,0.366941,False,False,moving
12,1,12,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.045386,0.0,planks,1.35,0.259763,True,False,blocked
13,1,13,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.063765,0.097423,herbs,1.5,0.278564,False,False,moving
14,2,0,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.053947,0.091097,paper,1.8,0.303617,False,False,moving
15,2,1,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.034351,0.089457,oil,1.2,0.335291,False,False,moving
16,2,2,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.059089,0.089194,seeds,1.35,0.353723,False,False,moving
17,2,3,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.094143,0.088851,wire,1.5,0.378056,False,False,moving
18,2,4,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.067738,0.093881,planks,1.5,0.270486,False,False,moving
19,2,5,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.085422,0.095115,herbs,1.65,0.289949,False,False,moving
20,2,6,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.070544,0.097192,paper,1.8,0.313939,False,False,moving
21,2,7,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.04875,0.089594,oil,1.2,0.346403,False,False,moving
22,2,8,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.059089,0.0,seeds,1.35,0.371723,True,False,blocked
23,2,9,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.126798,0.091435,wire,1.5,0.388787,False,False,moving
24,2,10,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.090105,0.093941,planks,1.5,0.281548,False,False,moving
25,2,11,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.107095,0.095192,herbs,1.65,0.301671,False,False,moving
26,2,12,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.086752,0.094912,paper,1.8,0.325317,False,False,moving
27,2,13,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.063171,0.089727,oil,1.2,0.357852,False,False,moving
28,3,0,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.075353,0.089292,seeds,1.5,0.38283,False,False,moving
29,3,1,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.158665,0.089226,wire,1.65,0.400576,False,False,moving
30,3,2,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.113343,0.097597,planks,1.65,0.291868,False,False,moving
31,3,3,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.129059,0.096463,herbs,1.8,0.313372,False,False,moving
32,3,4,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.102977,0.095015,paper,1.2,0.337034,False,False,moving
33,3,5,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.081496,0.093455,oil,1.35,0.368558,False,False,moving
34,3,6,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.091647,0.089452,seeds,1.5,0.394275,False,False,moving
35,3,7,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.192736,0.095401,wire,1.65,0.410901,False,False,moving
36,3,8,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.135684,0.093832,planks,1.65,0.303269,False,False,moving
37,3,9,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.151585,0.098935,herbs,1.8,0.324691,False,False,moving
38,3,10,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.120244,0.101113,paper,1.2,0.347289,False,False,moving
39,3,11,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.096538,0.093595,oil,1.35,0.379602,False,False,moving
40,3,12,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.107531,0.087206,seeds,1.5,0.406776,False,False,moving
41,3,13,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.226879,0.095599,wire,1.65,0.421562,False,False,moving
42,4,0,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.153726,0.09245,planks,1.8,0.315029,False,False,moving
43,4,1,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.174949,0.102614,herbs,1.2,0.335268,False,False,moving
44,4,2,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.140834,0.098835,paper,1.35,0.358601,False,False,moving
45,4,3,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.111796,0.094931,oil,1.5,0.390623,False,False,moving
46,4,4,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.124388,0.092544,seeds,1.65,0.417826,False,False,moving
47,4,5,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.260233,0.093392,wire,1.8,0.43328,False,False,moving
48,4,6,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.172949,0.098496,planks,1.8,0.325328,False,False,moving
49,4,7,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.198334,0.102706,herbs,1.2,0.346183,False,False,moving
50,4,8,caravan:archive_signal,archive_signal,archive_quarter,signal_ridge,0.15732,0.09654,paper,1.35,0.370971,False,False,moving
51,4,9,caravan:signal_orchard,signal_orchard,signal_ridge,orchard_fen,0.127461,0.097467,oil,1.5,0.401261,False,False,moving
52,4,10,caravan:orchard_riverbend,orchard_riverbend,orchard_fen,riverbend,0.141274,0.092706,seeds,1.65,0.429213,False,False,moving
53,4,11,caravan:central_repair_ring,central_repair_ring,central_exchange,repair_hall,0.295235,0.098005,wire,1.8,0.443558,False,False,moving
54,4,12,caravan:riverbend_roofward,riverbend_roofward,riverbend,roofward,0.191717,0.096167,planks,1.8,0.336686,False,False,moving
55,4,13,caravan:roofward_archive,roofward_archive,roofward,archive_quarter,0.226684,0.102061,herbs,1.2,0.357447,False,False,moving
