tick_index,day,clock_label,agent,event_kind,event_description,visual_lux,sound_hz,sound_pressure,smell_intensity,ambient_temperature_c,wetness_rate,movement_vibration_hz,flower_phase_deg,pain_signal_rate,breath_rate,sensory_packet
1,1,day 1 05:00,Ari,ordinary_walk,low movement through familiar lane,0.700675,183.649715,0.194659,0.268405,20.445392,0.053088,2.604727,224.087764,0.067,16.874888,see=0.70; hear=0.19@183.6hz; smell=0.27; temp=20.4; wet=0.05; pain=0.07; vib=2.60hz
2,1,day 1 06:00,Fay,cold_wet_crossing,wet stones chill feet and slow movement,0.696593,187.198283,0.161736,0.643685,15.590409,0.654735,2.786644,6.555528,0.1845,17.140765,see=0.70; hear=0.16@187.2hz; smell=0.64; temp=15.6; wet=0.65; pain=0.18; vib=2.79hz
3,1,day 1 07:00,Milo,heavy_carry,tool crate adds load and breath cost,0.706006,190.547362,0.169767,0.256027,20.534679,0.073659,2.982355,149.333292,0.2505,17.454556,see=0.71; hear=0.17@190.5hz; smell=0.26; temp=20.5; wet=0.07; pain=0.25; vib=2.98hz
4,1,day 1 08:00,Sol,sharp_noise,sudden metal crack spikes arousal,0.736284,288.604136,0.802392,0.245737,20.577838,0.078878,2.405407,273.201056,0.0695,18.102833,see=0.74; hear=0.80@288.6hz; smell=0.25; temp=20.6; wet=0.08; pain=0.07; vib=2.41hz
5,1,day 1 09:00,Ari,crowding,near bodies reduce personal space,0.741932,291.283891,0.677383,0.233224,20.619527,0.079816,2.505807,54.11882,0.067,17.317777,see=0.74; hear=0.68@291.3hz; smell=0.23; temp=20.6; wet=0.08; pain=0.07; vib=2.51hz
6,1,day 1 10:00,Fay,missed_meal,hunger and thirst rise during work,0.742925,198.512362,0.184376,0.218989,20.659403,0.076372,2.582887,196.586584,0.0645,14.251131,see=0.74; hear=0.18@198.5hz; smell=0.22; temp=20.7; wet=0.08; pain=0.06; vib=2.58hz
7,1,day 1 11:00,Milo,pain_twinge,old strain catches during turn,0.741417,200.22779,0.1801,0.203597,20.697137,0.068923,2.750496,339.364348,0.5405,16.128618,see=0.74; hear=0.18@200.2hz; smell=0.20; temp=20.7; wet=0.07; pain=0.54; vib=2.75hz
8,1,day 1 12:00,Sol,avatar_gives_space,avatar steps back and waits,0.755782,201.382634,0.187539,0.187664,20.732417,0.058291,2.302873,103.232112,0.0695,14.290744,see=0.76; hear=0.19@201.4hz; smell=0.19; temp=20.7; wet=0.06; pain=0.07; vib=2.30hz
9,1,day 1 13:00,Ari,warm_shelter,dry heat and low sound restore comfort,0.744727,201.94489,0.171993,0.331824,22.564952,0.0,2.394327,244.149876,0.067,11.784354,see=0.74; hear=0.17@201.9hz; smell=0.33; temp=22.6; wet=0.00; pain=0.07; vib=2.39hz
10,1,day 1 14:00,Fay,trusted_help,known helper shares the work,0.752729,201.898975,0.1746,0.156708,20.794473,0.032377,2.533245,26.61764,0.0645,14.190519,see=0.75; hear=0.17@201.9hz; smell=0.16; temp=20.8; wet=0.03; pain=0.06; vib=2.53hz
11,1,day 1 15:00,Milo,autonomy_pressure,avatar asks again before rest,0.762442,201.246162,0.183119,0.14292,20.820735,0.019949,2.678761,169.395404,0.0605,14.227338,see=0.76; hear=0.18@201.2hz; smell=0.14; temp=20.8; wet=0.02; pain=0.06; vib=2.68hz
12,1,day 1 16:00,Sol,curious_discovery,new beetle-clock pattern invites exploration,0.746151,200.004543,0.190749,0.131009,20.843523,0.009728,2.211269,293.263168,0.0695,14.310645,see=0.75; hear=0.19@200.0hz; smell=0.13; temp=20.8; wet=0.01; pain=0.07; vib=2.21hz
13,1,day 1 17:00,Ari,rest_cycle,agent chooses stillness and slow breath,0.537251,198.208528,0.169991,0.121449,20.862649,0.0,2.287615,74.180932,0.067,11.771946,see=0.54; hear=0.17@198.2hz; smell=0.12; temp=20.9; wet=0.00; pain=0.07; vib=2.29hz
14,1,day 1 18:00,Fay,ritual_hum,group tone stabilizes breath rhythm,0.514978,290.907889,0.650375,0.114622,20.877953,4.2e-05,2.504974,216.648696,0.0645,14.740327,see=0.51; hear=0.65@290.9hz; smell=0.11; temp=20.9; wet=0.00; pain=0.06; vib=2.50hz
15,1,day 1 19:00,Milo,tool_returned,owned object is returned intact,0.740519,193.166387,0.195926,0.110801,20.88931,0.001643,2.566679,359.42646,0.0605,14.306741,see=0.74; hear=0.20@193.2hz; smell=0.11; temp=20.9; wet=0.00; pain=0.06; vib=2.57hz
16,1,day 1 20:00,Sol,ordinary_walk,low movement through familiar lane,0.728216,190.059998,0.179443,0.110136,20.896625,0.007467,2.371483,123.294224,0.0695,16.790547,see=0.73; hear=0.18@190.1hz; smell=0.11; temp=20.9; wet=0.01; pain=0.07; vib=2.37hz
17,1,day 1 21:00,Ari,cold_wet_crossing,wet stones chill feet and slow movement,0.746371,186.67481,0.191626,0.492656,15.999839,0.606872,2.467094,264.211988,0.187,17.336083,see=0.75; hear=0.19@186.7hz; smell=0.49; temp=16.0; wet=0.61; pain=0.19; vib=2.47hz
18,1,day 1 22:00,Fay,heavy_carry,tool crate adds load and breath cost,0.725666,183.10464,0.162289,0.118259,20.898926,0.028823,2.611908,46.679752,0.2545,17.42419,see=0.73; hear=0.16@183.1hz; smell=0.12; temp=20.9; wet=0.03; pain=0.25; vib=2.61hz
