tick,day,scene_id,focus_agent,obligation_visible,return_obligation_visible,trust_access_visible,followup_visible,repair_deferral_visible,residual_debt_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v24-scene-d01,Ori,1,1,1,0,0,0,1.12,93.96,Ori accepts repair for sap hook; access begins recovering,1
1,1,v24-scene-d01,Nari,0,0,1,0,0,0,1.12,225.241764,Nari carries owned-task state across this visit,1
2,1,v24-scene-d01,Ori,1,1,1,1,0,1,1.23,16.663528,Ori follows up on sap hook; unresolved duty changes options,1
3,1,v24-scene-d01,Nari,1,1,1,0,0,0,1.12,141.045292,Nari accepts repair for ink ledger; access begins recovering,1
4,1,v24-scene-d01,Ori,1,1,1,0,0,0,1.12,277.547056,Ori accepts repair for sap hook; access begins recovering,1
5,1,v24-scene-d01,Ori,0,0,1,0,0,0,1.12,58.50882,Ori carries owned-task state across this visit,1
6,1,v24-scene-d01,Sova,1,1,1,0,0,0,1.12,200.230584,Sova accepts repair for moth lantern; access begins recovering,1
7,1,v24-scene-d01,Nari,1,1,1,0,0,1,1.18,350.952348,Nari carries owned-task state across this visit,1
8,1,v24-scene-d01,Melo,0,1,1,0,0,0,1.12,116.864112,Melo accepts repair for tally beads; access begins recovering,1
9,1,v24-scene-d01,Keth,0,0,1,0,0,0,1.12,255.405876,Keth carries owned-task state across this visit,1
10,1,v24-scene-d01,Melo,1,1,1,0,0,0,1.12,22.60764,Melo accepts repair for tally beads; access begins recovering,1
11,1,v24-scene-d01,Ori,1,1,1,0,0,0,1.12,169.999404,Ori accepts repair for sap hook; access begins recovering,1
12,1,v24-scene-d01,Vonn,1,0,1,0,1,0,1.18,313.111168,Vonn carries owned-task state across this visit,1
13,1,v24-scene-d01,Ori,0,0,1,0,0,0,1.12,77.782932,Ori carries owned-task state across this visit,1
14,1,v24-scene-d01,Ori,1,1,1,0,0,0,1.12,214.664696,Ori accepts repair for sap hook; access begins recovering,1
15,1,v24-scene-d01,Keth,1,1,1,0,0,0,1.12,354.79646,Keth accepts repair for path cord; access begins recovering,1
16,1,v24-scene-d01,Sova,1,1,1,1,1,1,1.23,160.148224,Sova follows up on moth lantern; unresolved duty changes options,1
17,1,v24-scene-d01,Melo,0,0,1,0,0,0,1.12,277.099988,Melo carries owned-task state across this visit,1
18,2,v24-scene-d02,Sova,1,1,1,0,0,0,1.12,39.419752,Sova accepts repair for moth lantern; access begins recovering,1
19,2,v24-scene-d02,Nari,1,1,1,1,0,1,1.23,204.981516,Nari follows up on ink ledger; unresolved duty changes options,1
20,2,v24-scene-d02,Sova,1,1,1,1,1,1,1.23,337.64328,Sova follows up on ember bowl; unresolved duty changes options,1
21,2,v24-scene-d02,Ori,0,0,1,0,0,0,1.12,105.485044,Ori carries owned-task state across this visit,1
22,2,v24-scene-d02,Vonn,1,0,1,1,0,1,1.29,260.596808,Vonn follows up on rain mirror; unresolved duty changes options,1
23,2,v24-scene-d02,Keth,1,1,1,1,1,1,1.23,33.198572,Keth follows up on path cord; unresolved duty changes options,1
24,2,v24-scene-d02,Melo,1,1,1,1,0,1,1.23,168.700336,Melo follows up on tally beads; unresolved duty changes options,1
25,2,v24-scene-d02,Melo,1,1,1,0,0,0,1.12,290.6621,Melo accepts repair for tally beads; access begins recovering,1
26,2,v24-scene-d02,Nari,1,1,1,0,0,0,1.12,68.373864,Nari accepts repair for ink ledger; access begins recovering,1
27,2,v24-scene-d02,Sova,1,1,1,1,1,1,1.23,230.095628,Sova follows up on ember bowl; unresolved duty changes options,1
28,2,v24-scene-d02,Melo,1,1,1,0,0,0,1.12,347.427392,Melo accepts repair for tally beads; access begins recovering,1
29,2,v24-scene-d02,Sova,1,1,1,0,0,0,1.12,125.139156,Sova accepts repair for ember bowl; access begins recovering,1
30,2,v24-scene-d02,Sova,1,1,1,0,0,0,1.12,251.96092,Sova accepts repair for ember bowl; access begins recovering,1
31,2,v24-scene-d02,Ori,1,1,1,0,0,1,1.18,54.782684,Ori carries owned-task state across this visit,1
32,2,v24-scene-d02,Sova,1,1,1,0,0,0,1.12,169.804448,Sova accepts repair for ember bowl; access begins recovering,1
33,2,v24-scene-d02,Sova,0,0,1,0,0,0,1.12,313.186212,Sova carries owned-task state across this visit,1
34,2,v24-scene-d02,Nari,1,1,1,1,1,1,1.23,110.447976,Nari follows up on ink ledger; unresolved duty changes options,1
35,2,v24-scene-d02,Keth,1,1,1,0,0,0,1.12,225.35974,Keth accepts repair for path cord; access begins recovering,1
36,3,v24-scene-d03,Melo,1,1,1,0,0,1,1.18,17.249504,Melo carries owned-task state across this visit,1
37,3,v24-scene-d03,Melo,0,1,1,0,0,0,1.12,141.951268,Melo accepts repair for tally beads; access begins recovering,1
38,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,311.953032,Vonn follows up on rain mirror; unresolved duty changes options,1
39,3,v24-scene-d03,Nari,1,1,1,0,0,0,1.12,58.584796,Nari accepts repair for ink ledger; access begins recovering,1
40,3,v24-scene-d03,Ori,1,1,1,0,0,0,1.12,195.08656,Ori accepts repair for sap hook; access begins recovering,1
41,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,356.618324,Vonn follows up on rain mirror; unresolved duty changes options,1
42,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,141.380088,Vonn follows up on rain mirror; unresolved duty changes options,1
43,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,280.301852,Vonn follows up on rain mirror; unresolved duty changes options,1
44,3,v24-scene-d03,Keth,1,1,1,0,0,0,1.12,19.883616,Keth accepts repair for path cord; access begins recovering,1
45,3,v24-scene-d03,Melo,0,0,1,0,0,0,1.12,163.26538,Melo carries owned-task state across this visit,1
46,3,v24-scene-d03,Nari,1,1,1,0,0,0,1.12,296.517144,Nari accepts repair for fern key; access begins recovering,1
47,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,115.988908,Vonn follows up on rain mirror; unresolved duty changes options,1
48,3,v24-scene-d03,Nari,1,1,1,0,0,0,1.12,214.360672,Nari accepts repair for fern key; access begins recovering,1
49,3,v24-scene-d03,Sova,0,0,1,0,0,0,1.12,357.742436,Sova carries owned-task state across this visit,1
50,3,v24-scene-d03,Vonn,1,0,1,1,0,1,1.29,160.6542,Vonn follows up on rain mirror; unresolved duty changes options,1
51,3,v24-scene-d03,Melo,1,1,1,0,0,0,1.12,262.655964,Melo accepts repair for tally beads; access begins recovering,1
52,3,v24-scene-d03,Nari,1,1,1,0,0,0,1.12,37.947728,Nari accepts repair for fern key; access begins recovering,1
53,3,v24-scene-d03,Ori,0,0,1,0,0,0,1.12,178.909492,Ori carries owned-task state across this visit,1
54,4,v24-scene-d04,Vonn,1,0,1,1,1,0,1.27,333.849256,Vonn accepts repair for rain mirror; access begins recovering,1
55,4,v24-scene-d04,Keth,1,1,1,0,0,0,1.12,92.25102,Keth accepts repair for path cord; access begins recovering,1
56,4,v24-scene-d04,Keth,1,1,1,0,0,1,1.18,245.392784,Keth carries owned-task state across this visit,1
57,4,v24-scene-d04,Keth,1,1,1,0,0,0,1.12,10.094548,Keth accepts repair for path cord; access begins recovering,1
58,4,v24-scene-d04,Sova,1,1,1,0,0,1,1.18,164.446312,Sova carries owned-task state across this visit,1
59,4,v24-scene-d04,Vonn,1,1,1,0,0,0,1.12,283.098076,Vonn accepts repair for listening shell; access begins recovering,1
60,4,v24-scene-d04,Keth,1,1,1,0,0,0,1.12,66.85984,Keth accepts repair for path cord; access begins recovering,1
61,4,v24-scene-d04,Melo,0,0,1,0,0,0,1.12,198.141604,Melo carries owned-task state across this visit,1
