seed,echo_id,from,to,source_choice_id,message,direct_avatar_command,bounded_refusal_carried,permanent_penalty
36217,36217-SHE-01,Milo,Sera,36217-SHC-01,Milo carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36217,36217-SHE-02,Sera,Nia,36217-SHC-02,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36217,36217-SHE-03,Milo,Nia,36217-SHC-03,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36217,36217-SHE-04,Tovan,Milo,36217-SHC-04,Tovan carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36217,36217-SHE-05,Ari,Nia,36217-SHC-05,Ari carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36217,36217-SHE-06,Ari,Ari,36217-SHC-06,Ari carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36217,36217-SHE-07,Fay,Milo,36217-SHC-07,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36217,36217-SHE-08,Milo,Tovan,36217-SHC-08,Milo carried cautious_help_with_limits from stochastic recovery history,False,False,False
36231,36231-SHE-01,Tovan,Nia,36231-SHC-01,Tovan carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36231,36231-SHE-02,Fay,Sera,36231-SHC-02,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36231,36231-SHE-03,Milo,Nia,36231-SHC-03,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36231,36231-SHE-04,Milo,Ari,36231-SHC-04,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36231,36231-SHE-05,Ari,Nia,36231-SHC-05,Ari carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36231,36231-SHE-06,Tovan,Tovan,36231-SHC-06,Tovan carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36231,36231-SHE-07,Sera,Tovan,36231-SHC-07,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36231,36231-SHE-08,Fay,Sera,36231-SHC-08,Fay carried cautious_help_with_limits from stochastic recovery history,False,False,False
36247,36247-SHE-01,Milo,Sera,36247-SHC-01,Milo carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36247,36247-SHE-02,Fay,Sera,36247-SHC-02,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36247,36247-SHE-03,Fay,Tovan,36247-SHC-03,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36247,36247-SHE-04,Ari,Tovan,36247-SHC-04,Ari carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36247,36247-SHE-05,Fay,Ari,36247-SHC-05,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36247,36247-SHE-06,Ari,Ari,36247-SHC-06,Ari carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36247,36247-SHE-07,Tovan,Nia,36247-SHC-07,Tovan carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36247,36247-SHE-08,Tovan,Ari,36247-SHC-08,Tovan carried cautious_help_with_limits from stochastic recovery history,False,False,False
36263,36263-SHE-01,Fay,Milo,36263-SHC-01,Fay carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36263,36263-SHE-02,Milo,Tovan,36263-SHC-02,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36263,36263-SHE-03,Fay,Tovan,36263-SHC-03,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36263,36263-SHE-04,Fay,Nia,36263-SHC-04,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36263,36263-SHE-05,Milo,Fay,36263-SHC-05,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36263,36263-SHE-06,Ari,Ari,36263-SHC-06,Ari carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36263,36263-SHE-07,Sera,Tovan,36263-SHC-07,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36263,36263-SHE-08,Sera,Nia,36263-SHC-08,Sera carried cautious_help_with_limits from stochastic recovery history,False,False,False
36281,36281-SHE-01,Fay,Milo,36281-SHC-01,Fay carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36281,36281-SHE-02,Tovan,Ari,36281-SHC-02,Tovan carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36281,36281-SHE-03,Fay,Tovan,36281-SHC-03,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36281,36281-SHE-04,Milo,Ari,36281-SHC-04,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36281,36281-SHE-05,Fay,Ari,36281-SHC-05,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36281,36281-SHE-06,Tovan,Tovan,36281-SHC-06,Tovan carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36281,36281-SHE-07,Sera,Tovan,36281-SHC-07,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36281,36281-SHE-08,Tovan,Ari,36281-SHC-08,Tovan carried cautious_help_with_limits from stochastic recovery history,False,False,False
36307,36307-SHE-01,Fay,Milo,36307-SHC-01,Fay carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36307,36307-SHE-02,Sera,Nia,36307-SHC-02,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36307,36307-SHE-03,Fay,Tovan,36307-SHC-03,Fay carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36307,36307-SHE-04,Milo,Ari,36307-SHC-04,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36307,36307-SHE-05,Sera,Milo,36307-SHC-05,Sera carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36307,36307-SHE-06,Tovan,Tovan,36307-SHC-06,Tovan carried bounded_refusal_until_recovery from stochastic recovery history,False,True,False
36307,36307-SHE-07,Milo,Sera,36307-SHC-07,Milo carried accept_recovery_informed_help from stochastic recovery history,False,False,False
36307,36307-SHE-08,Tovan,Ari,36307-SHC-08,Tovan carried cautious_help_with_limits from stochastic recovery history,False,False,False
