tick_id,day,region_id,building,collapse_event,collapse_cause,collapse_severity,recovery_stage_before,recovery_delta,recovery_stage_after,bounded_damage,recovery_visible
0,1,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
1,1,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
2,1,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
3,1,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
4,1,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
5,1,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
6,1,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
7,1,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
8,1,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
9,1,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
10,1,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
11,1,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
12,1,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
13,1,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
14,1,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
15,1,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
16,2,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
17,2,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
18,2,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
19,2,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
20,2,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
21,2,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
22,2,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
23,2,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
24,2,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
25,2,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
26,2,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
27,2,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
28,2,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
29,2,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
30,2,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
31,2,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
32,3,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
33,3,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
34,3,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
35,3,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
36,3,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
37,3,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
38,3,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
39,3,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
40,3,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
41,3,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
42,3,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
43,3,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
44,3,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
45,3,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
46,3,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
47,3,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
48,4,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
49,4,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
50,4,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
51,4,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
52,4,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
53,4,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
54,4,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
55,4,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
56,4,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
57,4,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
58,4,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
59,4,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
60,4,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
61,4,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
62,4,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
63,4,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
64,5,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
65,5,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
66,5,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
67,5,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
68,5,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
69,5,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
70,5,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
71,5,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
72,5,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
73,5,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
74,5,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
75,5,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
76,5,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
77,5,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
78,5,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
79,5,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
80,6,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
81,6,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
82,6,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
83,6,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
84,6,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
85,6,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
86,6,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
87,6,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
88,6,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
89,6,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
90,6,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
91,6,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
92,6,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
93,6,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
94,6,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
95,6,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
96,7,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
97,7,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
98,7,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
99,7,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
100,7,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
101,7,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
102,7,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
103,7,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
104,7,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
105,7,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
106,7,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
107,7,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
108,7,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
109,7,riverbend,river mill,False,none,0.0,stable,0.0,stable,True,False
110,7,roofward,roof cistern,False,none,0.0,stable,0.0,stable,True,False
111,7,archive_quarter,public kiosk,False,none,0.0,stable,0.0,stable,True,False
112,8,signal_ridge,signal tower,False,none,0.0,stable,0.0,stable,True,False
113,8,orchard_fen,seed pier,False,none,0.0,stable,0.0,stable,True,False
