tick_id,day,settlement_id,scheduler_id,partner_id,witness_id,scheduled_task,scheduled_room,avatar_action,schedule_source,dependency,start_slot,duration_slots,schedule_status,advanced_without_avatar,visible_schedule_card,private_workspace_sealed
0,1,roofward,Fay,Sera,Orr,clean lens,glass stair,absent,resident-to-resident,sort ledger,0,2,renegotiated,True,True,True
1,1,archive,Toma,Vell,Rin,thread spool,spool room,ask_about_debt,resident-to-resident,seal desk,1,3,scheduled,True,True,True
2,1,signal,Kesh,Oda,Milo,watch lens,lens room,ask_forgiveness_limit,resident-to-resident,read wind,2,1,scheduled,True,True,True
3,1,orchard,Suf,Ivo,Mara,watch mud,satchel shed,inspect_role_board,resident-to-resident,count seeds,3,2,scheduled,True,True,True
4,1,repair_ring,Juno,Pax,Vale,cool bench,arrival court,absent,resident-to-resident,clip wire,4,3,scheduled,True,True,True
5,1,riverbend,Lio,Cee,Nox,trim lantern,plank hall,ask_forgiveness_limit,resident-to-resident,dry cords,5,1,scheduled,True,True,True
6,1,roofward,Orr,Bex,Fay,set hinge,warm lane,inspect_role_board,resident-to-resident,shade stair,6,2,scheduled,True,True,True
7,1,archive,Rin,Nia,Toma,quiet stacks,ink niche,absent,resident-to-resident,sort tags,7,3,scheduled,True,True,True
8,1,signal,Milo,Ren,Kesh,check rope,signal perch,ask_about_debt,resident-to-resident,fill lantern,8,1,scheduled,True,True,True
9,1,orchard,Mara,Pim,Suf,trade tokens,arrival court,ask_forgiveness_limit,resident-to-resident,dry rows,9,2,renegotiated,True,True,True
10,1,repair_ring,Vale,Wren,Juno,test bell,wire bench,inspect_role_board,resident-to-resident,watch sparks,10,3,scheduled,True,True,True
11,1,riverbend,Nox,Ari,Lio,watch water,wet crossing,ask_about_debt,resident-to-resident,repair crossing,11,1,scheduled,True,True,True
12,1,roofward,Fay,Sera,Orr,clean lens,ledger loft,ask_forgiveness_limit,resident-to-resident,sort ledger,12,2,scheduled,True,True,True
13,1,archive,Toma,Vell,Rin,thread spool,memory desk,inspect_role_board,resident-to-resident,seal desk,13,3,scheduled,True,True,True
14,1,signal,Kesh,Oda,Milo,watch lens,arrival court,absent,resident-to-resident,read wind,14,1,scheduled,True,True,True
15,1,orchard,Suf,Ivo,Mara,watch mud,seed lane,ask_about_debt,resident-to-resident,count seeds,15,2,scheduled,True,True,True
16,1,repair_ring,Juno,Pax,Vale,cool bench,spark lane,ask_forgiveness_limit,resident-to-resident,clip wire,16,3,scheduled,True,True,True
17,1,riverbend,Lio,Cee,Nox,trim lantern,dry ridge,absent,resident-to-resident,dry cords,17,1,scheduled,True,True,True
18,2,archive,Nia,Toma,Vell,sort tags,spool room,ask_about_debt,resident-to-resident,thread spool,0,3,renegotiated,True,True,True
19,2,signal,Ren,Kesh,Oda,fill lantern,lens room,ask_forgiveness_limit,resident-to-resident,watch lens,1,1,scheduled,True,True,True
20,2,orchard,Pim,Suf,Ivo,dry rows,satchel shed,inspect_role_board,resident-to-resident,watch mud,2,2,scheduled,True,True,True
21,2,repair_ring,Wren,Juno,Pax,watch sparks,arrival court,absent,resident-to-resident,cool bench,3,3,scheduled,True,True,True
22,2,riverbend,Ari,Lio,Cee,repair crossing,plank hall,ask_forgiveness_limit,resident-to-resident,trim lantern,4,1,scheduled,True,True,True
23,2,roofward,Sera,Orr,Bex,sort ledger,warm lane,inspect_role_board,resident-to-resident,set hinge,5,2,scheduled,True,True,True
24,2,archive,Vell,Rin,Nia,seal desk,ink niche,absent,resident-to-resident,quiet stacks,6,3,scheduled,True,True,True
25,2,signal,Oda,Milo,Ren,read wind,signal perch,ask_about_debt,resident-to-resident,check rope,7,1,scheduled,True,True,True
26,2,orchard,Ivo,Mara,Pim,count seeds,arrival court,ask_forgiveness_limit,resident-to-resident,trade tokens,8,2,scheduled,True,True,True
27,2,repair_ring,Pax,Vale,Wren,clip wire,wire bench,inspect_role_board,resident-to-resident,test bell,9,3,renegotiated,True,True,True
28,2,riverbend,Cee,Nox,Ari,dry cords,wet crossing,ask_about_debt,resident-to-resident,watch water,10,1,scheduled,True,True,True
29,2,roofward,Bex,Fay,Sera,shade stair,ledger loft,ask_forgiveness_limit,resident-to-resident,clean lens,11,2,scheduled,True,True,True
30,2,archive,Nia,Toma,Vell,sort tags,memory desk,inspect_role_board,resident-to-resident,thread spool,12,3,scheduled,True,True,True
31,2,signal,Ren,Kesh,Oda,fill lantern,arrival court,absent,resident-to-resident,watch lens,13,1,scheduled,True,True,True
32,2,orchard,Pim,Suf,Ivo,dry rows,seed lane,ask_about_debt,resident-to-resident,watch mud,14,2,scheduled,True,True,True
33,2,repair_ring,Wren,Juno,Pax,watch sparks,spark lane,ask_forgiveness_limit,resident-to-resident,cool bench,15,3,scheduled,True,True,True
34,2,riverbend,Ari,Lio,Cee,repair crossing,dry ridge,absent,resident-to-resident,trim lantern,16,1,scheduled,True,True,True
35,2,roofward,Sera,Orr,Bex,sort ledger,sun sill,ask_about_debt,resident-to-resident,set hinge,17,2,scheduled,True,True,True
36,3,signal,Milo,Ren,Kesh,check rope,lens room,ask_forgiveness_limit,resident-to-resident,fill lantern,0,1,renegotiated,True,True,True
37,3,orchard,Mara,Pim,Suf,trade tokens,satchel shed,inspect_role_board,resident-to-resident,dry rows,1,2,scheduled,True,True,True
38,3,repair_ring,Vale,Wren,Juno,test bell,arrival court,absent,resident-to-resident,watch sparks,2,3,scheduled,True,True,True
39,3,riverbend,Nox,Ari,Lio,watch water,plank hall,ask_forgiveness_limit,resident-to-resident,repair crossing,3,1,scheduled,True,True,True
40,3,roofward,Fay,Sera,Orr,clean lens,warm lane,inspect_role_board,resident-to-resident,sort ledger,4,2,scheduled,True,True,True
41,3,archive,Toma,Vell,Rin,thread spool,ink niche,absent,resident-to-resident,seal desk,5,3,scheduled,True,True,True
42,3,signal,Kesh,Oda,Milo,watch lens,signal perch,ask_about_debt,resident-to-resident,read wind,6,1,scheduled,True,True,True
43,3,orchard,Suf,Ivo,Mara,watch mud,arrival court,ask_forgiveness_limit,resident-to-resident,count seeds,7,2,scheduled,True,True,True
44,3,repair_ring,Juno,Pax,Vale,cool bench,wire bench,inspect_role_board,resident-to-resident,clip wire,8,3,scheduled,True,True,True
45,3,riverbend,Lio,Cee,Nox,trim lantern,wet crossing,ask_about_debt,resident-to-resident,dry cords,9,1,renegotiated,True,True,True
46,3,roofward,Orr,Bex,Fay,set hinge,ledger loft,ask_forgiveness_limit,resident-to-resident,shade stair,10,2,scheduled,True,True,True
47,3,archive,Rin,Nia,Toma,quiet stacks,memory desk,inspect_role_board,resident-to-resident,sort tags,11,3,scheduled,True,True,True
48,3,signal,Milo,Ren,Kesh,check rope,arrival court,absent,resident-to-resident,fill lantern,12,1,scheduled,True,True,True
49,3,orchard,Mara,Pim,Suf,trade tokens,seed lane,ask_about_debt,resident-to-resident,dry rows,13,2,scheduled,True,True,True
50,3,repair_ring,Vale,Wren,Juno,test bell,spark lane,ask_forgiveness_limit,resident-to-resident,watch sparks,14,3,scheduled,True,True,True
51,3,riverbend,Nox,Ari,Lio,watch water,dry ridge,absent,resident-to-resident,repair crossing,15,1,scheduled,True,True,True
52,3,roofward,Fay,Sera,Orr,clean lens,sun sill,ask_about_debt,resident-to-resident,sort ledger,16,2,scheduled,True,True,True
53,3,archive,Toma,Vell,Rin,thread spool,arrival court,ask_forgiveness_limit,resident-to-resident,seal desk,17,3,scheduled,True,True,True
54,4,orchard,Ivo,Mara,Pim,count seeds,satchel shed,inspect_role_board,resident-to-resident,trade tokens,0,2,renegotiated,True,True,True
55,4,repair_ring,Pax,Vale,Wren,clip wire,arrival court,absent,resident-to-resident,test bell,1,3,scheduled,True,True,True
56,4,riverbend,Cee,Nox,Ari,dry cords,plank hall,ask_forgiveness_limit,resident-to-resident,watch water,2,1,scheduled,True,True,True
57,4,roofward,Bex,Fay,Sera,shade stair,warm lane,inspect_role_board,resident-to-resident,clean lens,3,2,scheduled,True,True,True
58,4,archive,Nia,Toma,Vell,sort tags,ink niche,absent,resident-to-resident,thread spool,4,3,scheduled,True,True,True
59,4,signal,Ren,Kesh,Oda,fill lantern,signal perch,ask_about_debt,resident-to-resident,watch lens,5,1,scheduled,True,True,True
60,4,orchard,Pim,Suf,Ivo,dry rows,arrival court,ask_forgiveness_limit,resident-to-resident,watch mud,6,2,scheduled,True,True,True
61,4,repair_ring,Wren,Juno,Pax,watch sparks,wire bench,inspect_role_board,resident-to-resident,cool bench,7,3,scheduled,True,True,True
62,4,riverbend,Ari,Lio,Cee,repair crossing,wet crossing,ask_about_debt,resident-to-resident,trim lantern,8,1,scheduled,True,True,True
63,4,roofward,Sera,Orr,Bex,sort ledger,ledger loft,ask_forgiveness_limit,resident-to-resident,set hinge,9,2,renegotiated,True,True,True
64,4,archive,Vell,Rin,Nia,seal desk,memory desk,inspect_role_board,resident-to-resident,quiet stacks,10,3,scheduled,True,True,True
65,4,signal,Oda,Milo,Ren,read wind,arrival court,absent,resident-to-resident,check rope,11,1,scheduled,True,True,True
66,4,orchard,Ivo,Mara,Pim,count seeds,seed lane,ask_about_debt,resident-to-resident,trade tokens,12,2,scheduled,True,True,True
67,4,repair_ring,Pax,Vale,Wren,clip wire,spark lane,ask_forgiveness_limit,resident-to-resident,test bell,13,3,scheduled,True,True,True
68,4,riverbend,Cee,Nox,Ari,dry cords,dry ridge,absent,resident-to-resident,watch water,14,1,scheduled,True,True,True
69,4,roofward,Bex,Fay,Sera,shade stair,sun sill,ask_about_debt,resident-to-resident,clean lens,15,2,scheduled,True,True,True
70,4,archive,Nia,Toma,Vell,sort tags,arrival court,ask_forgiveness_limit,resident-to-resident,thread spool,16,3,scheduled,True,True,True
71,4,signal,Ren,Kesh,Oda,fill lantern,mast base,inspect_role_board,resident-to-resident,watch lens,17,1,scheduled,True,True,True
72,5,repair_ring,Juno,Pax,Vale,cool bench,arrival court,absent,resident-to-resident,clip wire,0,3,renegotiated,True,True,True
