tick,day,scene_id,sound_rate_hz,movement_rate_hz,smell_intensity,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_scene,flower_phase
0,1,v20-scene-d01,1.32,1.19,0.2,17.04,0.13,-0.01,0.11,1,73.113968
1,1,v20-scene-d01,1.4,1.15,0.2,17.04,0.13,0.14,0.03,1,210.901732
2,1,v20-scene-d01,1.43,1.15,0.2,17.04,0.13,0.14,0.03,0,348.979496
3,1,v20-scene-d01,1.46,1.05,0.2,17.04,0.13,0.14,0.1,1,123.95726
4,1,v20-scene-d01,1.49,1.12,0.31,15.94,0.3,0.19,0.03,1,264.425024
5,1,v20-scene-d01,1.52,1.12,0.31,18.54,0.13,0.19,0.03,1,42.502788
6,1,v20-scene-d01,1.5,1.12,0.24,17.04,0.13,0.19,0.03,1,179.630552
7,1,v20-scene-d01,1.58,1.22,0.24,17.04,0.13,0.19,0.03,1,321.758316
8,1,v20-scene-d01,1.61,1.15,0.2,17.04,0.13,0.14,0.03,1,97.44608
9,1,v20-scene-d01,1.64,1.22,0.24,17.04,0.13,0.19,0.1,1,237.913844
10,1,v20-scene-d01,1.67,1.22,0.31,15.94,0.3,0.19,0.03,1,15.991608
11,1,v20-scene-d01,1.7,1.12,0.31,18.54,0.13,0.19,0.03,1,150.969372
12,1,v20-scene-d01,1.73,1.12,0.24,17.04,0.13,0.19,0.03,1,289.047136
13,1,v20-scene-d01,1.76,1.12,0.24,17.04,0.13,0.19,0.03,1,67.1249
14,2,v20-scene-d02,1.37,1.22,0.24,17.08,0.13,0.19,0.1,1,200.450781
15,2,v20-scene-d02,1.4,1.15,0.27,15.98,0.3,0.14,0.03,1,336.138545
16,2,v20-scene-d02,1.43,1.22,0.31,18.58,0.13,0.19,0.03,1,116.606309
17,2,v20-scene-d02,1.46,1.22,0.24,17.08,0.13,0.19,0.03,1,254.684073
18,2,v20-scene-d02,1.49,1.16,0.24,17.08,0.13,0.19,0.03,1,30.901837
19,2,v20-scene-d02,1.52,1.12,0.24,17.08,0.13,0.19,0.03,1,167.739601
20,2,v20-scene-d02,1.55,1.12,0.24,17.08,0.13,0.19,0.1,1,305.817365
21,2,v20-scene-d02,1.53,1.12,0.31,15.98,0.3,0.19,0.03,1,82.945129
22,2,v20-scene-d02,1.61,1.15,0.27,18.58,0.13,0.14,0.03,1,222.682893
23,2,v20-scene-d02,1.64,1.22,0.24,17.08,0.13,0.19,0.03,1,3.150657
24,2,v20-scene-d02,1.67,1.22,0.24,17.08,0.13,0.19,0.03,1,141.228421
25,2,v20-scene-d02,1.7,1.26,0.24,17.08,0.13,0.19,0.03,1,280.546185
26,2,v20-scene-d02,1.73,1.16,0.24,17.08,0.13,0.19,0.1,1,55.523949
27,2,v20-scene-d02,1.76,1.16,0.31,15.98,0.3,0.19,0.03,1,193.601713
28,3,v20-scene-d03,1.32,1.16,0.24,17.12,0.13,0.19,0.03,1,322.847641
29,3,v20-scene-d03,1.4,1.19,0.2,17.12,0.13,0.14,0.03,1,102.585405
30,3,v20-scene-d03,1.43,1.22,0.24,17.12,0.13,0.19,0.03,1,241.813169
31,3,v20-scene-d03,1.46,1.19,0.2,17.12,0.13,0.14,0.13,1,18.740933
32,3,v20-scene-d03,1.49,1.22,0.31,16.02,0.3,0.19,0.03,1,157.968697
33,3,v20-scene-d03,1.52,1.12,0.31,18.62,0.13,0.19,0.03,0,292.946461
34,3,v20-scene-d03,1.55,1.12,0.24,17.12,0.13,0.19,0.03,1,71.024225
35,3,v20-scene-d03,1.58,1.12,0.24,17.12,0.13,0.19,0.03,1,209.101989
36,3,v20-scene-d03,1.56,1.09,0.2,17.12,0.13,0.14,0.03,1,345.079753
37,3,v20-scene-d03,1.64,1.22,0.24,17.12,0.13,0.19,0.1,1,128.357517
38,3,v20-scene-d03,1.67,1.22,0.31,16.02,0.3,0.19,0.03,1,266.435281
39,3,v20-scene-d03,1.7,1.22,0.31,18.62,0.13,0.19,0.03,1,44.513045
40,3,v20-scene-d03,1.73,1.15,0.2,17.12,0.13,0.14,0.03,1,180.200809
41,3,v20-scene-d03,1.76,1.12,0.24,17.12,0.13,0.19,0.03,1,317.568573
42,4,v20-scene-d04,1.37,1.12,0.24,17.16,0.13,0.19,0.1,1,87.723746
43,4,v20-scene-d04,1.35,1.05,0.27,16.06,0.3,0.14,0.03,1,222.46151
44,4,v20-scene-d04,1.43,1.22,0.31,18.66,0.13,0.19,0.03,1,6.979274
45,4,v20-scene-d04,1.46,1.26,0.24,17.16,0.13,0.19,0.03,1,146.297038
46,4,v20-scene-d04,1.49,1.22,0.24,17.16,0.13,0.19,0.03,1,283.134802
47,4,v20-scene-d04,1.52,1.22,0.24,17.16,0.13,0.19,0.03,1,61.212566
48,4,v20-scene-d04,1.55,1.12,0.24,17.16,0.13,0.19,0.1,1,196.19033
49,4,v20-scene-d04,1.58,1.12,0.31,16.06,0.3,0.19,0.03,1,334.268094
50,4,v20-scene-d04,1.61,1.05,0.27,18.66,0.13,0.14,0.03,1,109.955858
51,4,v20-scene-d04,1.59,1.12,0.24,17.16,0.13,0.19,0.03,1,249.473622
52,4,v20-scene-d04,1.67,1.22,0.24,17.16,0.13,0.19,0.03,1,31.601386
53,4,v20-scene-d04,1.7,1.22,0.24,17.16,0.13,0.19,0.03,1,169.67915
