tick_id,day,week,settlement_id,caregiver_id,recipient_id,ritual,care_reason,reciprocity_before,reciprocity_after,trust_before,trust_after,burden_before,burden_after,remembered_over_weeks,reciprocal_not_transactional,visible_reciprocity_marker
0,1,1,glass_harbor,Puck,Nia,lamp touch,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Puck->Nia:lamp touch
2,1,1,lichen_bridge,Kio,Rin,rope touch,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Kio->Rin:rope touch
4,1,1,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Milo->Ari:door-watch blessing
6,1,1,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Juno->Vale:seed-count chant
8,1,1,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Dax->Bea:valve pause
10,1,1,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Nia->Puck:net-knot thanks
12,1,1,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Rin->Kio:shared bowl
14,1,1,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Ari->Milo:warm cup before work
16,2,1,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Rin->Kio:shared bowl
18,2,1,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Ari->Milo:warm cup before work
20,2,1,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Vale->Juno:cool hand sign
22,2,1,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.5,0.53,0.61,0.6226,0.2,0.218,False,True,Bea->Dax:orchid cup
24,2,1,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Puck->Nia:tea before crossing
26,2,1,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Kio->Rin:signal hush
28,2,1,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Milo->Ari:blanket share
30,2,1,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Juno->Vale:shade cloth bow
32,3,1,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Milo->Ari:blanket share
34,3,1,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Juno->Vale:shade cloth bow
36,3,1,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Dax->Bea:gear-wash thanks
38,3,1,glass_harbor,Nia,Puck,lamp touch,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Nia->Puck:lamp touch
40,3,1,lichen_bridge,Rin,Kio,rope touch,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Rin->Kio:rope touch
42,3,1,moss_ward,Ari,Milo,door-watch blessing,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Ari->Milo:door-watch blessing
44,3,1,cinder_garden,Vale,Juno,seed-count chant,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Vale->Juno:seed-count chant
46,3,1,orchid_engine,Bea,Dax,valve pause,meal or shelter care,0.53,0.56,0.6226,0.6352,0.218,0.236,False,True,Bea->Dax:valve pause
48,4,1,cinder_garden,Vale,Juno,seed-count chant,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Vale->Juno:seed-count chant
50,4,1,orchid_engine,Bea,Dax,valve pause,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Bea->Dax:valve pause
52,4,1,glass_harbor,Puck,Nia,net-knot thanks,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Puck->Nia:net-knot thanks
54,4,1,lichen_bridge,Kio,Rin,shared bowl,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Kio->Rin:shared bowl
56,4,1,moss_ward,Milo,Ari,warm cup before work,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Milo->Ari:warm cup before work
58,4,1,cinder_garden,Juno,Vale,cool hand sign,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Juno->Vale:cool hand sign
60,4,1,orchid_engine,Dax,Bea,orchid cup,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Dax->Bea:orchid cup
62,4,1,glass_harbor,Nia,Puck,tea before crossing,meal or shelter care,0.56,0.59,0.6352,0.6478,0.236,0.254,False,True,Nia->Puck:tea before crossing
64,5,1,orchid_engine,Dax,Bea,orchid cup,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Dax->Bea:orchid cup
66,5,1,glass_harbor,Nia,Puck,tea before crossing,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Nia->Puck:tea before crossing
68,5,1,lichen_bridge,Rin,Kio,signal hush,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Rin->Kio:signal hush
70,5,1,moss_ward,Ari,Milo,blanket share,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Ari->Milo:blanket share
72,5,1,cinder_garden,Vale,Juno,shade cloth bow,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Vale->Juno:shade cloth bow
74,5,1,orchid_engine,Bea,Dax,gear-wash thanks,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Bea->Dax:gear-wash thanks
76,5,1,glass_harbor,Puck,Nia,lamp touch,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Puck->Nia:lamp touch
78,5,1,lichen_bridge,Kio,Rin,rope touch,meal or shelter care,0.59,0.62,0.6478,0.6604,0.254,0.272,False,True,Kio->Rin:rope touch
80,6,1,glass_harbor,Puck,Nia,lamp touch,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Puck->Nia:lamp touch
82,6,1,lichen_bridge,Kio,Rin,rope touch,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Kio->Rin:rope touch
84,6,1,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Milo->Ari:door-watch blessing
86,6,1,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Juno->Vale:seed-count chant
88,6,1,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Dax->Bea:valve pause
90,6,1,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Nia->Puck:net-knot thanks
92,6,1,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Rin->Kio:shared bowl
94,6,1,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Ari->Milo:warm cup before work
96,7,1,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Rin->Kio:shared bowl
98,7,1,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Ari->Milo:warm cup before work
100,7,1,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Vale->Juno:cool hand sign
102,7,1,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.62,0.65,0.6604,0.673,0.272,0.29,False,True,Bea->Dax:orchid cup
104,7,1,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Puck->Nia:tea before crossing
106,7,1,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Kio->Rin:signal hush
108,7,1,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Milo->Ari:blanket share
110,7,1,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,False,True,Juno->Vale:shade cloth bow
112,8,2,moss_ward,Milo,Ari,door-watch blessing,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Milo->Ari:door-watch blessing
114,8,2,cinder_garden,Juno,Vale,seed-count chant,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Juno->Vale:seed-count chant
116,8,2,orchid_engine,Dax,Bea,valve pause,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,True,True,Dax->Bea:valve pause
118,8,2,glass_harbor,Nia,Puck,net-knot thanks,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,True,True,Nia->Puck:net-knot thanks
120,8,2,lichen_bridge,Rin,Kio,shared bowl,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Rin->Kio:shared bowl
122,8,2,moss_ward,Ari,Milo,warm cup before work,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Ari->Milo:warm cup before work
124,8,2,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,True,True,Vale->Juno:cool hand sign
126,8,2,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.65,0.68,0.673,0.6856,0.29,0.301,True,True,Bea->Dax:orchid cup
128,9,2,cinder_garden,Vale,Juno,cool hand sign,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Vale->Juno:cool hand sign
130,9,2,orchid_engine,Bea,Dax,orchid cup,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Bea->Dax:orchid cup
132,9,2,glass_harbor,Puck,Nia,tea before crossing,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Puck->Nia:tea before crossing
134,9,2,lichen_bridge,Kio,Rin,signal hush,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Kio->Rin:signal hush
136,9,2,moss_ward,Milo,Ari,blanket share,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Milo->Ari:blanket share
138,9,2,cinder_garden,Juno,Vale,shade cloth bow,meal or shelter care,0.71,0.74,0.6982,0.7108,0.312,0.323,True,True,Juno->Vale:shade cloth bow
140,9,2,orchid_engine,Dax,Bea,gear-wash thanks,meal or shelter care,0.68,0.71,0.6856,0.6982,0.301,0.312,True,True,Dax->Bea:gear-wash thanks
