continuity_tick_id,year,tick,phase,agent_id,market_slot_id,ritual_slot_id,technology_slot_id,prompt_id,turn_id,ceremony_step_id,sandbox_state,note
sandbox_tick_agent_0_westkeepers,0,200,seed,agent_0_westkeepers,market_slot_agent_0_westkeepers,ritual_slot_agent_0_westkeepers,tech_slot_agent_0_westkeepers,prompt_0,turn_agent_0_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka00 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_0_mossgarden,0,208,seed,agent_0_mossgarden,market_slot_agent_0_mossgarden,ritual_slot_agent_0_mossgarden,tech_slot_agent_0_mossgarden,prompt_0,turn_agent_0_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu01 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_0_ledgerkin,0,216,seed,agent_0_ledgerkin,market_slot_agent_0_ledgerkin,ritual_slot_agent_0_ledgerkin,tech_slot_agent_0_ledgerkin,prompt_0,turn_agent_0_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo02 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_0_redstair,0,224,seed,agent_0_redstair,market_slot_agent_0_redstair,ritual_slot_agent_0_redstair,tech_slot_agent_0_redstair,prompt_0,turn_agent_0_redstair,not_yet_available,pre_avatar_observer_mode,"Sa03 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_0_wheelwright,0,232,seed,agent_0_wheelwright,market_slot_agent_0_wheelwright,ritual_slot_agent_0_wheelwright,tech_slot_agent_0_wheelwright,prompt_0,turn_agent_0_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni04 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_55_westkeepers,55,280,vesica,agent_55_westkeepers,market_slot_agent_55_westkeepers,ritual_slot_agent_55_westkeepers,tech_slot_agent_55_westkeepers,prompt_55,turn_agent_55_westkeepers,not_yet_available,pre_avatar_observer_mode,"Ka10 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_55_mossgarden,55,288,vesica,agent_55_mossgarden,market_slot_agent_55_mossgarden,ritual_slot_agent_55_mossgarden,tech_slot_agent_55_mossgarden,prompt_55,turn_agent_55_mossgarden,not_yet_available,pre_avatar_observer_mode,"Mu11 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_55_ledgerkin,55,296,vesica,agent_55_ledgerkin,market_slot_agent_55_ledgerkin,ritual_slot_agent_55_ledgerkin,tech_slot_agent_55_ledgerkin,prompt_55,turn_agent_55_ledgerkin,not_yet_available,pre_avatar_observer_mode,"Lo12 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_55_redstair,55,304,vesica,agent_55_redstair,market_slot_agent_55_redstair,ritual_slot_agent_55_redstair,tech_slot_agent_55_redstair,prompt_55,turn_agent_55_redstair,not_yet_available,pre_avatar_observer_mode,"Sa13 links generation, market, ritual, technology, sensory prompt, and playable turn"
sandbox_tick_agent_55_wheelwright,55,312,vesica,agent_55_wheelwright,market_slot_agent_55_wheelwright,ritual_slot_agent_55_wheelwright,tech_slot_agent_55_wheelwright,prompt_55,turn_agent_55_wheelwright,not_yet_available,pre_avatar_observer_mode,"Ni14 links generation, market, ritual, technology, sensory prompt, and playable turn"
