episode_id,week,day,agent,public_routine_marker,public_language_marker,public_relationship_marker,private_learning_hint,boundary_or_recovery,replay_checkpoint,trace_integrity_token
1,1,1,Ari,week 1 day 1: Ari selects repair_route,tek->tek means repair work,trust=0.56; respect=0.59; neutral continuity,policy_delta=0.01; grounding=0.94; reason=avatar is familiar but not decisive,cooperation,r244-week01-episode001,r244:1:Ari:893827c898
2,1,1,Fay,week 1 day 1: Fay selects sleep_recovery,sova->sova-s means sleep safely,trust=0.62; respect=0.57; neutral continuity,policy_delta=0.20; grounding=0.92; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:2:Fay:45fe3f8efa
3,1,1,Milo,week 1 day 1: Milo selects market_scan,ori->ori means shared ritual,trust=0.63; respect=0.59; warmer later greeting,policy_delta=0.11; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:3:Milo:b299463bf6
4,1,1,Sol,week 1 day 1: Sol selects boundary_pause,vonn->vonn-n means pressure warning,trust=0.48; respect=0.57; neutral continuity,policy_delta=0.09; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:4:Sol:7fbbcb2329
5,1,2,Ari,week 1 day 2: Ari selects sleep_recovery,sova->sova-s means sleep safely,trust=0.54; respect=0.58; neutral continuity,policy_delta=0.17; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:5:Ari:d5a186df2d
6,1,2,Fay,week 1 day 2: Fay selects hearth_care,ori->ori means shared ritual,trust=0.66; respect=0.58; warmer later greeting,policy_delta=0.19; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:6:Fay:7319e30540
7,1,2,Milo,week 1 day 2: Milo selects boundary_pause,vonn->vonn-n means pressure warning,trust=0.61; respect=0.58; neutral continuity,policy_delta=0.12; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:7:Milo:be4b0bac1e
8,1,2,Sol,week 1 day 2: Sol selects sleep_recovery,melo->melo-s means market exchange,trust=0.52; respect=0.58; warmer later greeting,policy_delta=0.10; grounding=0.91; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:8:Sol:965be01d06
9,1,3,Ari,week 1 day 3: Ari selects repair_route,ori->ori means shared ritual,trust=0.58; respect=0.59; warmer later greeting,policy_delta=0.12; grounding=0.93; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:9:Ari:093c18b35f
10,1,3,Fay,week 1 day 3: Fay selects boundary_pause,vonn->vonn-n means pressure warning,trust=0.64; respect=0.57; neutral continuity,policy_delta=0.39; grounding=0.91; reason=avatar is familiar but not decisive,cooperation,no_checkpoint,r244:10:Fay:883bb9f630
11,1,3,Milo,week 1 day 3: Milo selects market_scan,melo->melo means market exchange,trust=0.64; respect=0.59; warmer later greeting,policy_delta=0.18; grounding=0.94; reason=avatar can help without taking over,cooperation,no_checkpoint,r244:11:Milo:7a79c104f3
