tick_id,day,week,settlement_id,resident_id,work_site,forecast_weather,planned_action,risk_before,risk_after,productivity_before,productivity_after,shelter_route_used,tool_protection,plan_visible,bounded_weather_risk
0,1,1,glass_harbor,Nia,salt steps,sleet,delay exposed work and use shelter route,0.532797,0.332797,0.58,0.562,True,True,True,True
1,1,1,cinder_garden,Pax,seed shelf,clear,normal work with forecast check,0.292797,0.232797,0.58,0.594,False,True,True,True
2,1,1,lichen_bridge,Rin,rope bridge,cold fog,short weather-bounded work shift,0.532797,0.402797,0.58,0.586,True,True,True,True
3,1,1,orchid_engine,Eli,orchid bay,drizzle,normal work with forecast check,0.292797,0.232797,0.58,0.594,False,True,True,True
4,1,1,moss_ward,Ari,tool nook,mist,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
5,1,1,glass_harbor,Oren,lamp pier,sleet,short weather-bounded work shift,0.54688,0.41688,0.58,0.586,True,False,True,True
6,1,1,cinder_garden,Vale,ash path,clear,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
7,1,1,lichen_bridge,Sol,lichen wall,cold fog,short weather-bounded work shift,0.54688,0.41688,0.58,0.586,True,True,True,True
8,1,1,orchid_engine,Bea,engine ring,drizzle,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
9,1,1,moss_ward,Fay,rain gate,mist,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
10,1,1,glass_harbor,Puck,net room,sleet,short weather-bounded work shift,0.54688,0.41688,0.58,0.586,True,False,True,True
11,1,1,cinder_garden,Wren,ember bed,clear,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
12,1,1,lichen_bridge,Kio,signal post,cold fog,delay exposed work and use shelter route,0.54688,0.34688,0.58,0.562,True,True,True,True
13,1,1,orchid_engine,Cai,gear wash,drizzle,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
14,1,1,moss_ward,Milo,moss lane,mist,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
15,1,1,glass_harbor,Sera,salt steps,sleet,delay exposed work and use shelter route,0.532797,0.332797,0.58,0.562,True,True,True,True
16,2,1,lichen_bridge,Kio,lichen wall,clear,normal work with forecast check,0.296299,0.236299,0.562,0.576,False,True,True,True
17,2,1,orchid_engine,Cai,engine ring,cold draft,normal work with forecast check,0.295601,0.235601,0.594,0.608,False,True,True,True
18,2,1,moss_ward,Milo,rain gate,wind,normal work with forecast check,0.295579,0.235579,0.594,0.608,False,True,True,True
19,2,1,glass_harbor,Sera,net room,fog,normal work with forecast check,0.282139,0.222139,0.562,0.576,False,True,True,True
20,2,1,cinder_garden,Juno,ember bed,dust wind,short weather-bounded work shift,0.54688,0.41688,0.58,0.586,True,False,True,True
21,2,1,lichen_bridge,Luma,signal post,clear,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
22,2,1,orchid_engine,Dax,gear wash,cold draft,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
23,2,1,moss_ward,Tala,moss lane,wind,normal work with forecast check,0.30616,0.24616,0.58,0.594,False,True,True,True
24,2,1,glass_harbor,Nia,salt steps,fog,normal work with forecast check,0.295757,0.235757,0.562,0.576,False,True,True,True
25,2,1,cinder_garden,Pax,seed shelf,dust wind,delay exposed work and use shelter route,0.536477,0.336477,0.594,0.576,True,True,True,True
26,2,1,lichen_bridge,Rin,rope bridge,clear,normal work with forecast check,0.295757,0.235757,0.586,0.6,False,True,True,True
27,2,1,orchid_engine,Eli,orchid bay,cold draft,normal work with forecast check,0.295757,0.235757,0.594,0.608,False,True,True,True
28,2,1,moss_ward,Ari,tool nook,wind,normal work with forecast check,0.30912,0.24912,0.594,0.608,False,True,True,True
29,2,1,glass_harbor,Oren,lamp pier,fog,normal work with forecast check,0.30984,0.24984,0.586,0.6,False,True,True,True
30,2,1,cinder_garden,Vale,ash path,dust wind,short weather-bounded work shift,0.54984,0.41984,0.594,0.6,True,False,True,True
31,2,1,lichen_bridge,Sol,lichen wall,clear,normal work with forecast check,0.296332,0.236332,0.586,0.6,False,True,True,True
32,3,1,moss_ward,Ari,moss lane,clear,normal work with forecast check,0.298361,0.238361,0.608,0.622,False,True,True,True
33,3,1,glass_harbor,Oren,salt steps,spray,normal work with forecast check,0.299107,0.239107,0.6,0.614,False,True,True,True
