tick,day,scene_id,room_width,room_depth,negotiation_ring_x,negotiation_ring_y,ceremony_table_x,ceremony_table_y,obstacle_count,navigable_cell_count,geometry_valid
0,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,138,0
1,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
2,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
3,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,141,1
4,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
5,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
6,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
7,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
8,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
9,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
10,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
11,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
12,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
13,1,v20-scene-d01,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
14,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
15,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
16,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
17,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
18,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
19,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
20,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
21,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
22,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
23,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
24,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
25,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
26,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
27,2,v20-scene-d02,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
28,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
29,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
30,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
31,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
32,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
33,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
34,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
35,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,140,1
36,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,141,1
37,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
38,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
39,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
40,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
41,3,v20-scene-d03,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
42,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
43,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
44,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
45,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,139,1
46,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,140,1
47,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,141,0
48,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,142,1
49,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,143,1
50,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,144,1
51,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,145,1
52,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,146,1
53,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,147,1
54,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,148,1
55,4,v20-scene-d04,12.0,8.0,6.0,4.3,6.0,3.8,6,138,1
56,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
57,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
58,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
59,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,142,1
60,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,143,1
61,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,144,1
62,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,145,1
63,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,146,1
64,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,147,1
65,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,148,1
66,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,138,1
67,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,139,1
68,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,140,1
69,5,v20-scene-d05,12.0,8.0,6.0,4.3,6.0,3.8,7,141,1
70,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,142,1
71,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,143,1
72,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,144,1
73,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,145,1
74,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,146,1
75,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,147,1
76,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,148,1
77,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,138,1
78,6,v20-scene-d06,12.0,8.0,6.0,4.3,6.0,3.8,5,139,1
