tick,day,scene_id,avatar_x,avatar_y,avatar_z,agent,agent_x,agent_y,agent_z,distance_to_avatar,position_bound_to_negotiation,local_coordinates_valid
0,1,v20-scene-d01,7.663682,4.314143,0.1,Keth,7.165299,4.972572,0.55,0.825781,1,1
1,1,v20-scene-d01,7.676927,4.57525,0.12,Melo,6.757752,5.189803,0.48,1.105693,1,1
2,1,v20-scene-d01,7.619945,4.823783,0.14,Nari,5.93925,5.319216,0.62,1.752196,1,1
3,1,v20-scene-d01,7.258474,5.051429,0.16,Ori,5.587756,5.283263,0.44,1.686726,1,1
4,1,v20-scene-d01,7.08095,5.050746,0.18,Vonn,4.749013,4.90224,0.7,2.336661,0,1
5,1,v20-scene-d01,6.858158,5.215484,0.1,Sova,4.704837,4.860343,0.34,2.182411,1,1
6,1,v20-scene-d01,6.362778,5.340835,0.12,Keth,4.451143,4.260834,0.55,2.195621,1,1
7,1,v20-scene-d01,6.088855,5.423646,0.14,Melo,4.559656,3.92317,0.48,2.1424,1,1
8,1,v20-scene-d01,5.811212,5.262541,0.16,Nari,5.07138,3.48332,0.62,1.926909,1,1
9,1,v20-scene-d01,5.304825,5.257986,0.18,Ori,5.378761,3.365511,0.44,1.893919,1,1
10,1,v20-scene-d01,5.0642,5.212265,0.1,Vonn,6.394895,3.313659,0.7,2.318503,1,1
11,1,v20-scene-d01,4.862764,5.129388,0.12,Sova,6.469313,3.327879,0.34,2.413801,1,1
12,1,v20-scene-d01,4.472304,4.814918,0.14,Keth,7.240294,3.688258,0.55,2.9885,1,1
13,1,v20-scene-d01,4.382471,4.675744,0.16,Melo,7.479305,3.995467,0.48,3.170671,1,1
14,2,v20-scene-d02,4.179023,4.331489,0.1,Ori,7.50674,4.5393,0.44,3.334199,1,1
15,2,v20-scene-d02,4.259348,4.166616,0.12,Vonn,6.955199,5.103296,0.7,2.853941,1,1
16,2,v20-scene-d02,4.412568,4.006281,0.14,Sova,6.892996,5.133708,0.34,2.724631,1,1
17,2,v20-scene-d02,4.395617,3.859294,0.16,Keth,5.990672,5.319982,0.55,2.162825,1,1
