tick,day,ceremony_id,object_name,from_x,from_y,to_x,to_y,arc_height,motion_duration_ms,object_motion_traceable,object_owner_preserved
0,1,v20-ceremony-d01-t00,path cord,6.490363,3.963039,6.89265,4.386286,0.225075,420,0,1
1,1,v20-ceremony-d01-t01,tally beads,6.350433,4.077466,6.598876,4.494902,0.236441,455,1,1
2,1,v20-ceremony-d01-t02,ink ledger,6.152416,4.145901,6.319625,4.559608,0.245081,490,1,1
3,1,v20-ceremony-d01-t03,sap hook,5.929136,4.156999,5.963878,4.541631,0.249563,525,0,1
4,1,v20-ceremony-d01-t04,listening shell,5.717601,4.108922,5.649506,4.35112,0.329146,560,1,1
5,1,v20-ceremony-d01-t05,ember bowl,5.552876,4.009639,5.592418,4.330172,0.323897,595,1,0
6,1,v20-ceremony-d01-t06,path cord,5.462266,3.875606,5.535571,4.030417,0.314687,630,0,1
7,1,v20-ceremony-d01-t07,tally beads,5.46079,3.729041,5.499828,3.861585,0.303043,420,1,1
8,1,v20-ceremony-d01-t08,ink ledger,5.548692,3.594238,5.88569,3.64166,0.210894,455,1,1
9,1,v20-ceremony-d01-t09,sap hook,5.711403,3.493542,5.859381,3.582756,0.280254,490,1,1
10,1,v20-ceremony-d01-t10,listening shell,5.92195,3.443643,6.472447,3.55683,0.272888,525,1,1
11,1,v20-ceremony-d01-t11,ember bowl,6.145436,3.452814,6.474657,3.56394,0.270016,560,1,1
12,1,v20-ceremony-d01-t12,path cord,6.344813,3.519534,6.930147,3.744129,0.272114,595,1,1
13,1,v20-ceremony-d01-t13,tally beads,6.487036,3.632743,6.959653,3.897734,0.278834,630,1,1
14,2,v20-ceremony-d02-t00,sap hook,6.547424,3.834799,6.92337,4.16965,0.293946,420,1,1
15,2,v20-ceremony-d02-t01,listening shell,6.480862,3.974742,6.7526,4.451648,0.22616,455,1,1
16,2,v20-ceremony-d02-t02,ember bowl,6.334593,4.08572,6.686498,4.466854,0.317353,490,1,1
17,2,v20-ceremony-d02-t03,path cord,6.132863,4.149338,6.305336,4.559991,0.32567,525,1,1
18,2,v20-ceremony-d02-t04,tally beads,5.909109,4.15505,5.957155,4.529772,0.329731,560,1,1
19,2,v20-ceremony-d02-t05,ink ledger,5.700421,4.10191,5.744845,4.368609,0.328864,595,1,1
20,2,v20-ceremony-d02-t06,sap hook,5.541391,3.998725,5.470403,4.269431,0.323213,630,1,1
21,2,v20-ceremony-d02-t07,listening shell,5.458379,3.8626,5.519573,3.936106,0.313714,420,1,1
22,2,v20-ceremony-d02-t08,ember bowl,5.465146,3.716099,5.494167,3.911402,0.221942,455,1,1
23,2,v20-ceremony-d02-t09,path cord,5.560569,3.583505,5.825357,3.652023,0.289848,490,1,1
24,2,v20-ceremony-d02-t10,tally beads,5.728831,3.486797,5.964784,3.568447,0.279436,525,1,1
25,2,v20-ceremony-d02-t11,ink ledger,5.942042,3.442004,6.514909,3.551679,0.272434,560,1,1
26,2,v20-ceremony-d02-t12,sap hook,6.16486,3.456553,6.503203,3.589542,0.27,595,1,1
27,2,v20-ceremony-d02-t13,listening shell,6.360351,3.528031,6.970685,3.825246,0.27254,630,1,1
