ritual_slot_id,year,tick,household_id,ritual_name,trigger,body_motion,sound_pattern,scent_material,social_effect,playable_observation,continuity_score
ritual_slot_agent_0_westkeepers,0,120,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kase0 repeated at phase seed,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka00's posture, ask meaning, join only after invitation.",0.83
ritual_slot_agent_0_mossgarden,0,127,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",muse0 repeated at phase seed,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu01's posture, ask meaning, join only after invitation.",0.83
ritual_slot_agent_0_ledgerkin,0,134,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",lose0 repeated at phase seed,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo02's posture, ask meaning, join only after invitation.",0.83
ritual_slot_agent_0_redstair,0,141,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",sase0 repeated at phase seed,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa03's posture, ask meaning, join only after invitation.",0.83
ritual_slot_agent_0_wheelwright,0,148,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nise0 repeated at phase seed,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni04's posture, ask meaning, join only after invitation.",0.83
ritual_slot_agent_55_westkeepers,55,190,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",kave1 repeated at phase vesica,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka10's posture, ask meaning, join only after invitation.",0.854
ritual_slot_agent_55_mossgarden,55,197,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",muve1 repeated at phase vesica,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu11's posture, ask meaning, join only after invitation.",0.854
ritual_slot_agent_55_ledgerkin,55,204,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",love1 repeated at phase vesica,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo12's posture, ask meaning, join only after invitation.",0.854
ritual_slot_agent_55_redstair,55,211,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",save1 repeated at phase vesica,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa13's posture, ask meaning, join only after invitation.",0.854
ritual_slot_agent_55_wheelwright,55,218,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nive1 repeated at phase vesica,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni14's posture, ask meaning, join only after invitation.",0.854
ritual_slot_agent_377_westkeepers,377,260,westkeepers,tool-return bow,"morning body check, market open, storm alarm, or conflict repair","chalk line, hand to arch",katr2 repeated at phase triad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ka20's posture, ask meaning, join only after invitation.",0.878
ritual_slot_agent_377_mossgarden,377,267,mossgarden,cup-circle meal,"morning body check, market open, storm alarm, or conflict repair","cup pass, blanket fold",mutr2 repeated at phase triad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Mu21's posture, ask meaning, join only after invitation.",0.878
ritual_slot_agent_377_ledgerkin,377,274,ledgerkin,counting-step chant,"morning body check, market open, storm alarm, or conflict repair","heel rock, thread knot",lotr2 repeated at phase triad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Lo22's posture, ask meaning, join only after invitation.",0.878
ritual_slot_agent_377_redstair,377,281,redstair,three-mark witness pause,"morning body check, market open, storm alarm, or conflict repair","hand to wall, shell turn",satr2 repeated at phase triad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Sa23's posture, ask meaning, join only after invitation.",0.878
ritual_slot_agent_377_wheelwright,377,288,wheelwright,vane-touch safety check,"morning body check, market open, storm alarm, or conflict repair","glove lift, wheel listen",nitr2 repeated at phase triad,"moss, copper, seed oil, chalk, wet stone, shell dust",stabilizes household memory and teaches safe refusal before trade,"Watch Ni24's posture, ask meaning, join only after invitation.",0.878
