tick_id,day,project_id,material,inventory_before,consumed,inventory_after,shortage,shortage_visible,ledger_entry,substitute_material
0,1,west_bridge_repair,planks,18.0,0.0,18.0,false,false,none,none
1,1,herb_roof_garden,water,37.0,0.0,37.0,false,false,none,none
2,1,north_lantern_relay,wire,6.0,0.0,6.0,false,false,none,none
3,1,archive_weather_log,ink,9.0,0.0,9.0,false,false,none,none
4,1,west_bridge_repair,resin,7.5,0.0,7.5,false,false,none,none
5,1,herb_roof_garden,compost,8.0,0.133,7.867,false,false,herb_roof_garden:clear:compost:0.133,none
6,1,north_lantern_relay,oil,12.0,0.0,12.0,false,false,none,none
7,1,archive_weather_log,paper,12.0,0.1829,11.8171,false,false,archive_weather_log:sort:paper:0.183,none
8,1,west_bridge_repair,rope,6.0,0.0,6.0,false,false,none,none
9,1,herb_roof_garden,seed,10.5,0.118,10.382,false,false,herb_roof_garden:clear:seed:0.118,none
10,1,north_lantern_relay,glass,8.0,0.133,7.867,false,false,north_lantern_relay:clean:glass:0.133,none
11,1,archive_weather_log,thread,2.2,0.0,2.2,false,false,none,none
12,1,west_bridge_repair,planks,18.0,0.0,18.0,false,false,none,none
13,1,herb_roof_garden,water,37.0,0.0,37.0,false,false,none,none
14,1,north_lantern_relay,wire,6.0,0.0,6.0,false,false,none,none
15,1,archive_weather_log,ink,9.0,0.133,8.867,false,false,archive_weather_log:sort:ink:0.133,none
16,1,west_bridge_repair,resin,7.5,0.0,7.5,false,false,none,none
17,1,herb_roof_garden,compost,7.867,0.0,7.867,false,false,none,none
18,2,north_lantern_relay,oil,12.0,0.0,12.0,false,false,none,none
19,2,archive_weather_log,paper,11.8171,0.0,11.8171,false,false,none,none
20,2,west_bridge_repair,rope,6.0,0.118,5.882,false,false,west_bridge_repair:measure:rope:0.118,none
21,2,herb_roof_garden,seed,10.382,0.0,10.382,false,false,none,none
22,2,north_lantern_relay,glass,7.867,0.0,7.867,false,false,none,none
23,2,archive_weather_log,thread,2.2,0.0,2.2,false,false,none,none
24,2,west_bridge_repair,planks,18.0,0.0,18.0,false,false,none,none
25,2,herb_roof_garden,water,37.0,0.1829,36.8171,false,false,herb_roof_garden:clear:water:0.183,none
26,2,north_lantern_relay,wire,6.0,0.0,6.0,false,false,none,none
27,2,archive_weather_log,ink,8.867,0.0,8.867,false,false,none,none
28,2,west_bridge_repair,resin,7.5,0.0,7.5,false,false,none,none
29,2,herb_roof_garden,compost,7.867,0.0,7.867,false,false,none,none
30,2,north_lantern_relay,oil,12.0,0.0,12.0,false,false,none,none
