tick_id,day,agent,region_id,initiative_kind,message,tied_to_supply,tied_to_season,tied_to_guild,tied_to_apprentice,tied_to_collapse,player_visible
0,1,Ari,riverbend,migration_care_notice,fish moved toward archive_quarter under spring_rain.,False,True,False,False,False,True
1,1,Fay,roofward,none,none,False,True,False,False,False,False
2,1,Nia,archive_quarter,none,none,False,True,True,True,False,False
3,1,Milo,signal_ridge,none,none,False,True,True,True,False,False
4,1,Ivo,orchard_fen,none,none,False,True,True,False,False,False
5,1,Ari,riverbend,none,none,False,True,False,False,False,False
6,1,Fay,roofward,migration_care_notice,fish moved toward signal_ridge under spring_rain.,False,True,False,False,False,True
7,1,Nia,archive_quarter,guild_repair_notice,Index Guild reduced backlog in archive_quarter.,False,True,True,True,False,True
8,1,Milo,signal_ridge,none,none,False,True,True,True,False,False
9,1,Ivo,orchard_fen,none,none,False,True,True,False,False,False
10,1,Ari,riverbend,none,none,False,True,False,False,False,False
11,1,Fay,roofward,none,none,False,True,False,False,False,False
12,1,Nia,archive_quarter,migration_care_notice,fish moved toward orchard_fen under spring_rain.,False,True,False,False,False,True
13,1,Milo,signal_ridge,none,none,False,True,True,True,False,False
14,1,Ivo,orchard_fen,none,none,False,True,True,False,False,False
15,1,Ari,riverbend,none,none,False,True,True,True,False,False
16,2,Fay,roofward,none,none,False,True,False,False,False,False
17,2,Nia,archive_quarter,none,none,False,True,False,False,False,False
18,2,Milo,signal_ridge,migration_care_notice,fish moved toward riverbend under spring_rain.,False,True,True,True,False,True
19,2,Ivo,orchard_fen,none,none,False,True,True,True,False,False
20,2,Ari,riverbend,none,none,False,True,False,False,False,False
21,2,Fay,roofward,none,none,False,True,False,False,False,False
22,2,Nia,archive_quarter,none,none,False,True,False,False,False,False
23,2,Milo,signal_ridge,none,none,False,True,True,True,False,False
24,2,Ivo,orchard_fen,migration_care_notice,fish moved toward roofward under spring_rain.,False,True,True,True,False,True
25,2,Ari,riverbend,none,none,False,True,False,False,False,False
26,2,Fay,roofward,none,none,False,True,False,False,False,False
27,2,Nia,archive_quarter,none,none,False,True,False,False,False,False
28,2,Milo,signal_ridge,none,none,False,True,False,False,False,False
29,2,Ivo,orchard_fen,none,none,False,True,True,True,False,False
30,2,Ari,riverbend,migration_care_notice,fish moved toward archive_quarter under spring_rain.,False,True,False,False,False,True
31,2,Fay,roofward,none,none,False,True,True,True,False,False
32,3,Nia,archive_quarter,none,none,False,True,False,False,False,False
33,3,Milo,signal_ridge,none,none,False,True,False,False,False,False
34,3,Ivo,orchard_fen,none,none,False,True,True,True,False,False
35,3,Ari,riverbend,none,none,False,True,False,True,False,False
36,3,Fay,roofward,migration_care_notice,fish moved toward signal_ridge under spring_rain.,False,True,False,False,False,True
37,3,Nia,archive_quarter,none,none,False,True,False,False,False,False
38,3,Milo,signal_ridge,none,none,False,True,False,False,False,False
39,3,Ivo,orchard_fen,none,none,False,True,True,True,False,False
40,3,Ari,riverbend,none,none,False,True,False,True,False,False
