tick_id,day,session_id,settlement_id,avatar_x_before,avatar_y_before,click_x,click_y,avatar_x_after,avatar_y_after,movement_command,canvas_state_mutated,collision_checked,pointer_event_visible,localstorage_written,no_llm_call
0,1,canvas-session-001,lichen_bridge,40,40,379,191,58,58,pointer-click:meal_room,True,True,True,True,True
1,1,canvas-session-001,orchid_engine,40,40,152,116,58,58,pointer-click:engine_ring,True,True,True,True,True
2,1,canvas-session-001,moss_ward,40,40,253,149,58,58,pointer-click:blanket_room,True,True,True,True,True
3,1,canvas-session-001,glass_harbor,40,40,450,108,58,58,pointer-click:fog_rail,True,True,True,True,True
4,1,canvas-session-001,cinder_garden,40,40,78,211,58,58,pointer-click:seed_shelf,True,True,True,True,True
5,1,canvas-session-001,lichen_bridge,58,58,247,364,76,76,pointer-click:signal_post,True,True,True,True,True
6,1,canvas-session-001,orchid_engine,58,58,452,157,76,76,pointer-click:orchid_bay,True,True,True,True,True
7,1,canvas-session-001,moss_ward,58,58,101,306,76,76,pointer-click:rain_gate,True,True,True,True,True
8,1,canvas-session-001,glass_harbor,58,58,310,195,76,76,pointer-click:net_room,True,True,True,True,True
9,1,canvas-session-001,cinder_garden,58,58,390,236,76,76,pointer-click:shade_tent,True,True,True,True,True
10,1,canvas-session-001,lichen_bridge,76,76,75,289,75,94,pointer-click:rope_bridge,True,True,True,True,True
11,1,canvas-session-001,orchid_engine,76,76,324,290,94,94,pointer-click:gear_wash,True,True,True,True,True
12,1,canvas-session-001,moss_ward,76,76,397,95,94,94,pointer-click:root_alcove,True,True,True,True,True
13,1,canvas-session-001,glass_harbor,76,76,93,340,93,94,pointer-click:lamp_pier,True,True,True,True,True
14,1,canvas-session-001,cinder_garden,76,76,218,353,94,94,pointer-click:ash_path,True,True,True,True,True
15,1,canvas-session-001,lichen_bridge,75,94,391,206,93,112,pointer-click:meal_room,True,True,True,True,True
16,1,canvas-session-001,orchid_engine,94,94,164,131,112,112,pointer-click:engine_ring,True,True,True,True,True
17,1,canvas-session-001,moss_ward,94,94,265,164,112,112,pointer-click:blanket_room,True,True,True,True,True
18,2,canvas-session-001,cinder_garden,94,94,83,214,83,112,pointer-click:seed_shelf,True,True,True,True,True
19,2,canvas-session-001,lichen_bridge,93,112,252,367,111,130,pointer-click:signal_post,True,True,True,True,True
20,2,canvas-session-001,orchid_engine,112,112,457,160,130,130,pointer-click:orchid_bay,True,True,True,True,True
21,2,canvas-session-001,moss_ward,112,112,106,309,106,130,pointer-click:rain_gate,True,True,True,True,True
22,2,canvas-session-001,glass_harbor,93,94,274,198,111,112,pointer-click:net_room,True,True,True,True,True
23,2,canvas-session-001,cinder_garden,83,112,395,239,101,130,pointer-click:shade_tent,True,True,True,True,True
24,2,canvas-session-001,lichen_bridge,111,130,80,292,93,148,pointer-click:rope_bridge,True,True,True,True,True
25,2,canvas-session-001,orchid_engine,130,130,329,293,148,148,pointer-click:gear_wash,True,True,True,True,True
26,2,canvas-session-001,moss_ward,106,130,402,98,124,112,pointer-click:root_alcove,True,True,True,True,True
27,2,canvas-session-001,glass_harbor,111,112,98,343,98,130,pointer-click:lamp_pier,True,True,True,True,True
28,2,canvas-session-001,cinder_garden,101,130,223,356,119,148,pointer-click:ash_path,True,True,True,True,True
29,2,canvas-session-001,lichen_bridge,93,148,396,209,111,166,pointer-click:meal_room,True,True,True,True,True
30,2,canvas-session-001,orchid_engine,148,148,169,134,166,134,pointer-click:engine_ring,True,True,True,True,True
31,2,canvas-session-001,moss_ward,124,112,229,167,142,130,pointer-click:blanket_room,True,True,True,True,True
32,2,canvas-session-001,glass_harbor,98,130,426,126,116,126,pointer-click:fog_rail,True,True,True,True,True
33,2,canvas-session-001,cinder_garden,119,148,95,229,101,166,pointer-click:seed_shelf,True,True,True,True,True
34,2,canvas-session-001,lichen_bridge,111,166,264,382,129,184,pointer-click:signal_post,True,True,True,True,True
35,2,canvas-session-001,orchid_engine,166,134,469,175,184,152,pointer-click:orchid_bay,True,True,True,True,True
36,3,canvas-session-001,glass_harbor,116,126,279,201,134,144,pointer-click:net_room,True,True,True,True,True
37,3,canvas-session-001,cinder_garden,101,166,400,242,119,184,pointer-click:shade_tent,True,True,True,True,True
38,3,canvas-session-001,lichen_bridge,129,184,85,295,111,202,pointer-click:rope_bridge,True,True,True,True,True
39,3,canvas-session-001,orchid_engine,184,152,334,296,202,170,pointer-click:gear_wash,True,True,True,True,True
40,3,canvas-session-001,moss_ward,142,130,366,101,160,112,pointer-click:root_alcove,True,True,True,True,True
41,3,canvas-session-001,glass_harbor,134,144,103,346,116,162,pointer-click:lamp_pier,True,True,True,True,True
42,3,canvas-session-001,cinder_garden,119,184,228,359,137,202,pointer-click:ash_path,True,True,True,True,True
43,3,canvas-session-001,lichen_bridge,111,202,401,212,129,212,pointer-click:meal_room,True,True,True,True,True
44,3,canvas-session-001,orchid_engine,202,170,174,137,184,152,pointer-click:engine_ring,True,True,True,True,True
45,3,canvas-session-001,moss_ward,160,112,234,170,178,130,pointer-click:blanket_room,True,True,True,True,True
46,3,canvas-session-001,glass_harbor,116,162,431,129,134,144,pointer-click:fog_rail,True,True,True,True,True
47,3,canvas-session-001,cinder_garden,137,202,100,232,119,220,pointer-click:seed_shelf,True,True,True,True,True
48,3,canvas-session-001,lichen_bridge,129,212,269,1,147,194,pointer-click:signal_post,True,True,True,True,True
49,3,canvas-session-001,orchid_engine,184,152,433,178,202,170,pointer-click:orchid_bay,True,True,True,True,True
50,3,canvas-session-001,moss_ward,178,130,82,327,160,148,pointer-click:rain_gate,True,True,True,True,True
51,3,canvas-session-001,glass_harbor,134,144,291,216,152,162,pointer-click:net_room,True,True,True,True,True
52,3,canvas-session-001,cinder_garden,119,220,412,257,137,238,pointer-click:shade_tent,True,True,True,True,True
53,3,canvas-session-001,lichen_bridge,147,194,97,310,129,212,pointer-click:rope_bridge,True,True,True,True,True
54,4,canvas-session-001,moss_ward,160,148,371,104,178,130,pointer-click:root_alcove,True,True,True,True,True
55,4,canvas-session-001,glass_harbor,152,162,108,349,134,180,pointer-click:lamp_pier,True,True,True,True,True
56,4,canvas-session-001,cinder_garden,137,238,233,362,155,256,pointer-click:ash_path,True,True,True,True,True
57,4,canvas-session-001,lichen_bridge,129,212,406,215,147,215,pointer-click:meal_room,True,True,True,True,True
58,4,canvas-session-001,orchid_engine,202,170,138,140,184,152,pointer-click:engine_ring,True,True,True,True,True
59,4,canvas-session-001,moss_ward,178,130,239,173,196,148,pointer-click:blanket_room,True,True,True,True,True
60,4,canvas-session-001,glass_harbor,134,180,436,132,152,162,pointer-click:fog_rail,True,True,True,True,True
61,4,canvas-session-001,cinder_garden,155,256,105,235,137,238,pointer-click:seed_shelf,True,True,True,True,True
62,4,canvas-session-001,lichen_bridge,147,215,274,4,165,197,pointer-click:signal_post,True,True,True,True,True
63,4,canvas-session-001,orchid_engine,184,152,438,181,202,170,pointer-click:orchid_bay,True,True,True,True,True
64,4,canvas-session-001,moss_ward,196,148,87,330,178,166,pointer-click:rain_gate,True,True,True,True,True
65,4,canvas-session-001,glass_harbor,152,162,296,219,170,180,pointer-click:net_room,True,True,True,True,True
