tick_id,day,route_id,clicked_button,branch_before,branch_after,mutation_type,localstorage_write_payload,branch_badge_visible,rollback_available,state_version_after,mutation_persisted
2,1,archive_signal,merge-archive_signal,paper lane,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 2}",True,True,2,True
5,1,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 2}",True,True,2,True
8,1,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 3}",True,True,3,True
14,2,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 4}",True,True,4,True
17,2,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 3}",True,True,3,True
20,2,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 5}",True,True,5,True
26,3,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 6}",True,True,6,True
29,3,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 4}",True,True,4,True
32,3,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 7}",True,True,7,True
38,4,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 8}",True,True,8,True
41,4,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 5}",True,True,5,True
44,4,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 9}",True,True,9,True
50,5,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 10}",True,True,10,True
53,5,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 6}",True,True,6,True
56,5,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 11}",True,True,11,True
62,6,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 12}",True,True,12,True
65,6,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 7}",True,True,7,True
68,6,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 13}",True,True,13,True
74,7,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 14}",True,True,14,True
77,7,central_repair_ring,rollback-central_repair_ring,inner repair yard,inner repair yard,rollback_direct,"{""animation"": ""idle"", ""branch"": ""inner repair yard"", ""routeId"": ""central_repair_ring"", ""version"": 8}",True,True,8,True
80,7,archive_signal,merge-archive_signal,stone kiosk path,stone kiosk path,merge_detour,"{""animation"": ""idle"", ""branch"": ""stone kiosk path"", ""routeId"": ""archive_signal"", ""version"": 15}",True,True,15,True
86,8,signal_orchard,merge-signal_orchard,dusk road,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 2}",True,True,2,True
89,8,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 2}",True,True,2,True
92,8,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 3}",True,True,3,True
98,9,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 4}",True,True,4,True
101,9,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 3}",True,True,3,True
104,9,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 5}",True,True,5,True
110,10,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 6}",True,True,6,True
113,10,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 4}",True,True,4,True
116,10,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 7}",True,True,7,True
122,11,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 8}",True,True,8,True
125,11,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 5}",True,True,5,True
128,11,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 9}",True,True,9,True
134,12,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 10}",True,True,10,True
137,12,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 6}",True,True,6,True
140,12,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 11}",True,True,11,True
146,13,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 12}",True,True,12,True
149,13,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 7}",True,True,7,True
152,13,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 13}",True,True,13,True
158,14,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 14}",True,True,14,True
161,14,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 8}",True,True,8,True
164,14,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 15}",True,True,15,True
170,15,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 16}",True,True,16,True
173,15,riverbend_roofward,rollback-riverbend_roofward,low plank crossing,low plank crossing,rollback_direct,"{""animation"": ""playing"", ""branch"": ""low plank crossing"", ""routeId"": ""riverbend_roofward"", ""version"": 9}",True,True,9,True
176,15,signal_orchard,merge-signal_orchard,river lantern loop,river lantern loop,merge_detour,"{""animation"": ""paused"", ""branch"": ""river lantern loop"", ""routeId"": ""signal_orchard"", ""version"": 17}",True,True,17,True
182,16,orchard_riverbend,merge-orchard_riverbend,fen track,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 8}",True,True,8,True
185,16,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""playing"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 9}",True,True,9,True
188,16,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 9}",True,True,9,True
194,17,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 10}",True,True,10,True
197,17,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""playing"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 10}",True,True,10,True
200,17,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 11}",True,True,11,True
206,18,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 12}",True,True,12,True
209,18,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 11}",True,True,11,True
212,18,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 13}",True,True,13,True
218,19,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 14}",True,True,14,True
221,19,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 12}",True,True,12,True
224,19,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 15}",True,True,15,True
230,20,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 16}",True,True,16,True
233,20,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 13}",True,True,13,True
236,20,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 17}",True,True,17,True
242,21,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 18}",True,True,18,True
245,21,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 14}",True,True,14,True
247,21,signal_orchard,rollback-signal_orchard,river lantern loop,dusk road,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""dusk road"", ""routeId"": ""signal_orchard"", ""version"": 24}",True,True,24,True
248,21,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 19}",True,True,19,True
254,22,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 20}",True,True,20,True
257,22,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 15}",True,True,15,True
260,22,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 21}",True,True,21,True
266,23,orchard_riverbend,merge-orchard_riverbend,market plank route,market plank route,merge_detour,"{""animation"": ""paused"", ""branch"": ""market plank route"", ""routeId"": ""orchard_riverbend"", ""version"": 22}",True,True,22,True
269,23,roofward_archive,rollback-roofward_archive,glass stair,glass stair,rollback_direct,"{""animation"": ""stepped"", ""branch"": ""glass stair"", ""routeId"": ""roofward_archive"", ""version"": 16}",True,True,16,True
