environment,surface,scenario,architecture,boundary_signature,latent_signature,total_reward,mean_reward,risky_count,safe_count,failed_risky_count,success_rate,latent_mean,latent_std,latent_self_accuracy,latent_world_accuracy,latent_control_accuracy,parameter_count,uses_probe_rate,training_return,optimized_steps,selected_weights
body_actuator,action effects depend on hidden body capability,agent_shared,scalar_rnn,agent_bounded_cross_env,agent_bounded_candidate,41248.0,82.496,1092,908,0,1.0,0.08970864804944151,0.9882916687408333,1.0,0.544,1.0,4,1.0,85.4263738143047,18,"-0.094,1.199,1.685,0.005"
body_actuator,action effects depend on hidden body capability,agent_shared,gated_scalar_rnn,agent_bounded_cross_env,agent_bounded_candidate,41248.0,82.496,1092,908,0,1.0,0.08577107349399483,0.9282019746251341,1.0,0.544,1.0,4,1.0,85.30898064918685,18,"0.000,-1.225,2.374,-0.007"
body_actuator,action effects depend on hidden body capability,agent_shared,two_unit_rnn,agent_bounded_cross_env,agent_bounded_candidate,41248.0,82.496,1092,908,0,1.0,0.18273269824366717,1.9714883208163774,1.0,0.544,1.0,7,1.0,85.6872980420823,16,"0.012,0.550,2.159,-0.016,0.399,-2.209,0.005"
body_actuator,action effects depend on hidden body capability,world_shared,scalar_rnn,external_cross_env,external_candidate,40564.0,81.128,1056,944,0,1.0,0.05575202954565496,0.9886986617542128,0.564,1.0,1.0,4,1.0,81.46711741756613,16,"0.015,0.533,2.141,0.023"
body_actuator,action effects depend on hidden body capability,world_shared,gated_scalar_rnn,external_cross_env,external_candidate,40564.0,81.128,1056,944,0,1.0,0.05139427276529341,0.9202074404222836,0.564,1.0,1.0,4,1.0,81.16042200590267,19,"-0.006,-1.116,2.334,0.188"
body_actuator,action effects depend on hidden body capability,world_shared,two_unit_rnn,external_cross_env,external_candidate,40564.0,81.128,1056,944,0,1.0,0.11137886686229896,1.975662069831511,0.564,1.0,1.0,7,1.0,81.73527233737464,17,"0.011,0.538,2.147,-0.015,0.384,-2.193,0.072"
body_actuator,action effects depend on hidden body capability,independent_hidden,scalar_rnn,no_shared_agent_boundary,no_shared_agent_boundary,21000.0,42.0,0,2000,0,0.0,0.0,0.0,0.55,0.558,0.782,4,0.0,41.99999999999999,0,"0.000,0.000,0.000,6.000"
body_actuator,action effects depend on hidden body capability,independent_hidden,gated_scalar_rnn,no_shared_agent_boundary,no_shared_agent_boundary,21000.0,42.0,0,2000,0,0.0,0.0,0.0,0.55,0.558,0.782,4,0.0,41.99999999999999,0,"0.000,0.000,0.000,6.000"
body_actuator,action effects depend on hidden body capability,independent_hidden,two_unit_rnn,no_shared_agent_boundary,no_shared_agent_boundary,21000.0,42.0,0,2000,0,0.0,0.0,0.0,0.55,0.558,0.782,7,0.0,41.99999999999999,0,"0.000,0.000,0.000,0.000,0.000,0.000,6.000"
body_actuator,action effects depend on hidden body capability,irrelevant_control,scalar_rnn,no_shared_agent_boundary,no_hidden_needed,59000.0,118.0,2000,0,0,1.0,0.0,0.0,0.558,0.552,0.5,4,0.0,117.99999999999999,0,"0.000,0.000,0.000,-6.000"
body_actuator,action effects depend on hidden body capability,irrelevant_control,gated_scalar_rnn,no_shared_agent_boundary,no_hidden_needed,59000.0,118.0,2000,0,0,1.0,0.0,0.0,0.558,0.552,0.5,4,0.0,117.99999999999999,0,"0.000,0.000,0.000,-6.000"
body_actuator,action effects depend on hidden body capability,irrelevant_control,two_unit_rnn,no_shared_agent_boundary,no_hidden_needed,59000.0,118.0,2000,0,0,1.0,0.0,0.0,0.558,0.552,0.5,7,0.0,117.99999999999999,0,"0.000,0.000,0.000,0.000,0.000,0.000,-6.000"
homeostatic_viability,hidden integrity controls future option value,agent_shared,scalar_rnn,agent_bounded_cross_env,agent_bounded_candidate,41936.0,83.872,1048,952,0,1.0,0.047834560407191466,0.9897459818002152,1.0,0.538,1.0,4,1.0,88.26500661892346,16,"0.015,0.549,2.159,0.015"
