seed,ablation,plan,count,mean_value,max_value
20260911,none,balanced_repair,23,1.0168358258768695,1.8
20260911,none,recovery_sustain_window,32,-0.3452237988668545,-0.04418674710761975
20260911,none,route_supply_window,182,0.7937306962246936,1.8
20260911,none,sanitize_care_window,288,0.8384017699507886,1.8
20260911,none,social_first,107,-0.09758739532889134,0.6354888612067296
20260911,none,teaching_repair_window,9,-0.17097406242995689,-0.03609877785580818
20260912,none,balanced_repair,50,0.9295329503534272,1.8
20260912,none,environment_first,66,0.6730240100626909,1.4511453250512476
20260912,none,recovery_sustain_window,59,-0.1848988262072068,0.6663409821639552
20260912,none,route_supply_window,97,0.8115655712485683,1.8
20260912,none,sanitize_care_window,167,0.8163930911883721,1.8
20260912,none,social_first,144,-0.033525026744125906,0.7251043884569935
20260912,none,teaching_repair_window,3,-0.10676962074713787,0.6677267182480044
20260913,none,balanced_repair,71,1.0372839070385707,1.8
20260913,none,environment_first,82,0.6549324126754215,0.8527273521367532
20260913,none,recovery_sustain_window,48,-0.11388721193697171,0.7034803123100849
20260913,none,route_supply_window,99,0.8073116643471756,1.8
20260913,none,sanitize_care_window,181,0.7986948608045432,1.8
20260913,none,social_first,76,0.11382213914937822,1.4512890333162862
20260913,none,storm_infrastructure_window,9,0.67467927141066,0.6992274169326115
20260913,none,teaching_repair_window,7,0.6887692796060413,0.7270582714366519
