tick,day,resident,memory_key,debt_name,debt_before,debt_after,trust_before,trust_after,causal_action,visible_in_dashboard,persists_after_restore,history_not_erased
0,1,Nia,nia:tool_loan:audit:d001:s00,tool loan,0.54,0.536,0.293726,0.310726,talk,True,True,True
1,1,Ari,ari:repair_promise:audit:d001:s01,repair promise,0.539849,0.521849,0.510064,0.527064,offer_help,True,True,True
2,1,Fay,fay:care_favor:audit:d001:s02,care favor,0.539398,0.563398,0.675791,0.657791,borrow_tool,True,True,True
3,1,Milo,milo:tool_loan:audit:d001:s03,tool loan,0.538646,0.520646,0.6653,0.6823,return_tool,True,True,True
4,1,Sera,sera:repair_promise:audit:d001:s04,repair promise,0.537595,0.561595,0.520736,0.502736,interrupt_work,True,True,True
5,1,Tovan,tovan:care_favor:audit:d001:s05,care favor,0.536246,0.532246,0.33702,0.33902,wait_offscreen,True,True,True
6,1,Nia,nia:tool_loan:audit:d001:s06,tool loan,0.534601,0.516601,0.316584,0.333584,repair_trust,True,True,True
7,1,Ari,ari:repair_promise:audit:d001:s07,repair promise,0.532662,0.528662,0.508589,0.510589,move,True,True,True
8,1,Fay,fay:care_favor:audit:d001:s08,care favor,0.530432,0.526432,0.660969,0.677969,talk,True,True,True
9,1,Milo,milo:tool_loan:audit:d001:s09,tool loan,0.527915,0.509915,0.660451,0.677451,offer_help,True,True,True
10,1,Sera,sera:repair_promise:audit:d001:s10,repair promise,0.525112,0.549112,0.519357,0.501357,borrow_tool,True,True,True
11,1,Tovan,tovan:care_favor:audit:d001:s11,care favor,0.522029,0.504029,0.339581,0.356581,return_tool,True,True,True
12,1,Nia,nia:tool_loan:audit:d001:s12,tool loan,0.518669,0.542669,0.314272,0.296272,interrupt_work,True,True,True
13,1,Ari,ari:repair_promise:audit:d001:s13,repair promise,0.515037,0.511037,0.500677,0.502677,wait_offscreen,True,True,True
14,1,Fay,fay:care_favor:audit:d001:s14,care favor,0.511138,0.493138,0.678626,0.695626,repair_trust,True,True,True
15,1,Milo,milo:tool_loan:audit:d001:s15,tool loan,0.506978,0.502978,0.66174,0.66374,move,True,True,True
16,1,Sera,sera:repair_promise:audit:d001:s16,repair promise,0.502562,0.498562,0.517456,0.534456,talk,True,True,True
17,1,Tovan,tovan:care_favor:audit:d001:s17,care favor,0.497896,0.479896,0.321102,0.338102,offer_help,True,True,True
18,2,Nia,nia:tool_loan:audit:d002:s00,tool loan,0.492986,0.474986,0.303113,0.320113,return_tool,True,True,True
19,2,Ari,ari:repair_promise:audit:d002:s01,repair promise,0.487839,0.511839,0.508422,0.490422,interrupt_work,True,True,True
20,2,Fay,fay:care_favor:audit:d002:s02,care favor,0.482463,0.478463,0.666001,0.668001,wait_offscreen,True,True,True
21,2,Milo,milo:tool_loan:audit:d002:s03,tool loan,0.476864,0.458864,0.652064,0.669064,repair_trust,True,True,True
22,2,Sera,sera:repair_promise:audit:d002:s04,repair promise,0.471051,0.467051,0.494049,0.496049,move,True,True,True
23,2,Tovan,tovan:care_favor:audit:d002:s05,care favor,0.465031,0.461031,0.333949,0.350949,talk,True,True,True
24,2,Nia,nia:tool_loan:audit:d002:s06,tool loan,0.458812,0.440812,0.30128,0.31828,offer_help,True,True,True
25,2,Ari,ari:repair_promise:audit:d002:s07,repair promise,0.452404,0.476404,0.511136,0.493136,borrow_tool,True,True,True
26,2,Fay,fay:care_favor:audit:d002:s08,care favor,0.445814,0.427814,0.669868,0.686868,return_tool,True,True,True
27,2,Milo,milo:tool_loan:audit:d002:s09,tool loan,0.439052,0.463052,0.656274,0.638274,interrupt_work,True,True,True
28,2,Sera,sera:repair_promise:audit:d002:s10,repair promise,0.432126,0.428126,0.484752,0.486752,wait_offscreen,True,True,True
29,2,Tovan,tovan:care_favor:audit:d002:s11,care favor,0.425048,0.407048,0.318746,0.335746,repair_trust,True,True,True
30,2,Nia,nia:tool_loan:audit:d002:s12,tool loan,0.417826,0.413826,0.319669,0.321669,move,True,True,True
31,2,Ari,ari:repair_promise:audit:d002:s13,repair promise,0.410469,0.406469,0.515363,0.532363,talk,True,True,True
32,2,Fay,fay:care_favor:audit:d002:s14,care favor,0.402989,0.384989,0.684752,0.701752,offer_help,True,True,True
33,2,Milo,milo:tool_loan:audit:d002:s15,tool loan,0.395395,0.419395,0.652001,0.634001,borrow_tool,True,True,True
34,2,Sera,sera:repair_promise:audit:d002:s16,repair promise,0.387699,0.369699,0.498967,0.515967,return_tool,True,True,True
35,2,Tovan,tovan:care_favor:audit:d002:s17,care favor,0.379909,0.403909,0.323375,0.305375,interrupt_work,True,True,True
36,3,Nia,nia:tool_loan:audit:d003:s00,tool loan,0.372037,0.354037,0.320552,0.337552,repair_trust,True,True,True
37,3,Ari,ari:repair_promise:audit:d003:s01,repair promise,0.364094,0.360094,0.536974,0.538974,move,True,True,True
38,3,Fay,fay:care_favor:audit:d003:s02,care favor,0.356091,0.352091,0.671306,0.688306,talk,True,True,True
39,3,Milo,milo:tool_loan:audit:d003:s03,tool loan,0.348039,0.330039,0.643734,0.660734,offer_help,True,True,True
40,3,Sera,sera:repair_promise:audit:d003:s04,repair promise,0.339948,0.363948,0.49517,0.47717,borrow_tool,True,True,True
41,3,Tovan,tovan:care_favor:audit:d003:s05,care favor,0.331829,0.313829,0.307434,0.324434,return_tool,True,True,True
42,3,Nia,nia:tool_loan:audit:d003:s06,tool loan,0.323695,0.347695,0.309054,0.291054,interrupt_work,True,True,True
43,3,Ari,ari:repair_promise:audit:d003:s07,repair promise,0.315555,0.311555,0.523577,0.525577,wait_offscreen,True,True,True
44,3,Fay,fay:care_favor:audit:d003:s08,care favor,0.307422,0.289422,0.677375,0.694375,repair_trust,True,True,True
45,3,Milo,milo:tool_loan:audit:d003:s09,tool loan,0.299306,0.295306,0.650695,0.652695,move,True,True,True
46,3,Sera,sera:repair_promise:audit:d003:s10,repair promise,0.291218,0.287218,0.489243,0.506243,talk,True,True,True
47,3,Tovan,tovan:care_favor:audit:d003:s11,care favor,0.283169,0.265169,0.320489,0.337489,offer_help,True,True,True
48,3,Nia,nia:tool_loan:audit:d003:s12,tool loan,0.275171,0.299171,0.319264,0.301264,borrow_tool,True,True,True
