tick,choice_id,lineage,agent,public_state,selected_branch_panel,mutable_state_panel,restore_panel,followup_panel,rollback_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,Hearthline,Sova,choice 1: Sova/Hearthline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.66; boundary=0.25,restore survives=True; restore_hash=05b1680b02f40de9,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-001; replay=16e102de118a8717,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.17; flower=167.5,False,ssrm254_browser_world_v14_branch_state,009bad88f50e15d13f
2,2,Hearthline,Sova,choice 2: Sova/Hearthline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.88; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.67; boundary=0.24,restore survives=True; restore_hash=d58f852ad616de89,Sova: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-002; replay=eba658ef8e792e96,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.17; flower=305.0,False,ssrm254_browser_world_v14_branch_state,53ad178dc8ca782dfb
3,3,Hearthline,Sova,choice 3: Sova/Hearthline selected summary_then_decide,Request public summary before choosing access.; parsed=0.89; response=summary_then_decide,"summary first, defer access; delay=6; access=0.46; trust=0.64; boundary=0.26",restore survives=True; restore_hash=5236ac25ca8bde51,Sova: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-003; replay=17353bc17fdbbe26,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.17; flower=82.6,False,ssrm254_browser_world_v14_branch_state,8d5755d67d20c6a692
4,4,Hearthline,Sova,choice 4: Sova/Hearthline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.58; boundary=0.34,restore survives=True; restore_hash=a2a894696ad5a147,"Sova: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-004; replay=950b7bd84d9aaf13,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.17; flower=220.1,False,ssrm254_browser_world_v14_branch_state,b34b70260d259aff4e
5,5,Hearthline,Sova,choice 5: Sova/Hearthline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.45; trust=0.64; boundary=0.27",restore survives=True; restore_hash=ca1df9b9a4569ca3,Sova: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-005; replay=eb8610831e4165a1,sound=mutate bell 2.31Hz; smell=Hearth Archive branch dust; temp=0.61; wet=0.17; flower=357.6,False,ssrm254_browser_world_v14_branch_state,7722371b2a62489d28
6,6,Routeline,Keth,choice 6: Keth/Routeline selected limited_access,"Accept one watched public task, review tomorrow.; parsed=0.88; response=limited_access",limited public access accepted; delay=10; access=0.49; trust=0.65; boundary=0.26,restore survives=True; restore_hash=2c1b4248fe6099fd,Keth: limited access branch restored. We can continue slowly.,rollback=True; checkpoint=r254-choice-006; replay=ffee875bee2a07e4,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.17; flower=133.3,False,ssrm254_browser_world_v14_branch_state,d595207640f70584f9
7,7,Routeline,Keth,choice 7: Keth/Routeline selected repair_first_access,"Do repair work first, then ask again.; parsed=0.87; response=repair_first_access",repair before access; delay=18; access=0.47; trust=0.66; boundary=0.25,restore survives=True; restore_hash=5cdfdec313fb57c7,Keth: the repair branch survived reload. Do you want to continue with witness present?,rollback=True; checkpoint=r254-choice-007; replay=b62989292eeb32e1,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.17; flower=270.8,False,ssrm254_browser_world_v14_branch_state,b4bd6f05ecc8201092
8,8,Routeline,Keth,choice 8: Keth/Routeline selected summary_then_decide,Request public summary before choosing access.; parsed=0.88; response=summary_then_decide,"summary first, defer access; delay=6; access=0.45; trust=0.63; boundary=0.26",restore survives=True; restore_hash=ac5625ad58ec7b0b,no follow-up generated for this restored branch yet,rollback=True; checkpoint=r254-choice-008; replay=7ae2ef0a8e43c915,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.17; flower=48.3,False,ssrm254_browser_world_v14_branch_state,eed1299d9b5725e1e6
9,9,Routeline,Keth,choice 9: Keth/Routeline selected blocked_until_repair,Push old access; get blocked until repair.; parsed=0.85; response=blocked_until_repair,old access blocked until repair; delay=36; access=0.39; trust=0.57; boundary=0.34,restore survives=True; restore_hash=a01f21fcb9f7d831,"Keth: after reload, I still remember the old-access pressure. Repair first?",rollback=True; checkpoint=r254-choice-009; replay=880d97ab2745ea2a,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.17; flower=185.8,False,ssrm254_browser_world_v14_branch_state,34d727cffafbce2518
10,10,Routeline,Keth,choice 10: Keth/Routeline selected observe_then_followup,Wait and observe; invite later follow-up.; parsed=0.87; response=observe_then_followup,"observe, then agent follow-up; delay=2; access=0.44; trust=0.63; boundary=0.27",restore survives=True; restore_hash=5a7d95f9e4f8446d,Keth: you waited last time. A small public task is available now.,rollback=True; checkpoint=r254-choice-010; replay=65ce226543f9c75b,sound=mutate bell 2.17Hz; smell=Gate Ring branch dust; temp=0.61; wet=0.17; flower=323.3,False,ssrm254_browser_world_v14_branch_state,a9c3612a6317aeb96a
