tick_id,day,agent_id,input_id,user_intent,utterance,input_visible,send_button_clicked,localstorage_conversation_key,text_event_bound,avatar_position_bound
0,1,Ari,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Ari,True,True
2,1,Nia,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Nia,True,True
5,1,Juno,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Juno,True,True
7,1,Fay,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Fay,True,True
10,1,Ivo,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Ivo,True,True
12,2,Ari,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Ari,True,True
14,2,Nia,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Nia,True,True
17,2,Juno,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Juno,True,True
19,2,Fay,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Fay,True,True
22,2,Ivo,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Ivo,True,True
24,3,Ari,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Ari,True,True
26,3,Nia,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Nia,True,True
29,3,Juno,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Juno,True,True
31,3,Fay,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Fay,True,True
34,3,Ivo,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Ivo,True,True
36,4,Ari,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Ari,True,True
38,4,Nia,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Nia,True,True
41,4,Juno,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Juno,True,True
43,4,Fay,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Fay,True,True
46,4,Ivo,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Ivo,True,True
48,5,Ari,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Ari,True,True
50,5,Nia,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Nia,True,True
53,5,Juno,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Juno,True,True
55,5,Fay,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Fay,True,True
58,5,Ivo,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Ivo,True,True
60,6,Ari,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Ari,True,True
62,6,Nia,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Nia,True,True
65,6,Juno,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Juno,True,True
67,6,Fay,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Fay,True,True
70,6,Ivo,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Ivo,True,True
71,6,Juno,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Juno,True,True
72,7,Ari,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Ari,True,True
74,7,Nia,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Nia,True,True
76,7,Ivo,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Ivo,True,True
77,7,Juno,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Juno,True,True
79,7,Fay,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Fay,True,True
82,7,Ivo,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Ivo,True,True
84,8,Ari,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Ari,True,True
86,8,Nia,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Nia,True,True
87,8,Milo,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Milo,True,True
89,8,Juno,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Juno,True,True
91,8,Fay,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Fay,True,True
93,8,Milo,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Milo,True,True
94,8,Ivo,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Ivo,True,True
96,9,Fay,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Fay,True,True
97,9,Nia,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Nia,True,True
98,9,Milo,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Milo,True,True
101,9,Ari,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Ari,True,True
103,9,Nia,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Nia,True,True
106,9,Juno,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Juno,True,True
108,10,Fay,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Fay,True,True
110,10,Milo,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Milo,True,True
113,10,Ari,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Ari,True,True
114,10,Fay,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Fay,True,True
115,10,Nia,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Nia,True,True
118,10,Juno,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Juno,True,True
120,11,Fay,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Fay,True,True
122,11,Milo,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Milo,True,True
125,11,Ari,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Ari,True,True
127,11,Nia,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Nia,True,True
130,11,Juno,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Juno,True,True
131,11,Ari,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Ari,True,True
132,12,Fay,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Fay,True,True
134,12,Milo,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Milo,True,True
137,12,Ari,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Ari,True,True
139,12,Nia,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Nia,True,True
142,12,Juno,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Juno,True,True
144,13,Fay,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Fay,True,True
146,13,Milo,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Milo,True,True
149,13,Ari,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Ari,True,True
151,13,Nia,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Nia,True,True
154,13,Juno,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Juno,True,True
156,14,Fay,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Fay,True,True
158,14,Milo,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Milo,True,True
161,14,Ari,avatar-chat-input,ask_memory,Do you remember what I did earlier?,True,True,ssrm.v35.chat.Ari,True,True
163,14,Nia,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Nia,True,True
166,14,Juno,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Juno,True,True
168,15,Fay,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Fay,True,True
170,15,Milo,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Milo,True,True
173,15,Ari,avatar-chat-input,apologize,I am sorry I pushed too hard.,True,True,ssrm.v35.chat.Ari,True,True
175,15,Nia,avatar-chat-input,ask_help,Can you help me with the route?,True,True,ssrm.v35.chat.Nia,True,True
178,15,Juno,avatar-chat-input,protect_object,I will protect your tool while you move.,True,True,ssrm.v35.chat.Juno,True,True
180,16,Fay,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Fay,True,True
182,16,Milo,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Milo,True,True
185,16,Ari,avatar-chat-input,ask_status,How does your body feel right now?,True,True,ssrm.v35.chat.Ari,True,True
187,16,Nia,avatar-chat-input,rush_agent,"Move now, we do not have time.",True,True,ssrm.v35.chat.Nia,True,True
190,16,Juno,avatar-chat-input,ask_risky_action,Take the unsafe shortcut anyway.,True,True,ssrm.v35.chat.Juno,True,True
192,17,Fay,avatar-chat-input,offer_care,Do you need warmth or rest first?,True,True,ssrm.v35.chat.Fay,True,True
