tick_id,day,session_id,settlement_id,reload_index,task_loop_count,pathing_count,tool_event_count,inventory_delta_count,recovery_count,phrase_session_count,checksum,restored_task_loop_visible,restored_inventory_visible,restored_tool_state_visible,restored_recovery_visible,restored_phrase_session_visible,replay_exportable
0,1,session-001,moss_ward,1,1,1,1,1,1,1,7382a89c5d3f6350,True,True,True,True,True,True
1,1,session-001,glass_harbor,1,1,1,1,1,0,1,6afe1f44e9217bb8,True,True,True,True,True,True
2,1,session-001,cinder_garden,1,1,1,1,1,1,1,14367a51141efa81,True,True,True,True,True,True
3,1,session-001,lichen_bridge,1,1,1,1,1,0,1,f3c8096584507ce5,True,True,True,True,True,True
4,1,session-001,orchid_engine,1,1,1,1,1,1,1,8f4bb4daad758f90,True,True,True,True,True,True
5,1,session-001,moss_ward,2,2,2,2,2,1,2,aa7efdebbe6853ff,True,True,True,True,True,True
6,1,session-001,glass_harbor,2,2,2,2,2,1,2,562262f881190fad,True,True,True,True,True,True
7,1,session-001,cinder_garden,2,2,2,2,2,1,2,dcad7544fec693ca,True,True,True,True,True,True
8,1,session-001,lichen_bridge,2,2,2,2,2,1,2,71f6b1758e1b5f6c,True,True,True,True,True,True
9,1,session-001,orchid_engine,2,2,2,2,2,2,2,76e2088f50542221,True,True,True,True,True,True
10,1,session-001,moss_ward,3,3,3,3,3,2,3,09955bee12c46989,True,True,True,True,True,True
11,1,session-001,glass_harbor,3,3,3,3,3,1,3,31f12833297ad467,True,True,True,True,True,True
12,1,session-001,cinder_garden,3,3,3,3,3,2,3,61a9fe8e89a7052d,True,True,True,True,True,True
13,1,session-001,lichen_bridge,3,3,3,3,3,1,3,f37de9b2ac8430dc,True,True,True,True,True,True
14,1,session-001,orchid_engine,3,3,3,3,3,3,3,8441ffb639ea10f4,True,True,True,True,True,True
15,1,session-001,moss_ward,4,4,4,4,4,3,4,032b848a0427ca9c,True,True,True,True,True,True
16,1,session-001,glass_harbor,4,4,4,4,4,2,4,7286fbb7c4c3a629,True,True,True,True,True,True
17,1,session-001,cinder_garden,4,4,4,4,4,3,4,afda66005ea54540,True,True,True,True,True,True
24,2,session-001,moss_ward,5,6,6,6,6,5,6,d943ccfe5ccda0da,True,True,True,True,True,True
32,2,session-001,lichen_bridge,4,6,6,6,6,3,6,b90334cd227f253e,True,True,True,True,True,True
40,3,session-001,cinder_garden,5,8,8,8,8,5,8,d297e170341c64fc,True,True,True,True,True,True
48,3,session-001,moss_ward,6,11,11,11,11,10,11,36ebe6dbd4a363f3,True,True,True,True,True,True
56,4,session-001,orchid_engine,4,12,12,12,12,9,12,6babf89f888a443f,True,True,True,True,True,True
64,4,session-001,cinder_garden,6,13,13,13,13,8,13,3ca88bcfe55acd70,True,True,True,True,True,True
72,5,session-001,glass_harbor,5,15,15,15,15,11,15,74d8f35e718dec85,True,True,True,True,True,True
80,5,session-001,orchid_engine,5,17,17,17,17,12,17,3d93af2a241a5923,True,True,True,True,True,True
88,5,session-001,cinder_garden,7,18,18,18,18,11,18,7ce4e34ce3da2f45,True,True,True,True,True,True
96,6,session-001,glass_harbor,6,20,20,20,20,14,20,2ca97a692cf95f17,True,True,True,True,True,True
104,6,session-001,orchid_engine,6,21,21,21,21,15,21,e988a5ff7d9800a2,True,True,True,True,True,True
112,7,session-002,lichen_bridge,5,22,22,22,22,13,22,df7f0f5a9e28b637,True,True,True,True,True,True
120,7,session-002,glass_harbor,7,25,25,25,25,18,25,34ed1fef72cd64c1,True,True,True,True,True,True
128,8,session-002,moss_ward,7,27,27,27,27,20,27,d02333a5ae707ccb,True,True,True,True,True,True
136,8,session-002,lichen_bridge,6,27,27,27,27,17,27,8d9b028bf7171994,True,True,True,True,True,True
144,9,session-002,cinder_garden,8,29,29,29,29,21,29,0aba87da8a58946a,True,True,True,True,True,True
152,9,session-002,moss_ward,8,32,32,32,32,22,32,3af51845684d6949,True,True,True,True,True,True
160,9,session-002,lichen_bridge,7,32,32,32,32,20,32,82bd429f6ef8b246,True,True,True,True,True,True
168,10,session-002,cinder_garden,9,34,34,34,34,25,34,fd01806f04d0f19d,True,True,True,True,True,True
176,10,session-002,moss_ward,9,36,36,36,36,24,36,b16a73a19256c22b,True,True,True,True,True,True
184,11,session-002,orchid_engine,7,37,37,37,37,25,37,ef0d6928cca708be,True,True,True,True,True,True
192,11,session-002,cinder_garden,10,39,39,39,39,30,39,a0e578b228ba427f,True,True,True,True,True,True
200,12,session-002,glass_harbor,8,41,41,41,41,29,41,27dca823806e4f60,True,True,True,True,True,True
