tick_id,day,settlement_id,snapshot_key,sensory_packet_count,tool_claim_count,dialogue_hook_count,task_consequence_count,sensory_memory_count,checksum,restored_sensory_visible,restored_tool_claim_visible,restored_dialogue_visible,restored_queue_consequence_visible,restored_sensory_memory_visible,replay_exportable
0,1,signal,ssrm.v42.snapshot.signal.1.0,1,1,1,1,1,v42-497406,True,True,True,True,True,True
17,1,archive,ssrm.v42.snapshot.archive.1.17,3,2,2,3,0,v42-550878,True,True,True,True,True,True
18,2,orchard,ssrm.v42.snapshot.orchard.2.0,4,3,1,4,4,v42-534589,True,True,True,True,True,True
35,2,signal,ssrm.v42.snapshot.signal.2.17,6,3,5,6,3,v42-522512,True,True,True,True,True,True
36,3,repair_ring,ssrm.v42.snapshot.repair_ring.3.0,7,5,6,7,4,v42-681848,True,True,True,True,True,True
47,3,orchard,ssrm.v42.snapshot.orchard.3.11,8,6,3,8,8,v42-557494,True,True,True,True,True,True
53,3,orchard,ssrm.v42.snapshot.orchard.3.17,9,6,4,9,9,v42-560790,True,True,True,True,True,True
54,4,riverbend,ssrm.v42.snapshot.riverbend.4.0,10,4,5,10,4,v42-640779,True,True,True,True,True,True
71,4,repair_ring,ssrm.v42.snapshot.repair_ring.4.17,12,8,8,12,6,v42-734047,True,True,True,True,True,True
72,5,roofward,ssrm.v42.snapshot.roofward.5.0,13,10,7,13,13,v42-644694,True,True,True,True,True,True
89,5,riverbend,ssrm.v42.snapshot.riverbend.5.17,15,6,8,15,6,v42-665905,True,True,True,True,True,True
90,6,archive,ssrm.v42.snapshot.archive.6.0,16,12,12,16,7,v42-604684,True,True,True,True,True,True
94,6,riverbend,ssrm.v42.snapshot.riverbend.6.4,16,6,9,16,7,v42-649783,True,True,True,True,True,True
107,6,roofward,ssrm.v42.snapshot.roofward.6.17,18,13,11,18,18,v42-685101,True,True,True,True,True,True
108,7,signal,ssrm.v42.snapshot.signal.7.0,19,7,15,19,10,v42-574116,True,True,True,True,True,True
125,7,archive,ssrm.v42.snapshot.archive.7.17,21,15,15,21,9,v42-624102,True,True,True,True,True,True
