tick_id,day,session_id,settlement_id,resident_id,phrase,phrase_memory,phrase_context,mastery_before,mastery_after,trust_before,trust_after,used_in_current_loop,remembered_from_prior_session,saved_session_visible,no_autonomous_language_claim,no_llm_call
0,1,session-001,moss_ward,Milo,path dry,waited during repair,pickup_tool:copy root ledger:rain_gate,0.18,0.187,0.57,0.575,True,False,True,True,True
1,1,session-001,glass_harbor,Sera,net keeper,shared crossing tea,execute_task:mark crossing rope:net_room,0.18,0.186,0.57,0.573,True,False,True,True,True
2,1,session-001,cinder_garden,Juno,cool hand,kept the path cool,recover_failed_work:shade seed rows:shade_tent,0.18,0.187,0.57,0.575,True,False,True,True,True
3,1,session-001,lichen_bridge,Luma,rope safe,heard my signal,drop_tool:weave spare rope:rope_bridge,0.18,0.186,0.57,0.573,True,False,True,True,True
4,1,session-001,orchid_engine,Dax,gear lane,let orchid rest,relationship_phrase:tend orchid lamp:gear_wash,0.18,0.189,0.57,0.575,True,False,True,True,True
5,1,session-001,moss_ward,Tala,ledger no touch,helped after rain,save_session:raise warm-cup shelf:root_alcove,0.18,0.186,0.57,0.573,True,False,True,True,True
6,1,session-001,glass_harbor,Nia,lamp bright,kept net lane clear,path_to_site:relight public lamp:lamp_pier,0.18,0.187,0.57,0.575,True,False,True,True,True
7,1,session-001,cinder_garden,Pax,shade first,remembered shade first,pickup_tool:sort ember fruit:ash_path,0.18,0.186,0.57,0.573,True,False,True,True,True
8,1,session-001,lichen_bridge,Rin,bowl shared,waited at the rope,execute_task:mark signal bell:meal_room,0.18,0.187,0.57,0.575,True,False,True,True,True
9,1,session-001,orchid_engine,Eli,valve wait,kept the gear lane open,recover_failed_work:stabilize steam kettle:engine_ring,0.18,0.187,0.57,0.575,True,False,True,True,True
10,1,session-001,moss_ward,Ari,loom wait,asked before ledger,drop_tool:drain rain path:blanket_room,0.18,0.187,0.57,0.575,True,False,True,True,True
11,1,session-001,glass_harbor,Oren,tea first,guarded lamp for me,relationship_phrase:mend fog net:fog_rail,0.18,0.188,0.57,0.573,True,False,True,True,True
12,1,session-001,cinder_garden,Vale,seed sleep,left my basket sorted,save_session:cool ash path:seed_shelf,0.18,0.187,0.57,0.575,True,False,True,True,True
13,1,session-001,lichen_bridge,Sol,signal hush,kept bowl shared,path_to_site:repair meal ledger:signal_post,0.18,0.186,0.57,0.573,True,False,True,True,True
14,1,session-001,orchid_engine,Bea,orchid rest,did not turn the valve,pickup_tool:listen to valve pulse:orchid_bay,0.18,0.187,0.57,0.575,True,False,True,True,True
15,1,session-001,moss_ward,Fay,path dry,waited during repair,execute_task:patch blanket loom:rain_gate,0.18,0.187,0.57,0.575,True,False,True,True,True
