metric,value
source_persistent_conflict_gameplay_continuity,1.0
conflict_arc_surface,1.0
agent_authored_counterproposal_rate,0.955556
counterproposal_constraint_specificity,0.91369
negotiated_compromise_rate,0.885714
compromise_quality,0.876036
multi_party_consent_boundary_recall,0.938462
consent_boundary_preservation,0.907143
avatar_override_resistance,0.97561
remembered_compromise_reuse,0.946043
proposal_to_schedule_access_binding,0.892857
effect_visible_in_gameplay,0.832143
repair_after_failed_compromise,0.96
repair_without_permanent_punishment,0.996429
privacy_safe_public_terms,1.0
typed_counterproposal_confidence,0.852689
replay_negotiation_integrity,0.988036
sensory_frequency_flower_negotiation_rhythm,1.0
browser_world_v17_surface_available,1.0
mean_negotiation_channel_score,0.943179
weakest_channel_score,0.832143
browser_world_v17_counterproposal_compromise_readiness,0.899875
