tick,day,scene_id,agent,sound_rate_hz,movement_rate_hz,object_resonance_hz,obligation_pressure,temperature_c,wetness,comfort_delta,pain_pressure,sensory_bound_to_obligation,flower_phase
0,1,v24-scene-d01,Ori,1.2,1.12,3.0,0.08,17.108,0.1,0.12,0.02,1,93.96
1,1,v24-scene-d01,Nari,1.212,1.12,2.15,0.12,17.108,0.1,0.05,0.02,0,225.241764
2,1,v24-scene-d01,Ori,1.334,1.23,2.12,0.24,17.108,0.1,0.02,0.02,1,16.663528
3,1,v24-scene-d01,Nari,1.236,1.12,2.45,0.08,17.108,0.1,0.12,0.02,1,141.045292
4,1,v24-scene-d01,Ori,1.248,1.12,2.34,0.08,17.108,0.1,0.12,0.02,1,277.547056
5,1,v24-scene-d01,Ori,1.26,1.12,2.37,0.12,17.108,0.1,0.05,0.02,0,58.50882
6,1,v24-scene-d01,Sova,1.272,1.12,3.0,0.08,18.008,0.1,0.12,0.02,1,200.230584
7,1,v24-scene-d01,Nari,1.324,1.18,2.89,0.24,17.108,0.1,0.02,0.02,1,350.952348
8,1,v24-scene-d01,Melo,1.296,1.12,3.11,0.08,17.108,0.1,0.12,0.02,1,116.864112
9,1,v24-scene-d01,Keth,1.308,1.12,2.92,0.12,17.108,0.1,0.05,0.02,0,255.405876
10,1,v24-scene-d01,Melo,1.32,1.12,2.23,0.08,17.108,0.1,0.12,0.02,1,22.60764
11,1,v24-scene-d01,Ori,1.332,1.12,3.11,0.08,17.108,0.1,0.12,0.02,1,169.999404
12,1,v24-scene-d01,Vonn,1.344,1.18,2.37,0.24,16.608,0.24,0.02,0.02,1,313.111168
13,1,v24-scene-d01,Ori,1.356,1.12,2.15,0.12,17.108,0.1,0.05,0.02,0,77.782932
14,1,v24-scene-d01,Ori,1.368,1.12,2.34,0.08,17.108,0.1,0.12,0.02,1,214.664696
15,1,v24-scene-d01,Keth,1.38,1.12,2.56,0.08,17.108,0.1,0.12,0.02,1,354.79646
16,1,v24-scene-d01,Sova,1.502,1.23,3.0,0.32,18.008,0.1,0.05,0.02,1,160.148224
17,1,v24-scene-d01,Melo,1.404,1.12,2.92,0.12,17.108,0.1,0.05,0.02,0,277.099988
