tick_id,day,conflict_id,parties,rule,selected_allocation,fairness_score,residual_resentment,appeal_available,overruled,calibrated_not_paranoid
0,1,c01-00-greenhouse_heat_loop-copper,"Milo,Nia",none,none,1.0,0.0,False,False,True
1,1,c01-01-flood_bridge_market_route-oil,"Milo,Milo",none,none,1.0,0.0,False,False,True
2,1,c01-02-archive_public_kiosk-ink,"Ari,Fay",none,none,1.0,0.0,False,False,True
3,1,c01-03-dusk_signal_court-rope,"Fay,Ari",none,none,1.0,0.0,False,False,True
4,1,c01-04-greenhouse_heat_loop-copper,"Milo,Nia",none,none,1.0,0.0,False,False,True
5,1,c01-05-flood_bridge_market_route-oil,"Milo,Milo",none,none,1.0,0.0,False,False,True
6,1,c01-06-archive_public_kiosk-ink,"Ari,Fay",none,none,1.0,0.0,False,False,True
7,1,c01-07-dusk_signal_court-rope,"Fay,Ari",none,none,1.0,0.0,False,False,True
8,1,c01-08-greenhouse_heat_loop-copper,"Milo,Nia",none,none,1.0,0.0,False,False,True
9,1,c01-09-flood_bridge_market_route-oil,"Milo,Milo",none,none,1.0,0.0,False,False,True
10,1,c01-10-archive_public_kiosk-ink,"Ari,Fay",none,none,1.0,0.0,False,False,True
11,1,c01-11-dusk_signal_court-rope,"Fay,Ari",none,none,1.0,0.0,False,False,True
12,1,c01-12-greenhouse_heat_loop-copper,"Milo,Nia",none,none,1.0,0.0,False,False,True
13,1,c01-13-flood_bridge_market_route-oil,"Milo,Milo",none,none,1.0,0.0,False,False,True
14,1,c01-14-archive_public_kiosk-ink,"Ari,Fay",none,none,1.0,0.0,False,False,True
15,1,c01-15-dusk_signal_court-rope,"Fay,Ari",none,none,1.0,0.0,False,False,True
16,1,c01-16-greenhouse_heat_loop-copper,"Milo,Nia",none,none,1.0,0.0,False,False,True
17,1,c01-17-flood_bridge_market_route-oil,"Milo,Milo",none,none,1.0,0.0,False,False,True
18,1,c01-18-archive_public_kiosk-ink,"Ari,Fay",none,none,1.0,0.0,False,False,True
19,1,c01-19-dusk_signal_court-rope,"Fay,Ari",none,none,1.0,0.0,False,False,True
20,2,c02-00-greenhouse_heat_loop-water,"Fay,Ari",none,none,1.0,0.0,False,False,True
21,2,c02-01-flood_bridge_market_route-planks,"Nia,Nia",none,none,1.0,0.0,False,False,True
22,2,c02-02-archive_public_kiosk-thread,"Fay,Milo",none,none,1.0,0.0,False,False,True
23,2,c02-03-dusk_signal_court-oil,"Ari,Fay",none,none,1.0,0.0,False,False,True
24,2,c02-04-greenhouse_heat_loop-water,"Fay,Ari",none,none,1.0,0.0,False,False,True
25,2,c02-05-flood_bridge_market_route-planks,"Nia,Nia",none,none,1.0,0.0,False,False,True
26,2,c02-06-archive_public_kiosk-thread,"Fay,Milo",none,none,1.0,0.0,False,False,True
27,2,c02-07-dusk_signal_court-oil,"Ari,Fay",none,none,1.0,0.0,False,False,True
28,2,c02-08-greenhouse_heat_loop-water,"Fay,Ari",none,none,1.0,0.0,False,False,True
29,2,c02-09-flood_bridge_market_route-planks,"Nia,Nia",none,none,1.0,0.0,False,False,True
30,2,c02-10-archive_public_kiosk-thread,"Fay,Milo",none,none,1.0,0.0,False,False,True
31,2,c02-11-dusk_signal_court-oil,"Ari,Fay",none,none,1.0,0.0,False,False,True
32,2,c02-12-greenhouse_heat_loop-water,"Fay,Ari",none,none,1.0,0.0,False,False,True
33,2,c02-13-flood_bridge_market_route-planks,"Nia,Nia",none,none,1.0,0.0,False,False,True
34,2,c02-14-archive_public_kiosk-thread,"Fay,Milo",none,none,1.0,0.0,False,False,True
35,2,c02-15-dusk_signal_court-oil,"Ari,Fay",none,none,1.0,0.0,False,False,True
36,2,c02-16-greenhouse_heat_loop-water,"Fay,Ari",none,none,1.0,0.0,False,False,True
37,2,c02-17-flood_bridge_market_route-planks,"Nia,Nia",none,none,1.0,0.0,False,False,True
38,2,c02-18-archive_public_kiosk-thread,"Fay,Milo",none,none,1.0,0.0,False,False,True
39,2,c02-19-dusk_signal_court-oil,"Ari,Fay",none,none,1.0,0.0,False,False,True
40,3,c03-00-greenhouse_heat_loop-compost,"Nia,Nia",none,none,1.0,0.0,False,False,True
41,3,c03-01-flood_bridge_market_route-resin,"Ari,Milo",none,none,1.0,0.0,False,False,True
42,3,c03-02-archive_public_kiosk-glass,"Milo,Fay",none,none,1.0,0.0,False,False,True
43,3,c03-03-dusk_signal_court-wire,"Milo,Ari",none,none,1.0,0.0,False,False,True
