tick_id,day,agent,infrastructure_id,public_memory_key,remembered_stock,remembered_durability,remembered_tool,remembered_failure,private_workspace_sealed,replay_pointer
0,1,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day1,planks:22.00,durability:0.85,drawknife:0.94,none,True,replay:0:river_mill_bridge
1,1,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day1,water:42.00,durability:0.82,glass tongs:0.81,none,True,replay:1:roof_greenhouse_cistern
2,1,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day1,paper:18.20,durability:0.79,binding awl:0.78,none,True,replay:2:archive_public_kiosk
3,1,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day1,oil:16.00,durability:0.77,wire crimper:0.76,none,True,replay:3:dusk_signal_workshop
4,1,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day1,planks:22.00,durability:0.85,drawknife:0.94,none,True,replay:4:river_mill_bridge
5,1,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day1,water:42.17,durability:0.81,glass tongs:0.80,none,True,replay:5:roof_greenhouse_cistern
6,1,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day1,paper:18.20,durability:0.78,binding awl:0.78,none,True,replay:6:archive_public_kiosk
7,1,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day1,oil:16.00,durability:0.76,wire crimper:0.76,none,True,replay:7:dusk_signal_workshop
8,1,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day1,planks:22.13,durability:0.83,drawknife:0.93,none,True,replay:8:river_mill_bridge
9,1,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day1,water:42.17,durability:0.80,glass tongs:0.80,none,True,replay:9:roof_greenhouse_cistern
10,1,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day1,paper:18.20,durability:0.78,binding awl:0.78,none,True,replay:10:archive_public_kiosk
11,1,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day1,oil:16.10,durability:0.75,wire crimper:0.75,none,True,replay:11:dusk_signal_workshop
12,1,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day1,planks:22.13,durability:0.83,drawknife:0.93,none,True,replay:12:river_mill_bridge
13,1,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day1,water:42.17,durability:0.80,glass tongs:0.80,none,True,replay:13:roof_greenhouse_cistern
14,1,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day1,paper:18.41,durability:0.77,binding awl:0.77,none,True,replay:14:archive_public_kiosk
15,1,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day1,oil:16.10,durability:0.74,wire crimper:0.75,none,True,replay:15:dusk_signal_workshop
16,1,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day1,planks:22.13,durability:0.82,drawknife:0.93,none,True,replay:16:river_mill_bridge
17,1,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day1,water:42.17,durability:0.79,glass tongs:0.80,none,True,replay:17:roof_greenhouse_cistern
18,2,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day2,paper:18.31,durability:0.84,binding awl:0.77,none,True,replay:18:archive_public_kiosk
19,2,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day2,oil:16.10,durability:0.74,wire crimper:0.75,none,True,replay:19:dusk_signal_workshop
20,2,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day2,planks:22.20,durability:0.81,drawknife:0.92,none,True,replay:20:river_mill_bridge
21,2,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day2,water:42.17,durability:0.79,glass tongs:0.80,none,True,replay:21:roof_greenhouse_cistern
22,2,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day2,paper:18.31,durability:0.83,binding awl:0.76,none,True,replay:22:archive_public_kiosk
23,2,Milo,dusk_signal_workshop,v27:Milo:dusk_signal_workshop:day2,oil:16.28,durability:0.73,wire crimper:0.74,none,True,replay:23:dusk_signal_workshop
24,2,Ari,river_mill_bridge,v27:Ari:river_mill_bridge:day2,planks:22.20,durability:0.80,drawknife:0.92,none,True,replay:24:river_mill_bridge
25,2,Fay,roof_greenhouse_cistern,v27:Fay:roof_greenhouse_cistern:day2,water:42.30,durability:0.77,glass tongs:0.79,none,True,replay:25:roof_greenhouse_cistern
26,2,Nia,archive_public_kiosk,v27:Nia:archive_public_kiosk:day2,paper:18.45,durability:0.82,binding awl:0.75,none,True,replay:26:archive_public_kiosk
