tick,day,snapshot_id,scene_id,storage_key,stores_avatar_position,stores_inventory,stores_object_owners,stores_agent_reactions,stores_dialogue_cursor,stores_replay_cursor,snapshot_integrity
0,1,v22-snapshot-0000,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
1,1,v22-snapshot-0001,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
2,1,v22-snapshot-0002,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
3,1,v22-snapshot-0003,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
4,1,v22-snapshot-0004,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
5,1,v22-snapshot-0005,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,1,1,1,1,1.0
6,1,v22-snapshot-0006,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
7,1,v22-snapshot-0007,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,0,1,0,1,1,1,0.666667
8,1,v22-snapshot-0008,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,0,1,1,1,0.666667
9,1,v22-snapshot-0009,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,0,0,1,1,1,0.666667
10,1,v22-snapshot-0010,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
11,1,v22-snapshot-0011,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
12,1,v22-snapshot-0012,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
13,1,v22-snapshot-0013,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
14,1,v22-snapshot-0014,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
15,1,v22-snapshot-0015,v22-scene-d01,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
16,2,v22-snapshot-0016,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,0,1,1,0.666667
17,2,v22-snapshot-0017,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
18,2,v22-snapshot-0018,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
19,2,v22-snapshot-0019,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,0,0.666667
20,2,v22-snapshot-0020,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
21,2,v22-snapshot-0021,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
22,2,v22-snapshot-0022,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
23,2,v22-snapshot-0023,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
24,2,v22-snapshot-0024,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
25,2,v22-snapshot-0025,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
26,2,v22-snapshot-0026,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
27,2,v22-snapshot-0027,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
28,2,v22-snapshot-0028,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
29,2,v22-snapshot-0029,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
30,2,v22-snapshot-0030,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
31,2,v22-snapshot-0031,v22-scene-d02,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
32,3,v22-snapshot-0032,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
33,3,v22-snapshot-0033,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
34,3,v22-snapshot-0034,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
35,3,v22-snapshot-0035,v22-scene-d03,ssrm_browser_world_v22_free_move_inventory_reaction,1,1,0,1,1,1,0.833333
