seed,interpretation_id,hint_id,resident,household,local_name,resident_interpretation,trust_gate,fear_or_priority_gate,wrong_or_partial_interpretation,hidden_law_known,correct_concept_received,modern_name_used
36217,36217-AHI-001-1,36217-AHD-001,Milo,house_1,storm-thread avoidance around smoke-bound/quiet-doubt safety limit practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36217,36217-AHI-001-2,36217-AHD-001,Sera,house_2,busy-season refusal around smoke-bound/quiet-doubt safety limit practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36217,36217-AHI-001-3,36217-AHD-001,Tovan,house_3,quiet sign waiting around smoke-bound/quiet-doubt safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36217,36217-AHI-002-1,36217-AHD-002,Sera,house_1,wet counterexample note around smoke-bound/quiet-doubt schedule conflict practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36217,36217-AHI-002-2,36217-AHD-002,Tovan,house_2,dry keeping habit around smoke-bound/quiet-doubt schedule conflict practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36217,36217-AHI-002-3,36217-AHD-002,Nia,house_3,storm-thread avoidance around smoke-bound/quiet-doubt schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36231,36231-AHI-003-1,36231-AHD-003,Ari,house_3,wet counterexample note around missing-repeat/quiet-doubt safety limit practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36231,36231-AHI-003-2,36231-AHD-003,Fay,house_0,dry keeping habit around missing-repeat/quiet-doubt safety limit practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36231,36231-AHI-003-3,36231-AHD-003,Milo,house_1,storm-thread avoidance around missing-repeat/quiet-doubt safety limit practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36231,36231-AHI-004-1,36231-AHD-004,Fay,house_3,busy-season refusal around missing-repeat/quiet-doubt schedule conflict practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36231,36231-AHI-004-2,36231-AHD-004,Milo,house_0,quiet sign waiting around missing-repeat/quiet-doubt schedule conflict practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36231,36231-AHI-004-3,36231-AHD-004,Sera,house_1,wet counterexample note around missing-repeat/quiet-doubt schedule conflict practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36247,36247-AHI-005-1,36247-AHD-005,Ari,house_3,quiet sign waiting around grain pull/water-hush safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36247,36247-AHI-005-2,36247-AHD-005,Fay,house_0,wet counterexample note around grain pull/water-hush safety limit practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36247,36247-AHI-005-3,36247-AHD-005,Milo,house_1,dry keeping habit around grain pull/water-hush safety limit practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36247,36247-AHI-006-1,36247-AHD-006,Fay,house_3,storm-thread avoidance around grain pull/water-hush schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36247,36247-AHI-006-2,36247-AHD-006,Milo,house_0,busy-season refusal around grain pull/water-hush schedule conflict practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36247,36247-AHI-006-3,36247-AHD-006,Sera,house_1,quiet sign waiting around grain pull/water-hush schedule conflict practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36263,36263-AHI-007-1,36263-AHD-007,Ari,house_3,busy-season refusal around quiet sting/quiet-doubt safety limit practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36263,36263-AHI-007-2,36263-AHD-007,Fay,house_0,quiet sign waiting around quiet sting/quiet-doubt safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36263,36263-AHI-007-3,36263-AHD-007,Milo,house_1,wet counterexample note around quiet sting/quiet-doubt safety limit practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36263,36263-AHI-008-1,36263-AHD-008,Fay,house_3,dry keeping habit around quiet sting/quiet-doubt schedule conflict practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36263,36263-AHI-008-2,36263-AHD-008,Milo,house_0,storm-thread avoidance around quiet sting/quiet-doubt schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
36263,36263-AHI-008-3,36263-AHD-008,Sera,house_1,busy-season refusal around quiet sting/quiet-doubt schedule conflict practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36281,36281-AHI-009-1,36281-AHD-009,Milo,house_1,busy-season refusal around edge-shame/quiet-doubt safety limit practice,the hint can wait because roof work matters more,0.31,puts the hint aside for later,False,False,False,False
36281,36281-AHI-009-2,36281-AHD-009,Sera,house_2,quiet sign waiting around edge-shame/quiet-doubt safety limit practice,the sign should be respected before work resumes,0.46,delays and asks the campfire first,True,False,False,False
36281,36281-AHI-009-3,36281-AHD-009,Tovan,house_3,wet counterexample note around edge-shame/quiet-doubt safety limit practice,"wet scraps dull the sign, so the old story may be incomplete",0.55,asks for another small test,False,False,False,False
36281,36281-AHI-010-1,36281-AHD-010,Sera,house_1,dry keeping habit around edge-shame/quiet-doubt schedule conflict practice,dry things keep the small bite quieter and easier to repeat,0.72,accepts a limited household trial,True,False,False,False
36281,36281-AHI-010-2,36281-AHD-010,Tovan,house_2,storm-thread avoidance around edge-shame/quiet-doubt schedule conflict practice,children should stay away from dry thread after storms,0.22,refuses until an elder watches,True,False,False,False
