tick_id,settlement_id,ritual_anchor,technology_stage,practical_use,dialect_id,inherited_from_deep_time,bound_to_play_action,continuity_hash
0,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-768501
1,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-848063
2,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-533903
3,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-599800
4,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-531771
5,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-622429
6,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-879269
7,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-684690
8,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-497461
9,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-495330
10,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-709201
11,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-676547
12,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-720467
13,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-627640
14,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-636158
15,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-502884
16,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-646130
17,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-711279
18,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-779137
19,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-801450
20,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-582742
21,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-446898
22,orchard,satchel-vow-seasonal repair,water clocks,dry seed continuity,orchard-dialect-8,True,True,v38-476084
23,repair_ring,spark-distance-object blessing,kiln alloys,safe repair space,repair_ring-dialect-8,True,True,v38-764508
24,riverbend,plank-listening-avatar waiting myth,route engines,dry crossing,riverbend-dialect-8,True,True,v38-020805
25,roofward,sun-ledger-trade witness,civic observatories,herb preservation,roofward-dialect-8,True,True,v38-666455
26,archive,spool-naming-boundary asking,memory looms,signal memory,archive-dialect-8,True,True,v38-627970
27,signal,lantern-turning-child naming,signal lenses,path visibility,signal-dialect-8,True,True,v38-574294
