tick_id,day,agent_id,talk_count,recent_pattern,trust_avatar,guardedness,attachment_security,grudge_pressure,forgiveness_progress,repeated_talk_changed_behavior,behavior_summary
0,1,Ari,1,interrupt_task,0.51,0.335,0.594,0.17,0.354,False,continues task
2,1,Nia,1,interrupt_task,0.51,0.335,0.414,0.17,0.324,False,continues task
4,1,Ivo,1,give_space,0.61,0.24,0.646,0.08425,0.49,False,continues task
7,1,Fay,1,give_space,0.61,0.24,0.606,0.08285,0.53,False,continues task
9,1,Milo,1,request_owned_object,0.59,0.276,0.494,0.08565,0.413,False,continues task
11,1,Juno,1,ask_permission,0.59,0.276,0.384,0.0888,0.323,False,continues task
12,2,Ari,2,"interrupt_task,request_owned_object",0.54,0.331,0.598,0.15705,0.357,False,continues task
14,2,Nia,2,"interrupt_task,ask_help",0.525,0.331,0.418,0.1581,0.327,False,continues task
16,2,Ivo,2,"give_space,protect_object",0.66,0.2,0.682,0.0685,0.493,False,approaches after care
17,2,Juno,2,"ask_permission,ask_status",0.605,0.272,0.388,0.0776,0.326,False,continues task
19,2,Fay,2,"give_space,protect_object",0.66,0.2,0.642,0.0657,0.533,False,continues task
21,2,Milo,2,"request_owned_object,move_owned_object",0.54,0.331,0.498,0.15565,0.397,False,continues task
23,2,Juno,3,"ask_permission,ask_status,request_owned_object",0.635,0.268,0.392,0.0664,0.329,True,continues task
24,3,Ari,3,"interrupt_task,request_owned_object,ask_permission",0.57,0.327,0.602,0.1441,0.36,True,continues task
26,3,Nia,3,"interrupt_task,ask_help,offer_apology",0.575,0.291,0.422,0.1462,0.367,True,continues task
28,3,Ivo,3,"give_space,protect_object,ask_help",0.675,0.196,0.686,0.05275,0.496,True,approaches after care
31,3,Fay,3,"give_space,protect_object,ask_help",0.675,0.196,0.646,0.04855,0.536,True,continues task
33,3,Milo,3,"request_owned_object,move_owned_object,interrupt_task",0.49,0.386,0.472,0.22565,0.381,True,continues task
34,3,Ivo,4,"protect_object,ask_help,ask_permission",0.705,0.192,0.69,0.037,0.499,True,approaches after care
35,3,Juno,4,"ask_status,request_owned_object,ask_permission",0.665,0.264,0.396,0.0552,0.332,True,continues task
36,4,Ari,4,"request_owned_object,ask_permission,move_owned_object",0.52,0.382,0.606,0.2141,0.344,True,continues task
38,4,Nia,4,"ask_help,offer_apology,offer_care",0.625,0.251,0.458,0.1343,0.37,True,continues task
39,4,Milo,4,"move_owned_object,interrupt_task,protect_object",0.54,0.346,0.508,0.2113,0.384,True,continues task
40,4,Ivo,5,"ask_help,ask_permission,ask_status",0.72,0.188,0.694,0.02125,0.502,True,approaches after care
43,4,Fay,4,"protect_object,ask_help,ask_status",0.69,0.192,0.65,0.0314,0.539,True,continues task
45,4,Milo,5,"interrupt_task,protect_object,misname_agent",0.49,0.401,0.482,0.2813,0.368,True,continues task
47,4,Juno,5,"request_owned_object,ask_permission,move_owned_object",0.615,0.319,0.4,0.1252,0.316,True,continues task
48,5,Ari,5,"ask_permission,move_owned_object,interrupt_task",0.47,0.437,0.58,0.2841,0.328,True,continues task
50,5,Nia,5,"offer_apology,offer_care,give_space",0.675,0.211,0.494,0.1224,0.41,True,continues task
52,5,Ivo,6,"ask_permission,ask_status,request_owned_object",0.75,0.184,0.698,0.0055,0.505,True,approaches after care
55,5,Fay,5,"ask_help,ask_status,request_owned_object",0.72,0.188,0.654,0.01425,0.542,True,continues task
56,5,Nia,6,"offer_care,give_space,interrupt_task",0.625,0.266,0.468,0.1924,0.394,True,continues task
57,5,Milo,6,"protect_object,misname_agent,ask_permission",0.52,0.397,0.486,0.26695,0.371,True,continues task
59,5,Juno,6,"ask_permission,move_owned_object,interrupt_task",0.565,0.374,0.374,0.1952,0.3,True,continues task
60,6,Ari,6,"move_owned_object,interrupt_task,ask_help",0.485,0.433,0.584,0.27115,0.331,True,continues task
61,6,Fay,6,"ask_status,request_owned_object,offer_care",0.77,0.148,0.69,0.0,0.545,True,approaches after care
62,6,Nia,7,"give_space,interrupt_task,protect_object",0.675,0.226,0.504,0.1805,0.397,True,continues task
64,6,Ivo,7,"ask_status,request_owned_object,move_owned_object",0.7,0.239,0.702,0.0755,0.489,True,approaches after care
67,6,Fay,7,"request_owned_object,offer_care,move_owned_object",0.72,0.203,0.694,0.07,0.529,True,approaches after care
69,6,Milo,7,"misname_agent,ask_permission,request_owned_object",0.55,0.393,0.49,0.2526,0.374,True,continues task
71,6,Juno,7,"move_owned_object,interrupt_task,request_owned_object",0.595,0.37,0.378,0.184,0.303,True,continues task
72,7,Ari,7,"interrupt_task,ask_help,offer_apology",0.535,0.393,0.588,0.2582,0.371,True,continues task
74,7,Nia,8,"interrupt_task,protect_object,ask_help",0.69,0.222,0.508,0.1686,0.4,True,continues task
76,7,Ivo,8,"request_owned_object,move_owned_object,interrupt_task",0.65,0.294,0.676,0.1455,0.473,True,approaches after care
78,7,Ari,8,"ask_help,offer_apology,request_owned_object",0.565,0.389,0.592,0.24525,0.374,True,continues task
79,7,Fay,8,"offer_care,move_owned_object,interrupt_task",0.67,0.258,0.668,0.14,0.513,True,approaches after care
81,7,Milo,8,"ask_permission,request_owned_object,ask_permission",0.58,0.389,0.494,0.23825,0.377,True,continues task
83,7,Juno,8,"interrupt_task,request_owned_object,ask_permission",0.625,0.366,0.382,0.1728,0.306,True,continues task
84,8,Ari,9,"offer_apology,request_owned_object,offer_care",0.615,0.349,0.628,0.2323,0.377,True,continues task
86,8,Nia,9,"protect_object,ask_help,ask_status",0.705,0.218,0.512,0.1567,0.403,True,continues task
88,8,Ivo,9,"move_owned_object,interrupt_task,misname_agent",0.6,0.349,0.65,0.2155,0.457,True,continues task
91,8,Fay,9,"move_owned_object,interrupt_task,misname_agent",0.62,0.313,0.642,0.21,0.497,True,continues task
93,8,Milo,9,"request_owned_object,ask_permission,move_owned_object",0.53,0.444,0.498,0.30825,0.361,True,continues task
95,8,Juno,9,"request_owned_object,ask_permission,move_owned_object",0.575,0.421,0.386,0.2428,0.29,True,continues task
96,9,Ari,10,"request_owned_object,offer_care,give_space",0.665,0.309,0.664,0.21935,0.417,True,approaches after care
98,9,Nia,10,"ask_help,ask_status,request_owned_object",0.735,0.214,0.516,0.1448,0.406,True,continues task
100,9,Ivo,10,"interrupt_task,misname_agent,ask_permission",0.63,0.345,0.654,0.19975,0.46,True,continues task
101,9,Juno,10,"ask_permission,move_owned_object,ask_permission",0.605,0.417,0.39,0.2316,0.293,True,continues task
103,9,Fay,10,"interrupt_task,misname_agent,ask_permission",0.65,0.309,0.646,0.19285,0.5,True,continues task
