tick_id,day,settlement_id,resident_id,avatar_action,routine_name,room_id,routine_phase_before,routine_phase_after,progress_before,progress_after,advanced_while_avatar_idle,routine_visible,private_workspace_sealed
0,1,repair_ring,Juno,inspect_inventory,cool bench,wire bench,prepare,prepare,0.1,0.112,False,True,True
0,1,repair_ring,Pax,inspect_inventory,clip wire,bell alcove,work,work,0.13,0.142,False,True,True
0,1,repair_ring,Vale,inspect_inventory,test bell,arrival court,share,share,0.16,0.172,False,True,True
1,1,riverbend,Ari,return_object,repair crossing,plank hall,prepare,prepare,0.1,0.112,False,True,True
1,1,riverbend,Lio,return_object,trim lantern,dry ridge,work,work,0.13,0.142,False,True,True
1,1,riverbend,Cee,return_object,dry cords,arrival court,share,share,0.16,0.172,False,True,True
2,1,roofward,Fay,wait_respectfully,sort ledger,glass stair,prepare,prepare,0.1,0.135,True,True,True
2,1,roofward,Sera,wait_respectfully,clean lens,ledger loft,work,work,0.13,0.165,True,True,True
2,1,roofward,Orr,wait_respectfully,shade stairs,arrival court,share,share,0.16,0.195,True,True,True
3,1,archive,Nia,inspect_inventory,sort tags,stone stacks,prepare,prepare,0.1,0.112,False,True,True
3,1,archive,Toma,inspect_inventory,thread spool,ink niche,work,work,0.13,0.142,False,True,True
3,1,archive,Vell,inspect_inventory,seal desk,arrival court,share,share,0.16,0.172,False,True,True
4,1,signal,Milo,idle,check rope,mast base,prepare,prepare,0.1,0.135,True,True,True
4,1,signal,Ren,idle,fill lantern,lens room,work,work,0.13,0.165,True,True,True
4,1,signal,Kesh,idle,watch lens,arrival court,share,share,0.16,0.195,True,True,True
5,1,orchard,Ivo,ask_handoff,count seeds,seed lane,prepare,prepare,0.1,0.112,False,True,True
5,1,orchard,Mara,ask_handoff,trade tokens,market plank,work,work,0.13,0.142,False,True,True
5,1,orchard,Pim,ask_handoff,dry rows,arrival court,share,share,0.16,0.172,False,True,True
6,1,repair_ring,Juno,refuse_handoff,cool bench,wire bench,prepare,prepare,0.112,0.124,False,True,True
6,1,repair_ring,Pax,refuse_handoff,clip wire,bell alcove,work,work,0.142,0.154,False,True,True
6,1,repair_ring,Vale,refuse_handoff,test bell,arrival court,share,share,0.172,0.184,False,True,True
7,1,riverbend,Ari,idle,repair crossing,plank hall,prepare,prepare,0.112,0.147,True,True,True
7,1,riverbend,Lio,idle,trim lantern,dry ridge,work,work,0.142,0.177,True,True,True
7,1,riverbend,Cee,idle,dry cords,arrival court,share,share,0.172,0.207,True,True,True
8,1,roofward,Fay,ask_handoff,sort ledger,glass stair,prepare,prepare,0.135,0.147,False,True,True
8,1,roofward,Sera,ask_handoff,clean lens,ledger loft,work,work,0.165,0.177,False,True,True
8,1,roofward,Orr,ask_handoff,shade stairs,arrival court,share,share,0.195,0.207,False,True,True
9,1,archive,Nia,refuse_handoff,sort tags,stone stacks,prepare,prepare,0.112,0.124,False,True,True
9,1,archive,Toma,refuse_handoff,thread spool,ink niche,work,work,0.142,0.154,False,True,True
9,1,archive,Vell,refuse_handoff,seal desk,arrival court,share,share,0.172,0.184,False,True,True
10,1,signal,Milo,return_object,check rope,mast base,prepare,prepare,0.135,0.147,False,True,True
10,1,signal,Ren,return_object,fill lantern,lens room,work,work,0.165,0.177,False,True,True
10,1,signal,Kesh,return_object,watch lens,arrival court,share,share,0.195,0.207,False,True,True
11,1,orchard,Ivo,wait_respectfully,count seeds,seed lane,prepare,prepare,0.112,0.147,True,True,True
11,1,orchard,Mara,wait_respectfully,trade tokens,market plank,work,work,0.142,0.177,True,True,True
11,1,orchard,Pim,wait_respectfully,dry rows,arrival court,share,share,0.172,0.207,True,True,True
12,1,repair_ring,Juno,inspect_inventory,cool bench,wire bench,prepare,prepare,0.124,0.136,False,True,True
12,1,repair_ring,Pax,inspect_inventory,clip wire,bell alcove,work,work,0.154,0.166,False,True,True
12,1,repair_ring,Vale,inspect_inventory,test bell,arrival court,share,share,0.184,0.196,False,True,True
13,1,riverbend,Ari,return_object,repair crossing,plank hall,prepare,prepare,0.147,0.159,False,True,True
13,1,riverbend,Lio,return_object,trim lantern,dry ridge,work,work,0.177,0.189,False,True,True
13,1,riverbend,Cee,return_object,dry cords,arrival court,share,share,0.207,0.219,False,True,True
14,1,roofward,Fay,wait_respectfully,sort ledger,glass stair,prepare,prepare,0.147,0.182,True,True,True
14,1,roofward,Sera,wait_respectfully,clean lens,ledger loft,work,work,0.177,0.212,True,True,True
14,1,roofward,Orr,wait_respectfully,shade stairs,arrival court,share,share,0.207,0.242,True,True,True
15,1,archive,Nia,inspect_inventory,sort tags,stone stacks,prepare,prepare,0.124,0.136,False,True,True
15,1,archive,Toma,inspect_inventory,thread spool,ink niche,work,work,0.154,0.166,False,True,True
15,1,archive,Vell,inspect_inventory,seal desk,arrival court,share,share,0.184,0.196,False,True,True
16,1,signal,Milo,idle,check rope,mast base,prepare,prepare,0.147,0.182,True,True,True
16,1,signal,Ren,idle,fill lantern,lens room,work,work,0.177,0.212,True,True,True
16,1,signal,Kesh,idle,watch lens,arrival court,share,share,0.207,0.242,True,True,True
17,1,orchard,Ivo,ask_handoff,count seeds,seed lane,prepare,prepare,0.147,0.159,False,True,True
17,1,orchard,Mara,ask_handoff,trade tokens,market plank,work,work,0.177,0.189,False,True,True
17,1,orchard,Pim,ask_handoff,dry rows,arrival court,share,share,0.207,0.219,False,True,True
