tick_id,day,route_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_control
0,1,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
1,1,roofward_archive,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
2,1,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
3,1,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
4,1,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
5,1,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
6,1,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
7,1,roofward_archive,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
8,1,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
9,1,signal_orchard,direct route glow,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
10,1,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
11,1,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
12,1,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
13,1,roofward_archive,direct route glow,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
14,1,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
15,1,signal_orchard,direct route glow,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
16,2,orchard_riverbend,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
17,2,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
18,2,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
19,2,roofward_archive,direct route glow,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
20,2,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,flower-node,True
21,2,signal_orchard,highlighted detour path,control click,oil and paper,mild route air,wet crossing,careful planning posture,control-pulse,True
22,2,orchard_riverbend,direct route glow,control click,wet rope,mild route air,wet crossing,careful planning posture,control-pulse,True
23,2,central_repair_ring,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
24,2,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,flower-node,True
25,2,roofward_archive,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
26,2,archive_signal,direct route glow,map room hum,oil and paper,mild route air,dry boards,watchful route stance,ambient-rate,True
27,2,signal_orchard,highlighted detour path,map room hum,oil and paper,mild route air,wet crossing,watchful route stance,ambient-rate,True
28,2,orchard_riverbend,highlighted detour path,control click,wet rope,mild route air,wet crossing,careful planning posture,flower-node,True
29,2,central_repair_ring,highlighted detour path,control click,dust and herbs,mild route air,dry boards,careful planning posture,control-pulse,True
30,2,riverbend_roofward,direct route glow,map room hum,wet rope,mild route air,wet crossing,watchful route stance,ambient-rate,True
31,2,roofward_archive,highlighted detour path,map room hum,dust and herbs,mild route air,dry boards,watchful route stance,ambient-rate,True
