seed,case_type,frame_reward,recurrent_reward,recurrent_gain_over_frame,tool_ablation_loss,social_ablation_loss,continuity_ablation_loss,attention_ablation_loss,recurrent_action_accuracy,supports_no_leak_bridge,verdict
20260615,control,112.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,True,control_rejects_extra_state
20260615,single_tool,66.04444444444445,112.0,45.95555555555555,45.95555555555555,0.0,0.0,0.0,1.0,True,tool_channel_bridge
20260615,single_social,18.0,112.0,94.0,0.0,94.0,0.0,0.0,1.0,True,social_channel_bridge
20260615,single_continuity,18.0,112.0,94.0,0.0,0.0,94.0,0.0,1.0,True,continuity_channel_bridge
20260615,integrated_tool,73.0,128.0,55.0,55.0,0.0,0.0,98.0,1.0,True,randomized_tool_priority_bridge
20260615,integrated_social,18.0,128.0,110.0,0.0,60.43333333333334,0.0,16.33333333333333,1.0,False,randomized_social_priority_unclear
20260615,integrated_continuity,18.0,128.0,110.0,0.0,0.0,77.78571428571428,70.0,1.0,True,randomized_continuity_priority_bridge
20260616,control,112.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,True,control_rejects_extra_state
20260616,single_tool,66.04444444444445,112.0,45.95555555555555,45.95555555555555,0.0,0.0,0.0,1.0,True,tool_channel_bridge
20260616,single_social,18.0,112.0,94.0,0.0,94.0,0.0,0.0,1.0,True,social_channel_bridge
20260616,single_continuity,18.0,112.0,94.0,0.0,0.0,94.0,0.0,1.0,True,continuity_channel_bridge
20260616,integrated_tool,82.16666666666667,128.0,45.83333333333333,45.83333333333333,0.0,0.0,86.56666666666666,1.0,True,randomized_tool_priority_bridge
20260616,integrated_social,18.0,128.0,110.0,0.0,63.7,0.0,62.06666666666666,1.0,True,randomized_social_priority_bridge
20260616,integrated_continuity,18.0,128.0,110.0,0.0,0.0,54.46428571428571,26.25,1.0,True,randomized_continuity_priority_bridge
20260617,control,112.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,True,control_rejects_extra_state
20260617,single_tool,57.68888888888889,112.0,54.31111111111111,54.31111111111111,0.0,0.0,0.0,1.0,True,tool_channel_bridge
20260617,single_social,18.0,112.0,94.0,0.0,94.0,0.0,0.0,1.0,True,social_channel_bridge
20260617,single_continuity,18.0,112.0,94.0,0.0,0.0,94.0,0.0,1.0,True,continuity_channel_bridge
20260617,integrated_tool,76.66666666666667,128.0,51.33333333333333,51.33333333333333,0.0,0.0,86.56666666666666,1.0,True,randomized_tool_priority_bridge
20260617,integrated_social,18.0,128.0,110.0,0.0,44.099999999999994,0.0,71.86666666666667,1.0,True,randomized_social_priority_bridge
20260617,integrated_continuity,18.0,128.0,110.0,0.0,0.0,69.07142857142857,28.0,1.0,True,randomized_continuity_priority_bridge
20260618,control,112.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,True,control_rejects_extra_state
20260618,single_tool,76.4888888888889,112.0,35.511111111111106,35.511111111111106,0.0,0.0,0.0,1.0,True,tool_channel_bridge
20260618,single_social,18.0,112.0,94.0,0.0,94.0,0.0,0.0,1.0,True,social_channel_bridge
20260618,single_continuity,18.0,112.0,94.0,0.0,0.0,94.0,0.0,1.0,True,continuity_channel_bridge
20260618,integrated_tool,74.83333333333333,128.0,53.16666666666667,53.16666666666667,0.0,0.0,98.0,1.0,True,randomized_tool_priority_bridge
20260618,integrated_social,18.0,128.0,110.0,0.0,52.266666666666666,0.0,49.0,1.0,True,randomized_social_priority_bridge
20260618,integrated_continuity,18.0,128.0,110.0,0.0,0.0,45.5,43.75,1.0,True,randomized_continuity_priority_bridge
20260619,control,112.0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,True,control_rejects_extra_state
20260619,single_tool,84.84444444444445,112.0,27.15555555555555,27.15555555555555,0.0,0.0,0.0,1.0,True,tool_channel_bridge
20260619,single_social,18.0,112.0,94.0,0.0,94.0,0.0,0.0,1.0,True,social_channel_bridge
20260619,single_continuity,18.0,112.0,94.0,0.0,0.0,94.0,0.0,1.0,True,continuity_channel_bridge
20260619,integrated_tool,82.16666666666667,128.0,45.83333333333333,45.83333333333333,0.0,0.0,83.3,1.0,True,randomized_tool_priority_bridge
20260619,integrated_social,18.0,128.0,110.0,0.0,65.33333333333334,0.0,24.900000000000006,1.0,True,randomized_social_priority_bridge
20260619,integrated_continuity,18.0,128.0,110.0,0.0,0.0,52.5,43.96428571428571,1.0,True,randomized_continuity_priority_bridge
