tick_id,day,agent,route_id,public_memory_key,remembered_dialogue_choice,remembered_branch_action,remembered_snapshot,remembered_body_language,remembered_recovery,private_workspace_sealed,replay_pointer
0,1,Ari,riverbend_roofward,v32:Ari:riverbend_roofward:day1,none,merge=False;rollback=False;branch=river ford,snap:riverbend_roofward:v2:local,watchful neutral stance,0.64,True,replay:0:riverbend_roofward
1,1,Nia,roofward_archive,v32:Nia:roofward_archive:day1,ask to keep direct route,merge=False;rollback=False;branch=glass stair,snap:roofward_archive:v2:shared,watchful neutral stance,0.63,True,replay:1:roofward_archive
2,1,Nia,archive_signal,v32:Nia:archive_signal:day1,ask to keep direct route,merge=True;rollback=True;branch=paper lane,snap:archive_signal:v2:shared,relieved reset stance,0.64,True,replay:2:archive_signal
3,1,Ivo,signal_orchard,v32:Ivo:signal_orchard:day1,none,merge=False;rollback=False;branch=dusk road,snap:signal_orchard:v2:shared,watchful neutral stance,0.58,True,replay:3:signal_orchard
4,1,Ivo,orchard_riverbend,v32:Ivo:orchard_riverbend:day1,ask to keep direct route,merge=False;rollback=False;branch=fen track,snap:orchard_riverbend:v1:local,watchful neutral stance,0.57,True,replay:4:orchard_riverbend
5,1,Pax,central_repair_ring,v32:Pax:central_repair_ring:day1,ask to keep direct route,merge=False;rollback=True;branch=inner repair yard,snap:central_repair_ring:v2:local,relieved reset stance,0.56,True,replay:5:central_repair_ring
6,1,Ari,riverbend_roofward,v32:Ari:riverbend_roofward:day1,none,merge=True;rollback=False;branch=orchard ridge detour,snap:riverbend_roofward:v3:shared,watchful neutral stance,0.65,True,replay:6:riverbend_roofward
7,1,Nia,roofward_archive,v32:Nia:roofward_archive:day1,none,merge=False;rollback=False;branch=glass stair,snap:roofward_archive:v3:shared,watchful neutral stance,0.64,True,replay:7:roofward_archive
8,1,Nia,archive_signal,v32:Nia:archive_signal:day1,ask to keep direct route,merge=False;rollback=False;branch=paper lane,snap:archive_signal:v2:local,watchful neutral stance,0.65,True,replay:8:archive_signal
9,1,Ivo,signal_orchard,v32:Ivo:signal_orchard:day1,none,merge=False;rollback=False;branch=dusk road,snap:signal_orchard:v2:local,watchful neutral stance,0.58,True,replay:9:signal_orchard
10,1,Ivo,orchard_riverbend,v32:Ivo:orchard_riverbend:day1,none,merge=True;rollback=False;branch=market plank route,snap:orchard_riverbend:v2:local,watchful neutral stance,0.58,True,replay:10:orchard_riverbend
11,1,Pax,central_repair_ring,v32:Pax:central_repair_ring:day1,ask to keep direct route,merge=False;rollback=False;branch=inner repair yard,snap:central_repair_ring:v3:shared,watchful neutral stance,0.57,True,replay:11:central_repair_ring
12,1,Ari,riverbend_roofward,v32:Ari:riverbend_roofward:day1,ask to merge detour,merge=True;rollback=False;branch=river ford,snap:riverbend_roofward:v4:shared,watchful neutral stance,0.68,True,replay:12:riverbend_roofward
13,1,Nia,roofward_archive,v32:Nia:roofward_archive:day1,none,merge=False;rollback=False;branch=glass stair,snap:roofward_archive:v4:shared,watchful neutral stance,0.64,True,replay:13:roofward_archive
14,2,Nia,archive_signal,v32:Nia:archive_signal:day2,none,merge=False;rollback=False;branch=paper lane,snap:archive_signal:v3:shared,watchful neutral stance,0.65,True,replay:14:archive_signal
15,2,Ivo,signal_orchard,v32:Ivo:signal_orchard:day2,ask to keep direct route,merge=False;rollback=False;branch=dusk road,snap:signal_orchard:v2:local,watchful neutral stance,0.59,True,replay:15:signal_orchard
16,2,Ivo,orchard_riverbend,v32:Ivo:orchard_riverbend:day2,none,merge=True;rollback=False;branch=fen track,snap:orchard_riverbend:v3:shared,watchful neutral stance,0.60,True,replay:16:orchard_riverbend
17,2,Pax,central_repair_ring,v32:Pax:central_repair_ring:day2,none,merge=False;rollback=False;branch=inner repair yard,snap:central_repair_ring:v4:shared,watchful neutral stance,0.58,True,replay:17:central_repair_ring
18,2,Ari,riverbend_roofward,v32:Ari:riverbend_roofward:day2,ask to keep direct route,merge=False;rollback=False;branch=river ford,snap:riverbend_roofward:v4:local,watchful neutral stance,0.69,True,replay:18:riverbend_roofward
19,2,Nia,roofward_archive,v32:Nia:roofward_archive:day2,none,merge=False;rollback=False;branch=glass stair,snap:roofward_archive:v4:local,watchful neutral stance,0.64,True,replay:19:roofward_archive
20,2,Nia,archive_signal,v32:Nia:archive_signal:day2,none,merge=True;rollback=False;branch=stone kiosk path,snap:archive_signal:v4:shared,watchful neutral stance,0.67,True,replay:20:archive_signal
