epoch_id,simulated_year,settlement_id,craft_domain,technology_stage,tool_name,apprentice_lineage_depth,material_source,failure_memory,practical_use,energy_budget,bounded_technology
0,0,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,2,moss fiber,year 0 cloak weaving failure changed training,supports root cakes,0.246612,True
1,0,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,2,lamp oil,year 0 net knots failure changed training,supports kelp cord,0.247153,True
2,0,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,2,cool stone,year 0 ash ceramics failure changed training,supports shade poles,0.247694,True
3,0,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,2,lichen paste,year 0 rope trusses failure changed training,supports signal bells,0.248235,True
4,0,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,2,valve ore,year 0 orchid lamps failure changed training,supports orchid lamps,0.248776,True
5,5,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,2,moss fiber,year 0 cloak weaving failure changed training,supports root cakes,0.247153,True
6,5,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,2,lamp oil,year 0 net knots failure changed training,supports kelp cord,0.247694,True
7,5,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,2,cool stone,year 0 ash ceramics failure changed training,supports shade poles,0.248235,True
8,5,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,2,lichen paste,year 0 rope trusses failure changed training,supports signal bells,0.248776,True
9,5,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,2,valve ore,year 0 orchid lamps failure changed training,supports orchid lamps,0.249318,True
10,10,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,2,moss fiber,year 0 cloak weaving failure changed training,supports root cakes,0.247694,True
11,10,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,2,lamp oil,year 0 net knots failure changed training,supports kelp cord,0.248235,True
12,10,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,2,cool stone,year 0 ash ceramics failure changed training,supports shade poles,0.248776,True
13,10,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,2,lichen paste,year 0 rope trusses failure changed training,supports signal bells,0.249318,True
14,10,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,2,valve ore,year 0 orchid lamps failure changed training,supports orchid lamps,0.249859,True
15,15,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,2,moss fiber,year 0 cloak weaving failure changed training,supports root cakes,0.248235,True
16,15,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,2,lamp oil,year 0 net knots failure changed training,supports kelp cord,0.248776,True
17,15,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,2,cool stone,year 0 ash ceramics failure changed training,supports shade poles,0.249318,True
18,15,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,2,lichen paste,year 0 rope trusses failure changed training,supports signal bells,0.249859,True
19,15,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,2,valve ore,year 0 orchid lamps failure changed training,supports orchid lamps,0.2412,True
20,20,moss_ward,cloak weaving,1,cloak weaving stage-1 moss fiber tool,2,moss fiber,year 5 cloak weaving failure changed training,supports root cakes,0.248776,True
21,20,glass_harbor,net knots,1,net knots stage-1 lamp oil tool,2,lamp oil,year 5 net knots failure changed training,supports kelp cord,0.249318,True
22,20,cinder_garden,ash ceramics,1,ash ceramics stage-1 cool stone tool,2,cool stone,year 5 ash ceramics failure changed training,supports shade poles,0.249859,True
23,20,lichen_bridge,rope trusses,1,rope trusses stage-1 lichen paste tool,2,lichen paste,year 5 rope trusses failure changed training,supports signal bells,0.2412,True
24,20,orchid_engine,orchid lamps,1,orchid lamps stage-1 valve ore tool,2,valve ore,year 5 orchid lamps failure changed training,supports orchid lamps,0.241741,True
25,25,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,3,rain clay,year 10 rain jar firing failure changed training,supports jar seals,0.247318,True
26,25,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,3,kelp fiber,year 10 salt cisterns failure changed training,supports salt tea,0.247859,True
27,25,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,3,ember fruit,year 10 seed calendars failure changed training,supports cool bowls,0.2392,True
28,25,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,3,rope reed,year 10 signal bells failure changed training,supports lichen soup,0.239741,True
29,25,orchid_engine,gear washing,1,gear washing stage-1 steam water tool,3,steam water,year 10 gear washing failure changed training,supports steam tea,0.240282,True
30,30,moss_ward,rain jar firing,1,rain jar firing stage-1 rain clay tool,3,rain clay,year 15 rain jar firing failure changed training,supports jar seals,0.247859,True
31,30,glass_harbor,salt cisterns,1,salt cisterns stage-1 kelp fiber tool,3,kelp fiber,year 15 salt cisterns failure changed training,supports salt tea,0.2392,True
32,30,cinder_garden,seed calendars,1,seed calendars stage-1 ember fruit tool,3,ember fruit,year 15 seed calendars failure changed training,supports cool bowls,0.239741,True
33,30,lichen_bridge,signal bells,1,signal bells stage-1 rope reed tool,3,rope reed,year 15 signal bells failure changed training,supports lichen soup,0.240282,True
