tick_id,day,settlement_id,resident_id,object_id,default_state,forgiveness_state,forgiveness_ceiling,trust_before,trust_after,resentment_before,resentment_after,gaze_keyframes,posture_keyframes,gesture_keyframes,visible_limit,no_forced_forgiveness,partial_repair_only
0,1,roofward,Sera,herb ledger,current,repairing,0.4676,0.62,0.63,0.07,0.058,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
4,1,repair_ring,Pax,copper wire,current,observed,0.47,0.65,0.65,0.07,0.07,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
8,1,signal,Ren,oil lantern,current,repairing,0.473,0.65,0.66,0.07,0.058,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
11,1,riverbend,Ari,cedar plank,current,repairing,0.473,0.65,0.66,0.07,0.058,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
12,1,roofward,Sera,herb ledger,current,observed,0.46868,0.636,0.636,0.058,0.058,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
16,1,repair_ring,Pax,copper wire,current,repairing,0.473,0.65,0.66,0.07,0.058,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
20,2,orchard,Ivo,seed satchel,current,observed,0.47,0.65,0.65,0.07,0.07,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
24,2,archive,Nia,signal spool,current,observed,0.4708,0.65,0.65,0.062,0.062,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
25,2,signal,Ren,oil lantern,current,repairing,0.47528,0.62,0.63,0.058,0.046,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
28,2,riverbend,Ari,cedar plank,current,repairing,0.47608,0.65,0.66,0.05,0.038,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
32,2,orchard,Ivo,seed satchel,current,observed,0.4708,0.65,0.65,0.062,0.062,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
33,2,repair_ring,Pax,copper wire,current,repairing,0.47528,0.62,0.63,0.058,0.046,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
36,3,signal,Oda,wind wrap,current,observed,0.46946,0.666,0.666,0.07,0.07,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
40,3,roofward,Bex,shade cloth,current,observed,0.47,0.644,0.644,0.07,0.07,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
42,3,signal,Ren,oil lantern,current,repairing,0.47594,0.647,0.657,0.046,0.034,object>borrower>witness,guarded>neutral>half-open,accept-return>small-nod>resume,True,True,True
44,3,repair_ring,Wren,cool cloth,current,observed,0.46406,0.666,0.666,0.07,0.07,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
