mutation_id,choice_id,simulated_day,lineage,agent,selected_branch_label,schedule_state_after,access_level_after,trust_after,boundary_pressure_after,welfare_note_after,agent_followup_due_day,local_storage_key,stored_state_json,mutation_hash
1,1,43,Hearthline,Sova,limited_access,limited public access accepted; delay=10,0.4904,0.6576,0.2549,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4904, ""agent"": ""Sova"", ""boundary"": 0.2549, ""branch"": ""limited_access"", ""choice_id"": 1, ""followup_due_day"": 3, ""lineage"": ""Hearthline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6576}",57b2df5549792cbf
2,2,43,Hearthline,Sova,repair_first_access,repair before access; delay=18,0.4734,0.6736,0.2449,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4734, ""agent"": ""Sova"", ""boundary"": 0.2449, ""branch"": ""repair_first_access"", ""choice_id"": 2, ""followup_due_day"": 3, ""lineage"": ""Hearthline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6736}",3bf4d1ecd419c469
3,3,43,Hearthline,Sova,summary_then_decide,"summary first, defer access; delay=6",0.4554,0.6436,0.2629,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4554, ""agent"": ""Sova"", ""boundary"": 0.2629, ""branch"": ""summary_then_decide"", ""choice_id"": 3, ""followup_due_day"": 3, ""lineage"": ""Hearthline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6436}",fbed72cdf0f2e3ff
4,4,43,Hearthline,Sova,blocked_until_repair,old access blocked until repair; delay=36,0.3904,0.5836,0.3389,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3904, ""agent"": ""Sova"", ""boundary"": 0.3389, ""branch"": ""blocked_until_repair"", ""choice_id"": 4, ""followup_due_day"": 3, ""lineage"": ""Hearthline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5836}",5bab16b79eb5f62f
5,5,43,Hearthline,Sova,observe_then_followup,"observe, then agent follow-up; delay=2",0.4454,0.6396,0.2709,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4454, ""agent"": ""Sova"", ""boundary"": 0.2709, ""branch"": ""observe_then_followup"", ""choice_id"": 5, ""followup_due_day"": 3, ""lineage"": ""Hearthline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6396}",d3917b0cab2594fc
6,6,43,Routeline,Keth,limited_access,limited public access accepted; delay=10,0.4896,0.6456,0.2561,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4896, ""agent"": ""Keth"", ""boundary"": 0.2561, ""branch"": ""limited_access"", ""choice_id"": 6, ""followup_due_day"": 3, ""lineage"": ""Routeline"", ""reentry_id"": 1, ""schedule"": ""limited public access accepted; delay=10"", ""trust"": 0.6456}",03643c0bb441e40c
7,7,43,Routeline,Keth,repair_first_access,repair before access; delay=18,0.4726,0.6616,0.2461,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4726, ""agent"": ""Keth"", ""boundary"": 0.2461, ""branch"": ""repair_first_access"", ""choice_id"": 7, ""followup_due_day"": 3, ""lineage"": ""Routeline"", ""reentry_id"": 1, ""schedule"": ""repair before access; delay=18"", ""trust"": 0.6616}",4675892df18d5f01
8,8,43,Routeline,Keth,summary_then_decide,"summary first, defer access; delay=6",0.4546,0.6316,0.2641,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4546, ""agent"": ""Keth"", ""boundary"": 0.2641, ""branch"": ""summary_then_decide"", ""choice_id"": 8, ""followup_due_day"": 3, ""lineage"": ""Routeline"", ""reentry_id"": 1, ""schedule"": ""summary first, defer access; delay=6"", ""trust"": 0.6316}",39e6f3ff21422600
9,9,43,Routeline,Keth,blocked_until_repair,old access blocked until repair; delay=36,0.3896,0.5716,0.3401,boundary pressure recorded; repair path required,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.3896, ""agent"": ""Keth"", ""boundary"": 0.3401, ""branch"": ""blocked_until_repair"", ""choice_id"": 9, ""followup_due_day"": 3, ""lineage"": ""Routeline"", ""reentry_id"": 1, ""schedule"": ""old access blocked until repair; delay=36"", ""trust"": 0.5716}",e3bb9e5e1c06f823
10,10,43,Routeline,Keth,observe_then_followup,"observe, then agent follow-up; delay=2",0.4446,0.6276,0.2721,follow-up remains bounded and recoverable,3,ssrm254_browser_world_v14_branch_state,"{""access"": 0.4446, ""agent"": ""Keth"", ""boundary"": 0.2721, ""branch"": ""observe_then_followup"", ""choice_id"": 10, ""followup_due_day"": 3, ""lineage"": ""Routeline"", ""reentry_id"": 1, ""schedule"": ""observe, then agent follow-up; delay=2"", ""trust"": 0.6276}",c4189d3e8c070caa
