step_id,action,expected_evidence,proves,required
MP-01,Start a local server from the repo root with python3 -m http.server 8765 --bind 127.0.0.1.,Primary demo launcher opens at the localhost URL.,reviewers have one stable URL-style entrypoint instead of hunting report artifacts,True
MP-02,Open the primary demo launcher and read the boundary before launching.,Boundary says deterministic browser-local shell and no consciousness/LLM/product claim.,the no-overclaim boundary is visible before play,True
MP-03,Launch a clean session using the Clean demo button.,The maintained v61 shell opens with ?reset=1 and a primary-demo source tag.,"the launcher targets the single maintained shell, not a forked simulation",True
MP-04,Enter the world and move at least twice.,Room/status fields update and replay rows increase.,arrival and movement remain usable through the primary path,True
MP-05,"Talk through the bounded phrase control, then ask schedule.",Resident memory/schedule fields update without open-ended chat claims.,bounded conversation and resident schedule inspection are still on the same surface,True
MP-06,Borrow and return the awning tool.,"Debt increases, then returns to zero while trust repairs partially.",visible consequence and non-magical trust repair are observable,True
MP-07,"Wait offscreen, then inspect schedule/progress again.",Progress changes while the avatar is idle/absent.,offscreen life is visible in the primary shell,True
MP-08,"Save, move/change state, then restore.",Saved avatar/resident values return after a deliberate post-save mutation and restore.,local persistence and real rollback are part of the playable loop,True
MP-09,Run the built-in playtest checklist.,Checklist reports 10 checks and all pass.,the internal QA hooks still cover the maintained tasks,True
MP-10,Run state-boundary and save/restore smoke hooks.,Both hook rows pass and no private workspace/LLM keys appear in public trace.,traceability remains bounded and inspectable,True
MP-11,Export replay from the UI.,A prepared replay export link appears and export bytes are nonzero.,review/debug evidence can be captured without relying on blocked downloads,True
MP-12,"Close the shell, reopen the primary launcher, then use Resume demo.",The resumed shell keeps persisted world state unless Clean demo is used.,leave/return continuity is part of the manual review path,True
