tick_id,day,agent,region_id,public_memory_key,remembered_supply,remembered_season,remembered_guild,remembered_apprentice,remembered_collapse,private_workspace_sealed,replay_pointer
0,1,Ari,riverbend,v28:Ari:riverbend:day1,riverbend->archive_quarter:thread:0.33,spring_rain,Bridgewright Guild:0.18,Toma:0.22,stable,True,replay:0:riverbend
1,1,Fay,roofward,v28:Fay:roofward:day1,roofward->signal_ridge:herbs:0.43,spring_rain,Glassgarden Guild:0.21,Lio:0.25,stable,True,replay:1:roofward
2,1,Nia,archive_quarter,v28:Nia:archive_quarter:day1,archive_quarter->orchard_fen:paper:0.33,spring_rain,Index Guild:0.18,Sera:0.28,stable,True,replay:2:archive_quarter
3,1,Milo,signal_ridge,v28:Milo:signal_ridge:day1,signal_ridge->riverbend:oil:0.43,spring_rain,Signal Guild:0.29,Ren:0.30,stable,True,replay:3:signal_ridge
4,1,Ivo,orchard_fen,v28:Ivo:orchard_fen:day1,orchard_fen->roofward:seeds:0.33,spring_rain,Seed Guild:0.32,Mara:0.32,stable,True,replay:4:orchard_fen
5,1,Ari,riverbend,v28:Ari:riverbend:day1,riverbend->archive_quarter:planks:0.38,spring_rain,Bridgewright Guild:0.18,Toma:0.22,stable,True,replay:5:riverbend
6,1,Fay,roofward,v28:Fay:roofward:day1,roofward->signal_ridge:wire:0.28,spring_rain,Glassgarden Guild:0.21,Lio:0.25,stable,True,replay:6:roofward
7,1,Nia,archive_quarter,v28:Nia:archive_quarter:day1,archive_quarter->orchard_fen:paper:0.38,spring_rain,Index Guild:0.10,Sera:0.28,stable,True,replay:7:archive_quarter
8,1,Milo,signal_ridge,v28:Milo:signal_ridge:day1,signal_ridge->riverbend:oil:0.28,spring_rain,Signal Guild:0.29,Ren:0.31,stable,True,replay:8:signal_ridge
9,1,Ivo,orchard_fen,v28:Ivo:orchard_fen:day1,orchard_fen->roofward:water:0.38,spring_rain,Seed Guild:0.32,Mara:0.32,stable,True,replay:9:orchard_fen
10,1,Ari,riverbend,v28:Ari:riverbend:day1,riverbend->archive_quarter:planks:0.43,spring_rain,Bridgewright Guild:0.18,Toma:0.23,stable,True,replay:10:riverbend
11,1,Fay,roofward,v28:Fay:roofward:day1,roofward->signal_ridge:herbs:0.33,spring_rain,Glassgarden Guild:0.21,Lio:0.25,stable,True,replay:11:roofward
12,1,Nia,archive_quarter,v28:Nia:archive_quarter:day1,archive_quarter->orchard_fen:planks:0.43,spring_rain,Index Guild:0.03,Sera:0.28,stable,True,replay:12:archive_quarter
13,1,Milo,signal_ridge,v28:Milo:signal_ridge:day1,signal_ridge->riverbend:oil:0.33,spring_rain,Signal Guild:0.29,Ren:0.31,stable,True,replay:13:signal_ridge
14,1,Ivo,orchard_fen,v28:Ivo:orchard_fen:day1,orchard_fen->roofward:seeds:0.43,spring_rain,Seed Guild:0.32,Mara:0.33,stable,True,replay:14:orchard_fen
15,1,Ari,riverbend,v28:Ari:riverbend:day1,riverbend->archive_quarter:thread:0.28,spring_rain,Bridgewright Guild:0.11,Toma:0.23,stable,True,replay:15:riverbend
16,2,Fay,roofward,v28:Fay:roofward:day2,roofward->archive_quarter:thread:0.43,spring_rain,Glassgarden Guild:0.21,Lio:0.25,stable,True,replay:16:roofward
17,2,Nia,archive_quarter,v28:Nia:archive_quarter:day2,archive_quarter->signal_ridge:paper:0.33,spring_rain,Index Guild:0.03,Sera:0.29,stable,True,replay:17:archive_quarter
18,2,Milo,signal_ridge,v28:Milo:signal_ridge:day2,signal_ridge->orchard_fen:oil:0.43,spring_rain,Signal Guild:0.21,Ren:0.32,stable,True,replay:18:signal_ridge
19,2,Ivo,orchard_fen,v28:Ivo:orchard_fen:day2,orchard_fen->riverbend:oil:0.33,spring_rain,Seed Guild:0.32,Mara:0.33,stable,True,replay:19:orchard_fen
20,2,Ari,riverbend,v28:Ari:riverbend:day2,riverbend->roofward:planks:0.38,spring_rain,Bridgewright Guild:0.11,Toma:0.23,stable,True,replay:20:riverbend
21,2,Fay,roofward,v28:Fay:roofward:day2,roofward->archive_quarter:herbs:0.28,spring_rain,Glassgarden Guild:0.21,Lio:0.26,stable,True,replay:21:roofward
22,2,Nia,archive_quarter,v28:Nia:archive_quarter:day2,archive_quarter->signal_ridge:wire:0.38,spring_rain,Index Guild:0.03,Sera:0.29,stable,True,replay:22:archive_quarter
23,2,Milo,signal_ridge,v28:Milo:signal_ridge:day2,signal_ridge->orchard_fen:oil:0.28,spring_rain,Signal Guild:0.13,Ren:0.33,stable,True,replay:23:signal_ridge
24,2,Ivo,orchard_fen,v28:Ivo:orchard_fen:day2,orchard_fen->riverbend:seeds:0.38,spring_rain,Seed Guild:0.32,Mara:0.34,stable,True,replay:24:orchard_fen
25,2,Ari,riverbend,v28:Ari:riverbend:day2,riverbend->roofward:water:0.43,spring_rain,Bridgewright Guild:0.11,Toma:0.24,stable,True,replay:25:riverbend
26,2,Fay,roofward,v28:Fay:roofward:day2,roofward->archive_quarter:herbs:0.33,spring_rain,Glassgarden Guild:0.21,Lio:0.26,stable,True,replay:26:roofward
27,2,Nia,archive_quarter,v28:Nia:archive_quarter:day2,archive_quarter->signal_ridge:paper:0.43,spring_rain,Index Guild:0.03,Sera:0.29,stable,True,replay:27:archive_quarter
28,2,Milo,signal_ridge,v28:Milo:signal_ridge:day2,signal_ridge->orchard_fen:planks:0.33,spring_rain,Signal Guild:0.06,Ren:0.33,stable,True,replay:28:signal_ridge
